letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9887.0,9887.0,6991.0,4943.0,9887.0,13983.0,13983.0,9887.0,6991.0,27968.0,9887.0,6991.0,9887.0,4943.0,9887.0,13983.0,9887.0,9887.0,19776.0,13983.0,9887.0,4943.0,9887.0,4943.0,9887.0,9887.0,9887.0,9887.0,9887.0,13983.0,9887.0,6991.0,9887.0,4943.0,13983.0,13983.0,9887.0,13983.0,9887.0,6991.0,13983.0,13983.0,13983.0,9887.0,9887.0,27968.0,9887.0,13983.0,13983.0,9887.0,4943.0,27968.0,11088.0,13.1469,4654.7172,21666392.1424
N,6991.0,6991.0,9887.0,9887.0,4943.0,9887.0,4943.0,4943.0,9887.0,9887.0,9887.0,4943.0,13983.0,9887.0,6991.0,9887.0,4943.0,6991.0,6991.0,4943.0,3495.0,4943.0,6991.0,6991.0,4943.0,9887.0,6991.0,6991.0,3495.0,3495.0,9887.0,4943.0,3495.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,13983.0,4943.0,9887.0,4943.0,3495.0,19776.0,9887.0,13983.0,3495.0,19776.0,7908.0,9.3764,3277.098,10739371.5465
I,4943.0,3495.0,19776.0,6991.0,13983.0,6991.0,6991.0,9887.0,4943.0,4943.0,6991.0,2471.0,4943.0,6991.0,6991.0,4943.0,4943.0,4943.0,2471.0,6991.0,3495.0,4943.0,4943.0,4943.0,6991.0,13983.0,13983.0,2471.0,6991.0,9887.0,6991.0,13983.0,4943.0,6991.0,3495.0,4943.0,4943.0,4943.0,9887.0,3495.0,13983.0,6991.0,6991.0,6991.0,6991.0,9887.0,4943.0,4943.0,3495.0,4943.0,2471.0,19776.0,6860.0,8.1338,3597.8912,12944820.8657
R,9887.0,13983.0,4943.0,4943.0,3495.0,2471.0,3495.0,4943.0,6991.0,4943.0,3495.0,2471.0,3495.0,6991.0,4943.0,6991.0,9887.0,4943.0,6991.0,3495.0,3495.0,6991.0,9887.0,6991.0,6991.0,6991.0,3495.0,4943.0,6991.0,6991.0,3495.0,1747.0,6991.0,4943.0,4943.0,1747.0,9887.0,9887.0,4943.0,3495.0,3495.0,6991.0,3495.0,9887.0,4943.0,6991.0,4943.0,6991.0,9887.0,4943.0,1747.0,13983.0,5844.0,6.9292,2581.951,6666471.2098
S,6991.0,6991.0,4943.0,4943.0,6991.0,6991.0,1747.0,4943.0,3495.0,9887.0,4943.0,13983.0,3495.0,4943.0,4943.0,6991.0,3495.0,6991.0,6991.0,4943.0,4943.0,3495.0,13983.0,9887.0,3495.0,3495.0,3495.0,4943.0,4943.0,4943.0,3495.0,9887.0,4943.0,2471.0,4943.0,3495.0,4943.0,2471.0,4943.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,2471.0,6991.0,6991.0,3495.0,6991.0,1747.0,13983.0,5754.0,6.8225,2557.2928,6539746.2269
T,6991.0,4943.0,4943.0,4943.0,9887.0,3495.0,6991.0,9887.0,9887.0,3495.0,2471.0,4943.0,6991.0,6991.0,3495.0,3495.0,4943.0,6991.0,4943.0,2471.0,13983.0,4943.0,9887.0,2471.0,3495.0,2471.0,3495.0,2471.0,6991.0,6991.0,3495.0,3495.0,6991.0,9887.0,3495.0,6991.0,3495.0,6991.0,4943.0,4943.0,3495.0,4943.0,6991.0,6991.0,4943.0,2471.0,6991.0,13983.0,6991.0,3495.0,2471.0,13983.0,5728.0,6.7916,2767.785,7660633.7567
H,6991.0,3495.0,3495.0,4943.0,6991.0,9887.0,4943.0,3495.0,6991.0,3495.0,2471.0,6991.0,9887.0,4943.0,3495.0,9887.0,4943.0,4943.0,2471.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,6991.0,4943.0,3495.0,2471.0,3495.0,4943.0,9887.0,4943.0,4943.0,9887.0,3495.0,3495.0,2471.0,6991.0,9887.0,4943.0,3495.0,3495.0,3495.0,4943.0,6991.0,6991.0,4943.0,6991.0,2471.0,2471.0,9887.0,5450.0,6.462,2285.2896,5222548.6106
D,2471.0,6991.0,6991.0,6991.0,4943.0,6991.0,1747.0,4943.0,3495.0,3495.0,4943.0,4943.0,4943.0,6991.0,2471.0,2471.0,1235.0,2471.0,6991.0,3495.0,6991.0,4943.0,3495.0,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,2471.0,4943.0,3495.0,6991.0,2471.0,4943.0,3495.0,2471.0,3495.0,3495.0,3495.0,3495.0,3495.0,6991.0,13983.0,4943.0,4943.0,3495.0,3495.0,4943.0,1747.0,1235.0,13983.0,4748.0,5.6297,2279.5667,5196424.5486
A,6991.0,6991.0,3495.0,4943.0,4943.0,4943.0,3495.0,2471.0,3495.0,4943.0,2471.0,4943.0,3495.0,6991.0,2471.0,2471.0,6991.0,4943.0,4943.0,3495.0,4943.0,3495.0,4943.0,6991.0,4943.0,2471.0,3495.0,4943.0,9887.0,3495.0,6991.0,2471.0,6991.0,3495.0,6991.0,2471.0,4943.0,2471.0,4943.0,3495.0,2471.0,2471.0,2471.0,2471.0,9887.0,6991.0,4943.0,6991.0,4943.0,4943.0,2471.0,9887.0,4667.0,5.5336,1923.6986,3700616.2547
C,3495.0,4943.0,4943.0,2471.0,2471.0,1747.0,3495.0,2471.0,3495.0,3495.0,2471.0,3495.0,2471.0,2471.0,2471.0,4943.0,2471.0,2471.0,2471.0,6991.0,6991.0,3495.0,3495.0,3495.0,3495.0,3495.0,2471.0,2471.0,1747.0,4943.0,2471.0,1747.0,3495.0,3495.0,1235.0,3495.0,4943.0,6991.0,3495.0,3495.0,4943.0,3495.0,3495.0,2471.0,3495.0,4943.0,1747.0,3495.0,3495.0,1747.0,1235.0,6991.0,3400.0,4.0313,1324.5261,1754369.4106
