letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,12179,12179,12179,12179.0,14.4935,,,12179.0
N,7732,7732,7732,7732.0,9.2014,,,7732.0
I,6069,6069,6069,6069.0,7.2223,,,6069.0
S,5925,5925,5925,5925.0,7.051,,,5925.0
R,5696,5696,5696,5696.0,6.7785,,,5696.0
T,5560,5560,5560,5560.0,6.6166,,,5560.0
H,5111,5111,5111,5111.0,6.0823,,,5111.0
A,4595,4595,4595,4595.0,5.4682,,,4595.0
D,4249,4249,4249,4249.0,5.0565,,,4249.0
C,3448,3448,3448,3448.0,4.1032,,,3448.0
U,3349,3349,3349,3349.0,3.9854,,,3349.0
L,3210,3210,3210,3210.0,3.82,,,3210.0
M,2854,2854,2854,2854.0,3.3964,,,2854.0
G,2202,2202,2202,2202.0,2.6205,,,2202.0
O,2171,2171,2171,2171.0,2.5836,,,2171.0
B,1778,1778,1778,1778.0,2.1159,,,1778.0
W,1632,1632,1632,1632.0,1.9421,,,1632.0
F,1567,1567,1567,1567.0,1.8648,,,1567.0
K,1068,1068,1068,1068.0,1.271,,,1068.0
Z,900,900,900,900.0,1.071,,,900.0
V,564,564,564,564.0,0.6712,,,564.0
Ü,514,514,514,514.0,0.6117,,,514.0
Ä,408,408,408,408.0,0.4855,,,408.0
P,396,396,396,396.0,0.4713,,,396.0
Ö,366,366,366,366.0,0.4356,,,366.0
J,161,161,161,161.0,0.1916,,,161.0
Y,133,133,133,133.0,0.1583,,,133.0
X,101,101,101,101.0,0.1202,,,101.0
Q,93,93,93,93.0,0.1107,,,93.0
