letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,12179,12179,12179,12179.0,14.4935,,
N,7732,7732,7732,7732.0,9.2014,,
I,6069,6069,6069,6069.0,7.2223,,
S,5925,5925,5925,5925.0,7.051,,
R,5696,5696,5696,5696.0,6.7785,,
T,5560,5560,5560,5560.0,6.6166,,
H,5111,5111,5111,5111.0,6.0823,,
A,4595,4595,4595,4595.0,5.4682,,
D,4249,4249,4249,4249.0,5.0565,,
C,3448,3448,3448,3448.0,4.1032,,
U,3349,3349,3349,3349.0,3.9854,,
L,3210,3210,3210,3210.0,3.82,,
M,2854,2854,2854,2854.0,3.3964,,
G,2202,2202,2202,2202.0,2.6205,,
O,2171,2171,2171,2171.0,2.5836,,
B,1778,1778,1778,1778.0,2.1159,,
W,1632,1632,1632,1632.0,1.9421,,
F,1567,1567,1567,1567.0,1.8648,,
K,1068,1068,1068,1068.0,1.271,,
Z,900,900,900,900.0,1.071,,
V,564,564,564,564.0,0.6712,,
Ü,514,514,514,514.0,0.6117,,
Ä,408,408,408,408.0,0.4855,,
P,396,396,396,396.0,0.4713,,
Ö,366,366,366,366.0,0.4356,,
J,161,161,161,161.0,0.1916,,
Y,133,133,133,133.0,0.1583,,
X,101,101,101,101.0,0.1202,,
Q,93,93,93,93.0,0.1107,,
