letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,6108,6059,6209,6091,6043,6074,6128,6085,6271,6019,6050,6064,6058,6046,6048,6077,6117,6130,6095,6029,6047,6020,6154,6108,6214,6129,6000,6005,6084,6175,6014,6148,6034,6059,6187,6039,6109,6146,6018,6078,6024,6212,6132,6126,6207,6125,6150,6011,6165,6018,6000,6271,6094.0,14.5057,65.7566,4323.9302,12188.0
N,3909,3924,3832,3961,3890,3883,3839,3838,3851,3839,3857,3861,3894,3837,3910,3854,3911,3843,3898,3848,3884,3831,3817,3771,3928,3868,3862,3830,3845,3834,3911,3937,3866,3808,3893,3853,3906,3891,3858,3815,3891,3833,3892,3926,3866,3855,3905,3899,3816,3913,3771,3961,3869.0,9.2095,39.1275,1530.9637,7738.0
I,3070,3023,3043,3050,2964,3025,3052,3014,3068,3075,3027,3043,2990,3032,3052,3067,3021,3016,3051,2991,3001,2996,2987,3037,3000,2997,3068,3028,3037,3021,2991,2957,3086,3033,3106,2971,3057,3037,3009,3033,3066,3055,3066,3076,3038,3056,3015,3084,3032,3012,2957,3106,3032.0,7.2172,33.1504,1098.9486,6064.0
S,2982,2935,2887,3000,2974,2938,2932,2928,2964,2918,2956,2990,2957,2954,2978,2955,2982,2995,3016,2933,2995,2974,2971,2976,2966,2930,2971,3055,2961,2966,3012,2961,2998,2982,3054,3055,2932,3013,2957,2933,2966,2946,2963,2990,3030,3036,2959,2979,2920,3001,2887,3055,2972.0,7.0743,36.5766,1337.8465,5944.0
R,2827,2791,2798,2826,2780,2846,2792,2871,2845,2870,2789,2842,2839,2916,2853,2809,2835,2809,2786,2892,2765,2888,2870,2861,2793,2845,2908,2871,2847,2831,2819,2914,2826,2871,2778,2839,2833,2812,2846,2814,2848,2873,2821,2767,2890,2914,2819,2745,2891,2885,2745,2916,2838.0,6.7554,42.1048,1772.8163,5676.0
T,2790,2742,2716,2824,2771,2747,2745,2756,2808,2792,2773,2862,2763,2816,2758,2732,2724,2760,2746,2821,2765,2886,2815,2738,2793,2821,2863,2852,2776,2780,2723,2737,2754,2735,2840,2712,2804,2738,2749,2748,2809,2813,2788,2786,2803,2766,2831,2776,2797,2787,2712,2886,2780.0,6.6173,41.2612,1702.4853,5560.0
H,2534,2566,2533,2553,2502,2579,2588,2583,2625,2552,2543,2501,2520,2497,2587,2520,2566,2539,2479,2599,2536,2519,2566,2568,2545,2624,2557,2609,2628,2537,2574,2575,2571,2576,2534,2565,2541,2570,2548,2586,2501,2548,2553,2501,2582,2518,2537,2488,2571,2598,2479,2628,2553.0,6.077,35.8138,1282.6269,5106.0
A,2295,2324,2394,2333,2220,2338,2333,2241,2269,2192,2254,2308,2304,2276,2336,2270,2223,2292,2278,2274,2271,2282,2288,2331,2310,2303,2325,2277,2315,2292,2315,2339,2317,2277,2365,2321,2344,2302,2290,2321,2314,2308,2303,2319,2302,2298,2283,2251,2299,2306,2192,2394,2298.0,5.47,36.2706,1315.5576,4596.0
D,2140,2123,2144,2091,2143,2179,2139,2171,2125,2153,2136,2120,2110,2101,2165,2141,2109,2077,2159,2157,2140,2165,2103,2106,2168,2114,2083,2174,2156,2087,2137,2157,2157,2096,2073,2141,2075,2130,2101,2118,2111,2122,2154,2149,2115,2140,2135,2115,2078,2184,2073,2184,2129.0,5.0677,29.5798,874.9637,4258.0
C,1709,1735,1726,1697,1739,1752,1745,1729,1720,1737,1760,1718,1727,1690,1755,1699,1740,1733,1699,1745,1785,1781,1719,1731,1740,1754,1722,1745,1707,1723,1719,1740,1755,1743,1721,1736,1652,1712,1719,1751,1731,1741,1749,1690,1670,1743,1756,1702,1780,1694,1652,1785,1729.0,4.1156,26.5433,704.5486,3458.0
