letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,12216.0,12118.0,12418.0,12182.0,12086.0,12148.0,12256.0,12170.0,12542.0,12038.0,12100.0,12128.0,12116.0,12092.0,12096.0,12154.0,12234.0,12260.0,12190.0,12058.0,12094.0,12040.0,12308.0,12216.0,12428.0,12258.0,12000.0,12010.0,12168.0,12350.0,12028.0,12296.0,12068.0,12118.0,12374.0,12078.0,12218.0,12292.0,12036.0,12156.0,12048.0,12424.0,12264.0,12252.0,12414.0,12250.0,12300.0,12022.0,12330.0,12036.0,12000.0,12542.0,12189.0,14.5033,131.5132,17295.7208
N,7818.0,7848.0,7664.0,7922.0,7780.0,7766.0,7678.0,7676.0,7702.0,7678.0,7714.0,7722.0,7788.0,7674.0,7820.0,7708.0,7822.0,7686.0,7796.0,7696.0,7768.0,7662.0,7634.0,7542.0,7856.0,7736.0,7724.0,7660.0,7690.0,7668.0,7822.0,7874.0,7732.0,7616.0,7786.0,7706.0,7812.0,7782.0,7716.0,7630.0,7782.0,7666.0,7784.0,7852.0,7732.0,7710.0,7810.0,7798.0,7632.0,7826.0,7542.0,7922.0,7739.0,9.2084,78.2551,6123.8547
I,6140.0,6046.0,6086.0,6100.0,5928.0,6050.0,6104.0,6028.0,6136.0,6150.0,6054.0,6086.0,5980.0,6064.0,6104.0,6134.0,6042.0,6032.0,6102.0,5982.0,6002.0,5992.0,5974.0,6074.0,6000.0,5994.0,6136.0,6056.0,6074.0,6042.0,5982.0,5914.0,6172.0,6066.0,6212.0,5942.0,6114.0,6074.0,6018.0,6066.0,6132.0,6110.0,6132.0,6152.0,6076.0,6112.0,6030.0,6168.0,6064.0,6024.0,5914.0,6212.0,6065.0,7.2165,66.3008,4395.7943
S,5964.0,5870.0,5774.0,6000.0,5948.0,5876.0,5864.0,5856.0,5928.0,5836.0,5912.0,5980.0,5914.0,5908.0,5956.0,5910.0,5964.0,5990.0,6032.0,5866.0,5990.0,5948.0,5942.0,5952.0,5932.0,5860.0,5942.0,6110.0,5922.0,5932.0,6024.0,5922.0,5996.0,5964.0,6108.0,6110.0,5864.0,6026.0,5914.0,5866.0,5932.0,5892.0,5926.0,5980.0,6060.0,6072.0,5918.0,5958.0,5840.0,6002.0,5774.0,6110.0,5945.0,7.0738,73.1532,5351.3861
R,5654.0,5582.0,5596.0,5652.0,5560.0,5692.0,5584.0,5742.0,5690.0,5740.0,5578.0,5684.0,5678.0,5832.0,5706.0,5618.0,5670.0,5618.0,5572.0,5784.0,5530.0,5776.0,5740.0,5722.0,5586.0,5690.0,5816.0,5742.0,5694.0,5662.0,5638.0,5828.0,5652.0,5742.0,5556.0,5678.0,5666.0,5624.0,5692.0,5628.0,5696.0,5746.0,5642.0,5534.0,5780.0,5828.0,5638.0,5490.0,5782.0,5770.0,5490.0,5832.0,5676.0,6.7537,84.2097,7091.2653
T,5580.0,5484.0,5432.0,5648.0,5542.0,5494.0,5490.0,5512.0,5616.0,5584.0,5546.0,5724.0,5526.0,5632.0,5516.0,5464.0,5448.0,5520.0,5492.0,5642.0,5530.0,5772.0,5630.0,5476.0,5586.0,5642.0,5726.0,5704.0,5552.0,5560.0,5446.0,5474.0,5508.0,5470.0,5680.0,5424.0,5608.0,5476.0,5498.0,5496.0,5618.0,5626.0,5576.0,5572.0,5606.0,5532.0,5662.0,5552.0,5594.0,5574.0,5424.0,5772.0,5561.0,6.6169,82.5224,6809.9412
H,5068.0,5132.0,5066.0,5106.0,5004.0,5158.0,5176.0,5166.0,5250.0,5104.0,5086.0,5002.0,5040.0,4994.0,5174.0,5040.0,5132.0,5078.0,4958.0,5198.0,5072.0,5038.0,5132.0,5136.0,5090.0,5248.0,5114.0,5218.0,5256.0,5074.0,5148.0,5150.0,5142.0,5152.0,5068.0,5130.0,5082.0,5140.0,5096.0,5172.0,5002.0,5096.0,5106.0,5002.0,5164.0,5036.0,5074.0,4976.0,5142.0,5196.0,4958.0,5256.0,5107.0,6.0767,71.6276,5130.5078
A,4590.0,4648.0,4788.0,4666.0,4440.0,4676.0,4666.0,4482.0,4538.0,4384.0,4508.0,4616.0,4608.0,4552.0,4672.0,4540.0,4446.0,4584.0,4556.0,4548.0,4542.0,4564.0,4576.0,4662.0,4620.0,4606.0,4650.0,4554.0,4630.0,4584.0,4630.0,4678.0,4634.0,4554.0,4730.0,4642.0,4688.0,4604.0,4580.0,4642.0,4628.0,4616.0,4606.0,4638.0,4604.0,4596.0,4566.0,4502.0,4598.0,4612.0,4384.0,4788.0,4596.0,5.4686,72.5412,5262.2302
D,4280.0,4246.0,4288.0,4182.0,4286.0,4358.0,4278.0,4342.0,4250.0,4306.0,4272.0,4240.0,4220.0,4202.0,4330.0,4282.0,4218.0,4154.0,4318.0,4314.0,4280.0,4330.0,4206.0,4212.0,4336.0,4228.0,4166.0,4348.0,4312.0,4174.0,4274.0,4314.0,4314.0,4192.0,4146.0,4282.0,4150.0,4260.0,4202.0,4236.0,4222.0,4244.0,4308.0,4298.0,4230.0,4280.0,4270.0,4230.0,4156.0,4368.0,4146.0,4368.0,4258.0,5.0665,59.1596,3499.8547
C,3418.0,3470.0,3452.0,3394.0,3478.0,3504.0,3490.0,3458.0,3440.0,3474.0,3520.0,3436.0,3454.0,3380.0,3510.0,3398.0,3480.0,3466.0,3398.0,3490.0,3570.0,3562.0,3438.0,3462.0,3480.0,3508.0,3444.0,3490.0,3414.0,3446.0,3438.0,3480.0,3510.0,3486.0,3442.0,3472.0,3304.0,3424.0,3438.0,3502.0,3462.0,3482.0,3498.0,3380.0,3340.0,3486.0,3512.0,3404.0,3560.0,3388.0,3304.0,3570.0,3458.0,4.1146,53.0867,2818.1943
