letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,22,26,25,23,23,24,24,24,23,24,23,24,24,26,26,25,25,23,24,25,24,24,22,25,26,22,23,24,26,26,25,24,25,27,23,25,24,25,25,21,23,25,24,23,25,24,24,25,23,24,21,27,24.0,4.898,1.2403,1.5384,9887.0
T,23,24,25,24,22,22,24,26,22,26,23,23,23,24,25,24,24,22,25,25,24,23,22,22,23,23,22,24,25,24,26,22,22,23,22,23,23,23,25,23,25,22,22,23,24,23,23,25,23,24,22,26,23.0,4.6939,1.1993,1.4384,6991.0
A,21,25,22,24,25,23,25,22,24,23,21,22,24,23,23,23,23,23,24,26,22,23,23,21,24,23,24,24,22,22,22,23,24,23,24,24,24,22,22,24,23,22,23,22,23,23,23,23,20,24,20,26,23.0,4.6939,1.1599,1.3453,6991.0
O,24,23,22,23,25,22,24,25,22,23,23,25,22,25,25,24,22,22,25,25,24,23,23,24,24,22,23,23,24,24,23,22,24,23,24,25,23,24,22,25,24,25,22,23,22,23,24,23,24,23,22,25,23.0,4.6939,1.0539,1.1106,6991.0
N,23,21,20,21,24,20,22,23,23,21,23,23,22,22,21,23,22,21,23,21,22,23,23,20,25,24,23,23,23,20,25,21,21,22,23,23,22,21,25,22,23,22,24,24,22,22,25,21,23,21,20,25,22.0,4.4898,1.3494,1.8208,4943.0
R,22,23,22,23,21,21,23,23,22,23,23,22,22,24,22,25,21,24,24,21,20,24,23,22,21,21,22,20,21,23,23,22,22,24,22,22,24,22,22,22,22,23,22,20,23,22,23,22,22,23,20,25,22.0,4.4898,1.1112,1.2347,4943.0
S,23,21,21,21,20,24,22,20,22,23,23,22,25,22,22,22,23,21,23,24,21,26,23,24,24,22,23,22,23,21,24,22,22,23,22,21,23,23,24,24,24,21,23,23,22,24,23,24,23,23,20,26,22.0,4.4898,1.2599,1.5873,4943.0
I,25,22,22,21,22,21,22,22,23,21,22,22,22,24,22,24,24,23,24,25,24,21,24,24,21,24,21,25,23,23,21,22,22,24,21,21,21,25,23,23,25,23,21,23,22,22,21,23,21,23,21,25,22.0,4.4898,1.3248,1.7551,4943.0
H,22,21,21,23,22,22,22,23,22,24,23,21,23,22,22,24,23,25,24,23,23,22,23,23,21,24,24,23,22,22,23,23,24,21,22,23,22,23,21,22,25,22,23,22,22,24,22,22,23,23,21,25,22.0,4.4898,1.0079,1.0159,4943.0
L,23,22,21,21,23,23,22,22,22,20,21,21,22,22,22,21,22,23,20,20,22,24,21,22,22,22,22,22,21,22,23,22,21,20,21,21,21,22,24,22,20,21,21,22,24,22,22,24,23,22,20,24,21.0,4.2857,1.0437,1.0894,3495.0
U,23,20,21,21,24,23,22,21,20,22,21,22,22,22,23,20,21,20,22,21,21,22,20,22,22,21,20,19,20,20,20,21,20,20,22,21,22,22,19,21,23,21,21,20,20,20,21,22,21,21,19,24,21.0,4.2857,1.0999,1.2098,3495.0
D,21,19,21,20,21,21,21,23,22,22,23,22,21,19,23,21,21,23,22,22,20,23,20,22,21,21,19,21,20,21,20,20,22,20,22,21,22,21,23,21,22,21,22,21,19,21,22,23,22,21,19,23,21.0,4.2857,1.1168,1.2473,3495.0
M,23,22,19,20,21,20,22,21,23,21,21,22,22,21,22,21,23,22,20,21,20,18,19,21,20,21,20,20,20,21,19,22,22,24,21,20,21,21,19,20,20,20,20,21,18,21,21,20,22,19,18,24,20.0,4.0816,1.2707,1.6147,2471.0
Y,19,19,20,21,21,17,20,21,21,19,22,20,20,21,21,22,20,21,21,19,20,20,20,20,19,19,19,21,22,22,20,21,20,20,22,19,18,21,22,20,21,20,20,21,20,21,21,18,19,19,17,22,20.0,4.0816,1.1429,1.3061,2471.0
F,21,20,20,19,18,20,19,19,18,16,19,21,18,18,18,19,20,19,19,18,21,20,18,18,18,20,18,18,20,20,18,19,17,20,20,20,20,19,19,20,20,18,20,18,21,20,20,20,18,20,16,21,19.0,3.8776,1.125,1.2657,1747.0
W,18,18,20,19,20,21,20,20,19,21,20,20,21,19,21,21,20,18,19,20,18,22,21,18,18,19,18,18,19,20,20,20,20,18,20,20,21,20,22,19,19,21,18,20,19,22,20,22,22,20,18,22,19.0,3.8776,1.2337,1.522,1747.0
C,18,17,20,22,18,22,19,20,19,20,21,20,22,22,17,21,18,19,19,18,19,21,21,20,20,19,20,20,20,21,21,19,22,20,17,19,19,19,19,19,20,19,20,19,18,19,19,18,21,19,17,22,19.0,3.8776,1.3262,1.7588,1747.0
B,18,17,19,19,19,19,19,18,18,18,20,19,17,20,19,19,18,19,19,18,20,20,20,19,19,19,18,19,18,18,20,19,20,18,17,18,19,18,21,18,18,17,20,17,20,19,18,19,18,20,17,21,18.0,3.6735,0.9697,0.9404,1235.0
G,19,18,18,19,19,18,19,18,19,18,18,17,18,21,18,21,20,18,18,20,19,20,19,17,19,19,20,22,21,18,18,20,19,18,18,20,19,19,17,19,19,19,18,20,20,21,20,19,17,18,17,22,18.0,3.6735,1.1578,1.3404,1235.0
P,17,18,16,20,21,20,18,20,20,19,18,18,17,19,19,18,20,19,18,18,18,19,18,18,19,16,19,21,18,18,20,18,18,17,20,18,19,20,19,16,18,19,19,18,18,17,19,19,20,18,16,21,18.0,3.6735,1.1817,1.3963,1235.0
V,16,18,18,18,17,19,16,17,17,17,17,17,20,17,16,17,17,19,18,18,17,19,18,19,18,18,18,17,17,17,17,17,16,17,16,19,19,20,17,18,17,19,17,18,19,17,16,18,18,17,16,20,17.0,3.4694,1.0319,1.0649,873.0
K,15,17,16,18,15,17,17,20,17,20,17,16,16,18,19,17,16,18,17,17,16,15,17,16,19,16,17,18,16,17,18,15,17,16,17,18,17,19,15,17,16,16,18,17,17,18,17,18,17,16,15,20,16.0,3.2653,1.2036,1.4486,617.0
J,14,12,13,13,15,15,14,11,14,14,13,12,14,13,13,14,16,16,14,14,14,13,15,14,13,14,13,13,14,15,12,14,18,14,11,13,17,13,15,13,12,15,15,13,14,15,14,13,13,12,11,18,13.0,2.6531,1.3637,1.8596,217.0
X,13,12,11,12,11,14,12,12,12,10,10,12,11,9,10,11,9,12,13,9,12,10,13,10,12,12,10,9,11,10,14,13,10,12,13,12,10,12,10,9,12,11,14,11,11,10,11,11,12,10,9,14,11.0,2.2449,1.3637,1.8596,108.0
Q,11,10,9,11,10,8,9,8,10,10,8,10,11,9,8,11,10,8,11,10,10,9,10,10,11,8,8,9,10,9,8,8,12,9,9,11,12,9,9,9,9,11,10,10,8,8,9,8,9,11,8,12,9.0,1.8367,1.165,1.3571,53.0
Z,8,8,9,9,6,8,7,8,9,9,8,6,9,9,7,9,7,8,11,7,10,8,7,9,7,8,7,5,10,9,7,9,6,6,7,5,8,7,7,6,7,8,6,8,10,6,7,6,7,8,5,11,7.0,1.4286,1.3494,1.8208,26.0
