letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,4943.0,19776.0,13983.0,6991.0,6991.0,9887.0,9887.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,19776.0,19776.0,13983.0,13983.0,6991.0,9887.0,13983.0,9887.0,9887.0,4943.0,13983.0,19776.0,4943.0,6991.0,9887.0,19776.0,19776.0,13983.0,9887.0,13983.0,27968.0,6991.0,13983.0,9887.0,13983.0,13983.0,3495.0,6991.0,13983.0,9887.0,6991.0,13983.0,9887.0,9887.0,13983.0,6991.0,9887.0,3495.0,27968.0,11496.0,11.1582,4949.3313,24495880.371
T,6991.0,9887.0,13983.0,9887.0,4943.0,4943.0,9887.0,19776.0,4943.0,19776.0,6991.0,6991.0,6991.0,9887.0,13983.0,9887.0,9887.0,4943.0,13983.0,13983.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,4943.0,9887.0,13983.0,9887.0,19776.0,4943.0,4943.0,6991.0,4943.0,6991.0,6991.0,6991.0,13983.0,6991.0,13983.0,4943.0,4943.0,6991.0,9887.0,6991.0,6991.0,13983.0,6991.0,9887.0,4943.0,19776.0,9022.0,8.7569,4085.131,16688294.9016
O,9887.0,6991.0,4943.0,6991.0,13983.0,4943.0,9887.0,13983.0,4943.0,6991.0,6991.0,13983.0,4943.0,13983.0,13983.0,9887.0,4943.0,4943.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,9887.0,4943.0,6991.0,6991.0,9887.0,9887.0,6991.0,4943.0,9887.0,6991.0,9887.0,13983.0,6991.0,9887.0,4943.0,13983.0,9887.0,13983.0,4943.0,6991.0,4943.0,6991.0,9887.0,6991.0,9887.0,6991.0,4943.0,13983.0,8749.0,8.4919,3187.2789,10158747.0629
A,3495.0,13983.0,4943.0,9887.0,13983.0,6991.0,13983.0,4943.0,9887.0,6991.0,3495.0,4943.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,9887.0,19776.0,4943.0,6991.0,6991.0,3495.0,9887.0,6991.0,9887.0,9887.0,4943.0,4943.0,4943.0,6991.0,9887.0,6991.0,9887.0,9887.0,9887.0,4943.0,4943.0,9887.0,6991.0,4943.0,6991.0,4943.0,6991.0,6991.0,6991.0,6991.0,2471.0,9887.0,2471.0,19776.0,7668.0,7.4427,3192.5782,10192555.3963
I,13983.0,4943.0,4943.0,3495.0,4943.0,3495.0,4943.0,4943.0,6991.0,3495.0,4943.0,4943.0,4943.0,9887.0,4943.0,9887.0,9887.0,6991.0,9887.0,13983.0,9887.0,3495.0,9887.0,9887.0,3495.0,9887.0,3495.0,13983.0,6991.0,6991.0,3495.0,4943.0,4943.0,9887.0,3495.0,3495.0,3495.0,13983.0,6991.0,6991.0,13983.0,6991.0,3495.0,6991.0,4943.0,4943.0,3495.0,6991.0,3495.0,6991.0,3495.0,13983.0,6770.0,6.5711,3291.5869,10834544.0392
S,6991.0,3495.0,3495.0,3495.0,2471.0,9887.0,4943.0,2471.0,4943.0,6991.0,6991.0,4943.0,13983.0,4943.0,4943.0,4943.0,6991.0,3495.0,6991.0,9887.0,3495.0,19776.0,6991.0,9887.0,9887.0,4943.0,6991.0,4943.0,6991.0,3495.0,9887.0,4943.0,4943.0,6991.0,4943.0,3495.0,6991.0,6991.0,9887.0,9887.0,9887.0,3495.0,6991.0,6991.0,4943.0,9887.0,6991.0,9887.0,6991.0,6991.0,2471.0,19776.0,6734.0,6.5362,3135.9669,9834288.0984
H,4943.0,3495.0,3495.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,9887.0,6991.0,3495.0,6991.0,4943.0,4943.0,9887.0,6991.0,13983.0,9887.0,6991.0,6991.0,4943.0,6991.0,6991.0,3495.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,9887.0,3495.0,4943.0,6991.0,4943.0,6991.0,3495.0,4943.0,13983.0,4943.0,6991.0,4943.0,4943.0,9887.0,4943.0,4943.0,6991.0,6991.0,3495.0,13983.0,6519.0,6.3275,2450.2782,6003863.4057
N,6991.0,3495.0,2471.0,3495.0,9887.0,2471.0,4943.0,6991.0,6991.0,3495.0,6991.0,6991.0,4943.0,4943.0,3495.0,6991.0,4943.0,3495.0,6991.0,3495.0,4943.0,6991.0,6991.0,2471.0,13983.0,9887.0,6991.0,6991.0,6991.0,2471.0,13983.0,3495.0,3495.0,4943.0,6991.0,6991.0,4943.0,3495.0,13983.0,4943.0,6991.0,4943.0,9887.0,9887.0,4943.0,4943.0,13983.0,3495.0,6991.0,3495.0,2471.0,13983.0,6200.0,6.0178,3064.5327,9391360.7576
R,4943.0,6991.0,4943.0,6991.0,3495.0,3495.0,6991.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,9887.0,4943.0,13983.0,3495.0,9887.0,9887.0,3495.0,2471.0,9887.0,6991.0,4943.0,3495.0,3495.0,4943.0,2471.0,3495.0,6991.0,6991.0,4943.0,4943.0,9887.0,4943.0,4943.0,9887.0,4943.0,4943.0,4943.0,4943.0,6991.0,4943.0,2471.0,6991.0,4943.0,6991.0,4943.0,4943.0,6991.0,2471.0,13983.0,5898.0,5.7247,2348.5329,5515606.622
L,6991.0,4943.0,3495.0,3495.0,6991.0,6991.0,4943.0,4943.0,4943.0,2471.0,3495.0,3495.0,4943.0,4943.0,4943.0,3495.0,4943.0,6991.0,2471.0,2471.0,4943.0,9887.0,3495.0,4943.0,4943.0,4943.0,4943.0,4943.0,3495.0,4943.0,6991.0,4943.0,3495.0,2471.0,3495.0,3495.0,3495.0,4943.0,9887.0,4943.0,2471.0,3495.0,3495.0,4943.0,9887.0,4943.0,4943.0,9887.0,6991.0,4943.0,2471.0,9887.0,4960.0,4.8143,1920.5333,3688448.0
