letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,12576,12576,12576,12576.0,11.8887,,
T,9591,9591,9591,9591.0,9.0668,,
O,8689,8689,8689,8689.0,8.2141,,
A,8191,8191,8191,8191.0,7.7434,,
H,6916,6916,6916,6916.0,6.538,,
I,6845,6845,6845,6845.0,6.4709,,
S,6708,6708,6708,6708.0,6.3414,,
R,6618,6618,6618,6618.0,6.2563,,
N,6531,6531,6531,6531.0,6.1741,,
L,4846,4846,4846,4846.0,4.5812,,
D,3966,3966,3966,3966.0,3.7493,,
U,3607,3607,3607,3607.0,3.4099,,
M,3481,3481,3481,3481.0,3.2908,,
Y,2642,2642,2642,2642.0,2.4976,,
W,2592,2592,2592,2592.0,2.4503,,
C,2224,2224,2224,2224.0,2.1025,,
F,2101,2101,2101,2101.0,1.9862,,
G,1862,1862,1862,1862.0,1.7602,,
B,1786,1786,1786,1786.0,1.6884,,
P,1571,1571,1571,1571.0,1.4851,,
V,1071,1071,1071,1071.0,1.0125,,
K,850,850,850,850.0,0.8035,,
J,284,284,284,284.0,0.2685,,
X,135,135,135,135.0,0.1276,,
Q,65,65,65,65.0,0.0614,,
Z,33,33,33,33.0,0.0312,,
