letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,6321,6271,6334,6286,6273,6183,6228,6183,6380,6263,6324,6232,6225,6356,6362,6178,6268,6277,6245,6375,6238,6277,6260,6317,6289,6221,6233,6313,6346,6354,6261,6257,6196,6340,6253,6338,6390,6293,6336,6327,6225,6232,6289,6351,6353,6304,6417,6270,6444,6334,6178,6444,6292.0,11.8894,61.9302,3835.3535,12584.0
T,4818,4763,4782,4855,4821,4863,4823,4771,4800,4838,4858,4827,4842,4751,4796,4791,4805,4863,4759,4792,4884,4774,4721,4860,4787,4856,4859,4789,4813,4725,4803,4795,4863,4893,4808,4755,4787,4782,4834,4817,4773,4821,4770,4874,4801,4745,4829,4837,4822,4749,4721,4893,4808.0,9.0852,41.7077,1739.5363,9616.0
O,4392,4340,4347,4317,4355,4335,4277,4404,4361,4378,4354,4321,4329,4456,4445,4396,4310,4417,4387,4357,4355,4293,4310,4367,4290,4314,4308,4257,4308,4409,4335,4313,4385,4304,4337,4338,4351,4306,4371,4421,4350,4358,4299,4321,4343,4340,4501,4369,4429,4304,4257,4501,4351.0,8.2217,48.8689,2388.1649,8702.0
A,4040,4163,4080,4107,4147,4171,4071,4062,4034,4176,4087,4190,4169,4063,4134,4099,4016,4055,4106,4057,4118,4074,4042,4088,4093,4101,4154,4059,4114,4106,4092,4120,4062,4140,4036,4085,4137,4100,4046,4167,4088,4125,4103,4079,4069,4103,4101,4092,4122,4141,4016,4190,4099.0,7.7455,41.5542,1726.7527,8198.0
H,3437,3491,3376,3549,3451,3518,3464,3438,3515,3537,3477,3433,3418,3518,3460,3452,3416,3507,3396,3427,3452,3414,3453,3390,3525,3452,3489,3439,3439,3383,3438,3458,3484,3441,3439,3429,3462,3405,3414,3470,3475,3468,3492,3442,3478,3508,3490,3465,3487,3464,3376,3549,3458.0,6.5343,39.8647,1589.1939,6916.0
I,3414,3463,3466,3437,3422,3421,3471,3425,3472,3346,3417,3369,3408,3391,3432,3442,3386,3377,3401,3362,3409,3384,3461,3474,3423,3400,3432,3407,3422,3416,3475,3389,3465,3389,3420,3362,3383,3387,3461,3462,3488,3484,3438,3394,3442,3370,3409,3446,3447,3348,3346,3488,3420.0,6.4625,37.3788,1397.171,6840.0
S,3303,3316,3352,3341,3346,3326,3408,3346,3399,3270,3317,3307,3373,3410,3389,3364,3378,3328,3330,3358,3311,3302,3392,3408,3323,3416,3273,3337,3382,3325,3408,3334,3339,3295,3299,3262,3339,3326,3463,3361,3377,3324,3366,3372,3269,3340,3433,3343,3286,3387,3262,3463,3347.0,6.3245,45.1751,2040.7922,6694.0
R,3272,3287,3301,3268,3369,3400,3288,3309,3245,3306,3301,3310,3354,3347,3375,3260,3298,3265,3216,3242,3345,3247,3270,3232,3330,3257,3315,3334,3415,3248,3293,3315,3370,3251,3352,3298,3328,3249,3306,3309,3309,3266,3276,3372,3336,3344,3328,3328,3307,3287,3216,3415,3304.0,6.2433,45.0134,2026.2041,6608.0
N,3283,3243,3206,3214,3204,3216,3213,3227,3303,3335,3317,3270,3253,3294,3298,3214,3319,3249,3286,3277,3247,3281,3313,3310,3227,3341,3276,3243,3278,3237,3284,3266,3299,3245,3303,3273,3264,3191,3252,3217,3256,3294,3349,3298,3323,3313,3237,3276,3286,3304,3191,3349,3270.0,6.179,39.3933,1551.8302,6540.0
L,2366,2384,2392,2457,2393,2458,2449,2404,2422,2333,2412,2463,2393,2428,2404,2419,2457,2369,2407,2438,2393,2505,2410,2430,2425,2414,2432,2348,2427,2436,2423,2444,2493,2459,2451,2464,2406,2381,2418,2462,2409,2429,2447,2407,2440,2450,2415,2428,2442,2418,2333,2505,2423.0,4.5785,33.4425,1118.4016,4846.0
