letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,12642.0,12542.0,12668.0,12572.0,12546.0,12366.0,12456.0,12366.0,12760.0,12526.0,12648.0,12464.0,12450.0,12712.0,12724.0,12356.0,12536.0,12554.0,12490.0,12750.0,12476.0,12554.0,12520.0,12634.0,12578.0,12442.0,12466.0,12626.0,12692.0,12708.0,12522.0,12514.0,12392.0,12680.0,12506.0,12676.0,12780.0,12586.0,12672.0,12654.0,12450.0,12464.0,12578.0,12702.0,12706.0,12608.0,12834.0,12540.0,12888.0,12668.0,12356.0,12888.0,12584.0,11.8882,123.8605,15341.4139
T,9636.0,9526.0,9564.0,9710.0,9642.0,9726.0,9646.0,9542.0,9600.0,9676.0,9716.0,9654.0,9684.0,9502.0,9592.0,9582.0,9610.0,9726.0,9518.0,9584.0,9768.0,9548.0,9442.0,9720.0,9574.0,9712.0,9718.0,9578.0,9626.0,9450.0,9606.0,9590.0,9726.0,9786.0,9616.0,9510.0,9574.0,9564.0,9668.0,9634.0,9546.0,9642.0,9540.0,9748.0,9602.0,9490.0,9658.0,9674.0,9644.0,9498.0,9442.0,9786.0,9617.0,9.0852,83.4155,6958.1453
O,8784.0,8680.0,8694.0,8634.0,8710.0,8670.0,8554.0,8808.0,8722.0,8756.0,8708.0,8642.0,8658.0,8912.0,8890.0,8792.0,8620.0,8834.0,8774.0,8714.0,8710.0,8586.0,8620.0,8734.0,8580.0,8628.0,8616.0,8514.0,8616.0,8818.0,8670.0,8626.0,8770.0,8608.0,8674.0,8676.0,8702.0,8612.0,8742.0,8842.0,8700.0,8716.0,8598.0,8642.0,8686.0,8680.0,9002.0,8738.0,8858.0,8608.0,8514.0,9002.0,8702.0,8.2208,97.7377,9552.6596
A,8080.0,8326.0,8160.0,8214.0,8294.0,8342.0,8142.0,8124.0,8068.0,8352.0,8174.0,8380.0,8338.0,8126.0,8268.0,8198.0,8032.0,8110.0,8212.0,8114.0,8236.0,8148.0,8084.0,8176.0,8186.0,8202.0,8308.0,8118.0,8228.0,8212.0,8184.0,8240.0,8124.0,8280.0,8072.0,8170.0,8274.0,8200.0,8092.0,8334.0,8176.0,8250.0,8206.0,8158.0,8138.0,8206.0,8202.0,8184.0,8244.0,8282.0,8032.0,8380.0,8199.0,7.7456,83.1084,6907.0106
H,6874.0,6982.0,6752.0,7098.0,6902.0,7036.0,6928.0,6876.0,7030.0,7074.0,6954.0,6866.0,6836.0,7036.0,6920.0,6904.0,6832.0,7014.0,6792.0,6854.0,6904.0,6828.0,6906.0,6780.0,7050.0,6904.0,6978.0,6878.0,6878.0,6766.0,6876.0,6916.0,6968.0,6882.0,6878.0,6858.0,6924.0,6810.0,6828.0,6940.0,6950.0,6936.0,6984.0,6884.0,6956.0,7016.0,6980.0,6930.0,6974.0,6928.0,6752.0,7098.0,6917.0,6.5345,79.7294,6356.7755
I,6828.0,6926.0,6932.0,6874.0,6844.0,6842.0,6942.0,6850.0,6944.0,6692.0,6834.0,6738.0,6816.0,6782.0,6864.0,6884.0,6772.0,6754.0,6802.0,6724.0,6818.0,6768.0,6922.0,6948.0,6846.0,6800.0,6864.0,6814.0,6844.0,6832.0,6950.0,6778.0,6930.0,6778.0,6840.0,6724.0,6766.0,6774.0,6922.0,6924.0,6976.0,6968.0,6876.0,6788.0,6884.0,6740.0,6818.0,6892.0,6894.0,6696.0,6692.0,6976.0,6840.0,6.4618,74.7575,5588.6841
S,6606.0,6632.0,6704.0,6682.0,6692.0,6652.0,6816.0,6692.0,6798.0,6540.0,6634.0,6614.0,6746.0,6820.0,6778.0,6728.0,6756.0,6656.0,6660.0,6716.0,6622.0,6604.0,6784.0,6816.0,6646.0,6832.0,6546.0,6674.0,6764.0,6650.0,6816.0,6668.0,6678.0,6590.0,6598.0,6524.0,6678.0,6652.0,6926.0,6722.0,6754.0,6648.0,6732.0,6744.0,6538.0,6680.0,6866.0,6686.0,6572.0,6774.0,6524.0,6926.0,6694.0,6.3239,90.3503,8163.169
R,6544.0,6574.0,6602.0,6536.0,6738.0,6800.0,6576.0,6618.0,6490.0,6612.0,6602.0,6620.0,6708.0,6694.0,6750.0,6520.0,6596.0,6530.0,6432.0,6484.0,6690.0,6494.0,6540.0,6464.0,6660.0,6514.0,6630.0,6668.0,6830.0,6496.0,6586.0,6630.0,6740.0,6502.0,6704.0,6596.0,6656.0,6498.0,6612.0,6618.0,6618.0,6532.0,6552.0,6744.0,6672.0,6688.0,6656.0,6656.0,6614.0,6574.0,6432.0,6830.0,6609.0,6.2436,90.0268,8104.8163
N,6566.0,6486.0,6412.0,6428.0,6408.0,6432.0,6426.0,6454.0,6606.0,6670.0,6634.0,6540.0,6506.0,6588.0,6596.0,6428.0,6638.0,6498.0,6572.0,6554.0,6494.0,6562.0,6626.0,6620.0,6454.0,6682.0,6552.0,6486.0,6556.0,6474.0,6568.0,6532.0,6598.0,6490.0,6606.0,6546.0,6528.0,6382.0,6504.0,6434.0,6512.0,6588.0,6698.0,6596.0,6646.0,6626.0,6474.0,6552.0,6572.0,6608.0,6382.0,6698.0,6540.0,6.1784,78.7866,6207.3208
L,4732.0,4768.0,4784.0,4914.0,4786.0,4916.0,4898.0,4808.0,4844.0,4666.0,4824.0,4926.0,4786.0,4856.0,4808.0,4838.0,4914.0,4738.0,4814.0,4876.0,4786.0,5010.0,4820.0,4860.0,4850.0,4828.0,4864.0,4696.0,4854.0,4872.0,4846.0,4888.0,4986.0,4918.0,4902.0,4928.0,4812.0,4762.0,4836.0,4924.0,4818.0,4858.0,4894.0,4814.0,4880.0,4900.0,4830.0,4856.0,4884.0,4836.0,4666.0,5010.0,4846.0,4.578,66.885,4473.6065
