letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,27,26,27,24,28,25,26,26,26,28,26,27,26,26,25,26,26,26,25,25,25,27,28,27,26,29,27,28,25,27,27,25,26,27,26,27,27,25,27,26,23,27,28,27,26,26,28,27,26,27,23,29,26.0,3.9816,1.1386,1.2963,19776.0
R,25,24,24,23,24,24,24,24,23,25,24,24,24,26,22,24,22,23,21,23,23,28,25,26,25,25,25,25,24,24,25,22,26,27,24,23,24,22,24,26,24,24,24,25,24,25,22,23,24,26,21,28,24.0,3.6753,1.3554,1.8371,9887.0
O,22,24,22,26,24,24,23,24,25,25,25,25,24,23,24,25,23,25,25,24,23,24,26,24,27,22,23,24,25,23,24,23,26,24,24,24,26,24,23,23,24,23,24,23,25,24,23,24,24,24,22,27,24.0,3.6753,1.0872,1.182,9887.0
T,23,23,25,23,25,26,24,25,24,23,24,23,25,23,26,23,22,25,23,24,23,23,25,23,23,22,24,23,24,24,23,25,24,23,25,24,26,24,26,25,24,25,27,25,24,22,25,24,25,22,22,27,24.0,3.6753,1.1865,1.4078,9887.0
S,23,25,22,23,24,25,25,24,22,23,25,23,22,26,25,26,24,25,24,27,27,23,22,25,25,24,24,23,27,27,23,25,23,24,25,27,24,26,24,27,25,22,23,25,23,25,24,23,24,26,22,27,24.0,3.6753,1.4813,2.1943,9887.0
U,25,22,25,25,27,23,25,25,23,24,23,25,23,24,21,23,25,24,23,21,23,22,21,24,25,26,25,25,26,23,23,25,25,26,26,25,24,23,24,23,25,24,24,21,25,25,27,25,24,24,21,27,24.0,3.6753,1.4686,2.1567,9887.0
I,24,26,24,24,25,24,24,26,23,23,22,25,25,24,25,23,25,23,25,24,22,23,24,24,25,24,23,25,23,26,24,24,25,23,23,26,23,23,23,23,23,23,25,23,26,23,25,24,24,24,22,26,24.0,3.6753,1.069,1.1429,9887.0
A,23,23,25,26,23,25,26,26,26,24,23,23,24,25,25,24,25,24,25,23,24,25,25,21,23,24,25,26,23,23,26,23,24,24,23,23,22,27,27,23,23,26,24,25,25,23,23,23,22,23,21,27,24.0,3.6753,1.3649,1.8629,9887.0
N,25,26,23,22,25,26,27,25,23,21,22,24,24,23,24,23,24,22,23,25,23,25,24,23,24,24,23,27,24,24,25,23,24,21,22,24,23,24,23,23,24,25,24,24,23,25,23,23,25,26,21,27,23.0,3.5222,1.3303,1.7698,6991.0
L,24,24,25,22,23,23,23,24,26,22,24,24,22,23,22,22,23,24,25,23,23,23,23,24,23,22,24,27,23,24,23,23,24,24,21,24,22,24,22,23,22,24,25,24,27,26,24,22,23,23,21,27,23.0,3.5222,1.2816,1.6424,6991.0
M,21,21,23,23,22,25,22,22,23,22,23,22,23,22,21,21,22,19,23,22,22,22,23,22,22,22,23,23,21,23,22,22,20,22,23,23,23,23,22,22,20,22,22,23,22,22,22,21,23,21,19,25,22.0,3.3691,0.9949,0.9898,4943.0
C,22,22,23,22,20,23,23,23,23,24,21,22,21,23,22,21,21,23,22,22,21,23,21,22,23,21,20,22,21,22,23,22,20,22,23,21,20,21,22,23,23,25,21,22,24,22,23,22,21,21,20,25,22.0,3.3691,1.1066,1.2245,4943.0
P,20,20,22,22,20,22,21,24,22,21,19,21,23,19,19,22,24,20,23,20,21,22,22,22,20,21,21,21,22,23,20,20,20,21,24,22,23,21,20,23,21,21,21,21,22,23,21,22,20,22,19,24,21.0,3.2159,1.2875,1.6576,3495.0
D,22,22,21,21,23,21,21,24,23,22,23,22,21,21,22,21,21,21,22,21,22,23,21,20,20,22,23,21,23,21,21,21,22,23,20,22,21,21,23,21,23,24,21,22,23,23,23,21,24,23,20,24,21.0,3.2159,1.0692,1.1433,3495.0
V,22,21,20,23,20,20,20,19,23,20,18,22,21,20,20,20,20,20,22,19,23,20,19,19,19,22,20,20,20,20,22,20,20,22,20,20,19,23,20,20,20,21,19,19,20,20,19,19,20,19,18,23,20.0,3.0628,1.2296,1.5118,2471.0
É,21,19,18,18,20,22,21,22,20,19,20,20,19,19,19,20,21,21,20,20,22,21,21,20,18,20,20,21,21,20,20,18,21,21,19,20,21,20,19,22,18,19,21,19,20,20,19,20,21,21,18,22,20.0,3.0628,1.1058,1.2229,2471.0
Q,19,21,20,20,17,19,20,19,17,18,19,19,21,17,19,20,20,18,21,21,18,17,20,20,19,20,18,19,21,20,18,20,19,19,22,17,19,17,18,17,17,18,18,19,20,19,20,19,19,20,17,22,19.0,2.9096,1.293,1.6718,1747.0
F,16,18,19,18,18,18,19,19,18,19,18,17,17,18,18,16,18,17,18,19,18,19,17,18,19,19,20,18,22,19,18,20,18,19,21,18,18,17,20,18,20,18,16,17,18,19,19,18,17,17,16,22,18.0,2.7565,1.192,1.4208,1235.0
H,18,18,18,17,17,20,20,19,19,19,19,18,20,19,18,20,17,21,18,16,21,17,18,17,19,21,18,19,17,17,18,17,16,20,19,19,19,21,17,21,21,20,18,18,19,19,19,16,22,18,16,22,18.0,2.7565,1.4813,2.1943,1235.0
B,18,21,17,18,22,17,18,20,18,17,17,19,16,19,18,17,19,18,18,19,17,20,19,18,20,16,17,18,18,18,16,21,19,17,18,17,18,19,17,17,17,19,18,20,19,19,18,17,18,18,16,22,18.0,2.7565,1.3045,1.7016,1235.0
G,16,20,17,20,17,19,16,19,17,19,17,16,18,19,19,18,18,20,19,16,16,18,18,17,19,19,16,19,18,18,21,18,19,16,18,19,18,17,18,18,18,19,16,19,17,20,20,19,19,19,16,21,18.0,2.7565,1.3037,1.6996,1235.0
J,16,17,20,19,17,17,17,17,20,16,17,22,18,17,17,19,18,17,18,18,19,19,19,20,18,19,18,17,18,17,19,17,18,17,20,17,16,17,17,20,19,16,18,16,17,19,16,18,18,19,16,22,17.0,2.6034,1.3286,1.7653,873.0
