letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,27968.0,19776.0,27968.0,9887.0,39553.0,13983.0,19776.0,19776.0,19776.0,39553.0,19776.0,27968.0,19776.0,19776.0,13983.0,19776.0,19776.0,19776.0,13983.0,13983.0,13983.0,27968.0,39553.0,27968.0,19776.0,55937.0,27968.0,39553.0,13983.0,27968.0,27968.0,13983.0,19776.0,27968.0,19776.0,27968.0,27968.0,13983.0,27968.0,19776.0,6991.0,27968.0,39553.0,27968.0,19776.0,19776.0,39553.0,27968.0,19776.0,27968.0,6991.0,55937.0,24113.0,14.8209,9386.4261,88104995.8045
S,6991.0,13983.0,4943.0,6991.0,9887.0,13983.0,13983.0,9887.0,4943.0,6991.0,13983.0,6991.0,4943.0,19776.0,13983.0,19776.0,9887.0,13983.0,9887.0,27968.0,27968.0,6991.0,4943.0,13983.0,13983.0,9887.0,9887.0,6991.0,27968.0,27968.0,6991.0,13983.0,6991.0,9887.0,13983.0,27968.0,9887.0,19776.0,9887.0,27968.0,13983.0,4943.0,6991.0,13983.0,6991.0,13983.0,9887.0,6991.0,9887.0,19776.0,4943.0,27968.0,12781.0,7.8558,6949.4329,48294617.92
R,13983.0,9887.0,9887.0,6991.0,9887.0,9887.0,9887.0,9887.0,6991.0,13983.0,9887.0,9887.0,9887.0,19776.0,4943.0,9887.0,4943.0,6991.0,3495.0,6991.0,6991.0,39553.0,13983.0,19776.0,13983.0,13983.0,13983.0,13983.0,9887.0,9887.0,13983.0,4943.0,19776.0,27968.0,9887.0,6991.0,9887.0,4943.0,9887.0,19776.0,9887.0,9887.0,9887.0,13983.0,9887.0,13983.0,4943.0,6991.0,9887.0,19776.0,3495.0,39553.0,11622.0,7.1434,6283.9855,39488473.9086
A,6991.0,6991.0,13983.0,19776.0,6991.0,13983.0,19776.0,19776.0,19776.0,9887.0,6991.0,6991.0,9887.0,13983.0,13983.0,9887.0,13983.0,9887.0,13983.0,6991.0,9887.0,13983.0,13983.0,3495.0,6991.0,9887.0,13983.0,19776.0,6991.0,6991.0,19776.0,6991.0,9887.0,9887.0,6991.0,6991.0,4943.0,27968.0,27968.0,6991.0,6991.0,19776.0,9887.0,13983.0,13983.0,6991.0,6991.0,6991.0,4943.0,6991.0,3495.0,27968.0,11527.0,7.085,5765.9435,33246104.229
U,13983.0,4943.0,13983.0,13983.0,27968.0,6991.0,13983.0,13983.0,6991.0,9887.0,6991.0,13983.0,6991.0,9887.0,3495.0,6991.0,13983.0,9887.0,6991.0,3495.0,6991.0,4943.0,3495.0,9887.0,13983.0,19776.0,13983.0,13983.0,19776.0,6991.0,6991.0,13983.0,13983.0,19776.0,19776.0,13983.0,9887.0,6991.0,9887.0,6991.0,13983.0,9887.0,9887.0,3495.0,13983.0,13983.0,27968.0,13983.0,9887.0,9887.0,3495.0,27968.0,11447.0,7.0358,5556.758,30877559.0433
T,6991.0,6991.0,13983.0,6991.0,13983.0,19776.0,9887.0,13983.0,9887.0,6991.0,9887.0,6991.0,13983.0,6991.0,19776.0,6991.0,4943.0,13983.0,6991.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,4943.0,9887.0,6991.0,9887.0,9887.0,6991.0,13983.0,9887.0,6991.0,13983.0,9887.0,19776.0,9887.0,19776.0,13983.0,9887.0,13983.0,27968.0,13983.0,9887.0,4943.0,13983.0,9887.0,13983.0,4943.0,4943.0,27968.0,10840.0,6.6627,4768.7841,22741301.3424
O,4943.0,9887.0,4943.0,19776.0,9887.0,9887.0,6991.0,9887.0,13983.0,13983.0,13983.0,13983.0,9887.0,6991.0,9887.0,13983.0,6991.0,13983.0,13983.0,9887.0,6991.0,9887.0,19776.0,9887.0,27968.0,4943.0,6991.0,9887.0,13983.0,6991.0,9887.0,6991.0,19776.0,9887.0,9887.0,9887.0,19776.0,9887.0,6991.0,6991.0,9887.0,6991.0,9887.0,6991.0,13983.0,9887.0,6991.0,9887.0,9887.0,9887.0,4943.0,27968.0,10785.0,6.6289,4523.6504,20463413.2902
I,9887.0,19776.0,9887.0,9887.0,13983.0,9887.0,9887.0,19776.0,6991.0,6991.0,4943.0,13983.0,13983.0,9887.0,13983.0,6991.0,13983.0,6991.0,13983.0,9887.0,4943.0,6991.0,9887.0,9887.0,13983.0,9887.0,6991.0,13983.0,6991.0,19776.0,9887.0,9887.0,13983.0,6991.0,6991.0,19776.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,13983.0,6991.0,19776.0,6991.0,13983.0,9887.0,9887.0,9887.0,4943.0,19776.0,10594.0,6.5115,4140.2376,17141567.7914
N,13983.0,19776.0,6991.0,4943.0,13983.0,19776.0,27968.0,13983.0,6991.0,3495.0,4943.0,9887.0,9887.0,6991.0,9887.0,6991.0,9887.0,4943.0,6991.0,13983.0,6991.0,13983.0,9887.0,6991.0,9887.0,9887.0,6991.0,27968.0,9887.0,9887.0,13983.0,6991.0,9887.0,3495.0,4943.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,13983.0,9887.0,9887.0,6991.0,13983.0,6991.0,6991.0,13983.0,19776.0,3495.0,27968.0,10420.0,6.4046,5324.6765,28352179.9188
L,9887.0,9887.0,13983.0,4943.0,6991.0,6991.0,6991.0,9887.0,19776.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,4943.0,6991.0,9887.0,13983.0,6991.0,6991.0,6991.0,6991.0,9887.0,6991.0,4943.0,9887.0,27968.0,6991.0,9887.0,6991.0,6991.0,9887.0,9887.0,3495.0,9887.0,4943.0,9887.0,4943.0,6991.0,4943.0,9887.0,13983.0,9887.0,27968.0,19776.0,9887.0,4943.0,6991.0,6991.0,3495.0,27968.0,9208.0,5.6596,5143.256,26453082.0408
