letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25500,25500,25500,25500.0,15.5568,,,25500.0
S,12200,12200,12200,12200.0,7.4429,,,12200.0
T,11454,11454,11454,11454.0,6.9878,,,11454.0
R,11382,11382,11382,11382.0,6.9438,,,11382.0
A,11281,11281,11281,11281.0,6.8822,,,11281.0
N,11077,11077,11077,11077.0,6.7578,,,11077.0
I,10945,10945,10945,10945.0,6.6772,,,10945.0
U,10894,10894,10894,10894.0,6.6461,,,10894.0
O,10790,10790,10790,10790.0,6.5827,,,10790.0
L,9050,9050,9050,9050.0,5.5212,,,9050.0
M,5797,5797,5797,5797.0,3.5366,,,5797.0
D,5128,5128,5128,5128.0,3.1285,,,5128.0
C,4932,4932,4932,4932.0,3.0089,,,4932.0
P,4313,4313,4313,4313.0,2.6312,,,4313.0
V,2920,2920,2920,2920.0,1.7814,,,2920.0
É,2714,2714,2714,2714.0,1.6557,,,2714.0
Q,1968,1968,1968,1968.0,1.2006,,,1968.0
H,1620,1620,1620,1620.0,0.9883,,,1620.0
F,1590,1590,1590,1590.0,0.97,,,1590.0
B,1516,1516,1516,1516.0,0.9249,,,1516.0
J,1432,1432,1432,1432.0,0.8736,,,1432.0
G,1369,1369,1369,1369.0,0.8352,,,1369.0
À,745,745,745,745.0,0.4545,,,745.0
È,604,604,604,604.0,0.3685,,,604.0
X,589,589,589,589.0,0.3593,,,589.0
Y,521,521,521,521.0,0.3178,,,521.0
Z,450,450,450,450.0,0.2745,,,450.0
Ê,340,340,340,340.0,0.2074,,,340.0
Â,151,151,151,151.0,0.0921,,,151.0
W,120,120,120,120.0,0.0732,,,120.0
Î,114,114,114,114.0,0.0695,,,114.0
Ù,96,96,96,96.0,0.0586,,,96.0
Ô,88,88,88,88.0,0.0537,,,88.0
K,73,73,73,73.0,0.0445,,,73.0
Û,63,63,63,63.0,0.0384,,,63.0
Ç,59,59,59,59.0,0.036,,,59.0
Ë,19,19,19,19.0,0.0116,,,19.0
Ï,5,5,5,5.0,0.0031,,,5.0
Æ,4,4,4,4.0,0.0024,,,4.0
Ò,2,2,2,2.0,0.0012,,,2.0
