letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,25500,25500,25500,25500.0,15.5568,,
S,12200,12200,12200,12200.0,7.4429,,
T,11454,11454,11454,11454.0,6.9878,,
R,11382,11382,11382,11382.0,6.9438,,
A,11281,11281,11281,11281.0,6.8822,,
N,11077,11077,11077,11077.0,6.7578,,
I,10945,10945,10945,10945.0,6.6772,,
U,10894,10894,10894,10894.0,6.6461,,
O,10790,10790,10790,10790.0,6.5827,,
L,9050,9050,9050,9050.0,5.5212,,
M,5797,5797,5797,5797.0,3.5366,,
D,5128,5128,5128,5128.0,3.1285,,
C,4932,4932,4932,4932.0,3.0089,,
P,4313,4313,4313,4313.0,2.6312,,
V,2920,2920,2920,2920.0,1.7814,,
É,2714,2714,2714,2714.0,1.6557,,
Q,1968,1968,1968,1968.0,1.2006,,
H,1620,1620,1620,1620.0,0.9883,,
F,1590,1590,1590,1590.0,0.97,,
B,1516,1516,1516,1516.0,0.9249,,
J,1432,1432,1432,1432.0,0.8736,,
G,1369,1369,1369,1369.0,0.8352,,
À,745,745,745,745.0,0.4545,,
È,604,604,604,604.0,0.3685,,
X,589,589,589,589.0,0.3593,,
Y,521,521,521,521.0,0.3178,,
Z,450,450,450,450.0,0.2745,,
Ê,340,340,340,340.0,0.2074,,
Â,151,151,151,151.0,0.0921,,
W,120,120,120,120.0,0.0732,,
Î,114,114,114,114.0,0.0695,,
Ù,96,96,96,96.0,0.0586,,
Ô,88,88,88,88.0,0.0537,,
K,73,73,73,73.0,0.0445,,
Û,63,63,63,63.0,0.0384,,
Ç,59,59,59,59.0,0.036,,
Ë,19,19,19,19.0,0.0116,,
Ï,5,5,5,5.0,0.0031,,
Æ,4,4,4,4.0,0.0024,,
Ò,2,2,2,2.0,0.0012,,
