letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,12787,12765,12686,12554,12804,12833,12781,12800,12658,12684,12696,12773,12732,12731,12855,12739,12820,12873,12752,12813,12875,12841,12746,12738,12705,12687,12787,12740,12712,12835,12788,12781,12831,12971,12695,12664,12687,12793,12796,12579,12792,12567,12570,12896,12743,12750,12693,12724,12740,12713,12554,12971,12751.0,15.565,84.4394,7130.0102,25502.0
S,6154,6058,6050,6026,6089,6115,6080,6122,6165,6116,6046,6180,6206,5991,6157,6067,6120,6133,6133,6036,6116,6095,6025,6064,6135,6176,6007,6013,6234,6075,6120,6063,6142,6182,6023,6119,6093,6113,6122,6093,6101,5984,6068,6051,6138,6071,6166,6097,6234,6085,5984,6234,6100.0,7.4462,58.8629,3464.8363,12200.0
T,5728,5731,5846,5744,5763,5726,5755,5719,5766,5812,5709,5810,5723,5744,5708,5785,5845,5623,5777,5766,5707,5617,5740,5688,5636,5731,5768,5763,5792,5613,5734,5732,5645,5706,5744,5734,5746,5679,5683,5801,5659,5728,5719,5736,5701,5696,5650,5735,5752,5693,5613,5846,5728.0,6.9921,53.4169,2853.3616,11456.0
R,5714,5545,5738,5672,5686,5717,5757,5709,5668,5776,5780,5687,5693,5750,5744,5683,5652,5621,5737,5648,5634,5708,5707,5777,5622,5696,5673,5642,5680,5720,5561,5638,5788,5662,5780,5768,5716,5705,5677,5657,5712,5688,5639,5701,5633,5629,5740,5646,5748,5787,5545,5788,5694.0,6.9506,56.1904,3157.3588,11388.0
A,5720,5663,5723,5624,5583,5597,5647,5692,5680,5641,5642,5555,5563,5642,5681,5628,5712,5577,5612,5611,5593,5625,5642,5653,5694,5622,5603,5566,5738,5603,5557,5625,5705,5584,5569,5678,5717,5675,5684,5628,5681,5645,5670,5555,5637,5651,5660,5696,5654,5717,5555,5738,5642.0,6.8871,49.9967,2499.6735,11284.0
N,5573,5491,5480,5510,5590,5561,5564,5516,5491,5525,5519,5518,5502,5479,5531,5595,5617,5460,5591,5459,5538,5602,5491,5571,5560,5494,5561,5517,5563,5489,5553,5543,5560,5543,5542,5548,5446,5469,5557,5458,5520,5498,5457,5651,5510,5367,5545,5532,5556,5479,5367,5651,5525.0,6.7443,50.9122,2592.0555,11050.0
I,5514,5499,5329,5467,5497,5326,5439,5480,5428,5436,5463,5452,5448,5489,5497,5453,5513,5418,5479,5375,5467,5515,5499,5587,5436,5503,5496,5436,5454,5402,5462,5477,5457,5448,5444,5472,5493,5443,5564,5498,5451,5478,5475,5562,5435,5550,5571,5455,5467,5522,5326,5587,5470.0,6.6772,51.8086,2684.1261,10940.0
U,5458,5367,5517,5445,5415,5464,5433,5410,5447,5347,5373,5373,5455,5329,5426,5418,5424,5438,5327,5402,5489,5386,5453,5477,5504,5443,5386,5373,5475,5413,5436,5415,5479,5446,5471,5466,5476,5490,5431,5482,5415,5431,5377,5487,5437,5529,5584,5374,5499,5486,5327,5584,5437.0,6.6369,52.3201,2737.3943,10874.0
O,5407,5346,5473,5403,5406,5399,5414,5411,5327,5447,5316,5436,5394,5393,5400,5389,5378,5454,5396,5342,5426,5377,5440,5343,5409,5394,5364,5444,5343,5369,5325,5342,5477,5483,5369,5331,5438,5367,5300,5330,5334,5414,5393,5377,5345,5375,5433,5410,5345,5419,5300,5483,5388.0,6.5771,44.5721,1986.6698,10776.0
L,4469,4465,4527,4535,4507,4605,4540,4501,4638,4521,4506,4561,4544,4590,4505,4577,4497,4528,4500,4536,4533,4466,4497,4538,4538,4557,4518,4525,4538,4507,4529,4557,4433,4526,4446,4466,4560,4490,4463,4518,4537,4484,4542,4556,4608,4499,4513,4556,4581,4537,4433,4638,4525.0,5.5236,41.6144,1731.7551,9050.0
M,2902,2906,2873,2786,2949,2907,2940,2868,2916,2850,2992,2908,2864,2918,2798,2894,2953,2915,2925,2893,2914,2892,2833,2871,2910,2863,2852,2930,2924,2869,2962,2959,2872,2863,2922,2902,2977,2918,2850,2945,2888,2891,2889,2922,2910,2930,2916,2929,2883,2920,2786,2992,2901.0,3.5412,40.901,1672.8902,5802.0
D,2542,2609,2583,2547,2569,2582,2589,2593,2556,2560,2585,2542,2597,2576,2563,2626,2569,2584,2581,2494,2606,2548,2614,2583,2584,2514,2556,2634,2575,2529,2509,2503,2597,2517,2549,2609,2541,2603,2498,2494,2624,2558,2612,2681,2591,2572,2594,2606,2581,2533,2494,2681,2571.0,3.1384,39.403,1552.5943,5142.0
