letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,25574.0,25530.0,25372.0,25108.0,25608.0,25666.0,25562.0,25600.0,25316.0,25368.0,25392.0,25546.0,25464.0,25462.0,25710.0,25478.0,25640.0,25746.0,25504.0,25626.0,25750.0,25682.0,25492.0,25476.0,25410.0,25374.0,25574.0,25480.0,25424.0,25670.0,25576.0,25562.0,25662.0,25942.0,25390.0,25328.0,25374.0,25586.0,25592.0,25158.0,25584.0,25134.0,25140.0,25792.0,25486.0,25500.0,25386.0,25448.0,25480.0,25426.0,25108.0,25942.0,25503.0,15.5639,168.8788,28520.0408
S,12308.0,12116.0,12100.0,12052.0,12178.0,12230.0,12160.0,12244.0,12330.0,12232.0,12092.0,12360.0,12412.0,11982.0,12314.0,12134.0,12240.0,12266.0,12266.0,12072.0,12232.0,12190.0,12050.0,12128.0,12270.0,12352.0,12014.0,12026.0,12468.0,12150.0,12240.0,12126.0,12284.0,12364.0,12046.0,12238.0,12186.0,12226.0,12244.0,12186.0,12202.0,11968.0,12136.0,12102.0,12276.0,12142.0,12332.0,12194.0,12468.0,12170.0,11968.0,12468.0,12201.0,7.446,117.7257,13859.3453
T,11456.0,11462.0,11692.0,11488.0,11526.0,11452.0,11510.0,11438.0,11532.0,11624.0,11418.0,11620.0,11446.0,11488.0,11416.0,11570.0,11690.0,11246.0,11554.0,11532.0,11414.0,11234.0,11480.0,11376.0,11272.0,11462.0,11536.0,11526.0,11584.0,11226.0,11468.0,11464.0,11290.0,11412.0,11488.0,11468.0,11492.0,11358.0,11366.0,11602.0,11318.0,11456.0,11438.0,11472.0,11402.0,11392.0,11300.0,11470.0,11504.0,11386.0,11226.0,11692.0,11456.0,6.9913,106.8337,11413.4465
R,11428.0,11090.0,11476.0,11344.0,11372.0,11434.0,11514.0,11418.0,11336.0,11552.0,11560.0,11374.0,11386.0,11500.0,11488.0,11366.0,11304.0,11242.0,11474.0,11296.0,11268.0,11416.0,11414.0,11554.0,11244.0,11392.0,11346.0,11284.0,11360.0,11440.0,11122.0,11276.0,11576.0,11324.0,11560.0,11536.0,11432.0,11410.0,11354.0,11314.0,11424.0,11376.0,11278.0,11402.0,11266.0,11258.0,11480.0,11292.0,11496.0,11574.0,11090.0,11576.0,11388.0,6.9498,112.3808,12629.4351
A,11440.0,11326.0,11446.0,11248.0,11166.0,11194.0,11294.0,11384.0,11360.0,11282.0,11284.0,11110.0,11126.0,11284.0,11362.0,11256.0,11424.0,11154.0,11224.0,11222.0,11186.0,11250.0,11284.0,11306.0,11388.0,11244.0,11206.0,11132.0,11476.0,11206.0,11114.0,11250.0,11410.0,11168.0,11138.0,11356.0,11434.0,11350.0,11368.0,11256.0,11362.0,11290.0,11340.0,11110.0,11274.0,11302.0,11320.0,11392.0,11308.0,11434.0,11110.0,11476.0,11284.0,6.8864,99.9935,9998.6939
N,11146.0,10982.0,10960.0,11020.0,11180.0,11122.0,11128.0,11032.0,10982.0,11050.0,11038.0,11036.0,11004.0,10958.0,11062.0,11190.0,11234.0,10920.0,11182.0,10918.0,11076.0,11204.0,10982.0,11142.0,11120.0,10988.0,11122.0,11034.0,11126.0,10978.0,11106.0,11086.0,11120.0,11086.0,11084.0,11096.0,10892.0,10938.0,11114.0,10916.0,11040.0,10996.0,10914.0,11302.0,11020.0,10734.0,11090.0,11064.0,11112.0,10958.0,10734.0,11302.0,11051.0,6.7442,101.8245,10368.222
I,11028.0,10998.0,10658.0,10934.0,10994.0,10652.0,10878.0,10960.0,10856.0,10872.0,10926.0,10904.0,10896.0,10978.0,10994.0,10906.0,11026.0,10836.0,10958.0,10750.0,10934.0,11030.0,10998.0,11174.0,10872.0,11006.0,10992.0,10872.0,10908.0,10804.0,10924.0,10954.0,10914.0,10896.0,10888.0,10944.0,10986.0,10886.0,11128.0,10996.0,10902.0,10956.0,10950.0,11124.0,10870.0,11100.0,11142.0,10910.0,10934.0,11044.0,10652.0,11174.0,10940.0,6.6764,103.6171,10736.5045
U,10916.0,10734.0,11034.0,10890.0,10830.0,10928.0,10866.0,10820.0,10894.0,10694.0,10746.0,10746.0,10910.0,10658.0,10852.0,10836.0,10848.0,10876.0,10654.0,10804.0,10978.0,10772.0,10906.0,10954.0,11008.0,10886.0,10772.0,10746.0,10950.0,10826.0,10872.0,10830.0,10958.0,10892.0,10942.0,10932.0,10952.0,10980.0,10862.0,10964.0,10830.0,10862.0,10754.0,10974.0,10874.0,11058.0,11168.0,10748.0,10998.0,10972.0,10654.0,11168.0,10875.0,6.6368,104.6402,10949.5771
O,10814.0,10692.0,10946.0,10806.0,10812.0,10798.0,10828.0,10822.0,10654.0,10894.0,10632.0,10872.0,10788.0,10786.0,10800.0,10778.0,10756.0,10908.0,10792.0,10684.0,10852.0,10754.0,10880.0,10686.0,10818.0,10788.0,10728.0,10888.0,10686.0,10738.0,10650.0,10684.0,10954.0,10966.0,10738.0,10662.0,10876.0,10734.0,10600.0,10660.0,10668.0,10828.0,10786.0,10754.0,10690.0,10750.0,10866.0,10820.0,10690.0,10838.0,10600.0,10966.0,10777.0,6.577,89.1441,7946.6792
L,8938.0,8930.0,9054.0,9070.0,9014.0,9210.0,9080.0,9002.0,9276.0,9042.0,9012.0,9122.0,9088.0,9180.0,9010.0,9154.0,8994.0,9056.0,9000.0,9072.0,9066.0,8932.0,8994.0,9076.0,9076.0,9114.0,9036.0,9050.0,9076.0,9014.0,9058.0,9114.0,8866.0,9052.0,8892.0,8932.0,9120.0,8980.0,8926.0,9036.0,9074.0,8968.0,9084.0,9112.0,9216.0,8998.0,9026.0,9112.0,9162.0,9074.0,8866.0,9276.0,9050.0,5.523,83.2287,6927.0204
M,5804.0,5812.0,5746.0,5572.0,5898.0,5814.0,5880.0,5736.0,5832.0,5700.0,5984.0,5816.0,5728.0,5836.0,5596.0,5788.0,5906.0,5830.0,5850.0,5786.0,5828.0,5784.0,5666.0,5742.0,5820.0,5726.0,5704.0,5860.0,5848.0,5738.0,5924.0,5918.0,5744.0,5726.0,5844.0,5804.0,5954.0,5836.0,5700.0,5890.0,5776.0,5782.0,5778.0,5844.0,5820.0,5860.0,5832.0,5858.0,5766.0,5840.0,5572.0,5984.0,5802.0,3.5408,81.802,6691.5608
