letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,26,24,25,26,27,25,24,24,24,24,25,25,26,25,28,25,26,26,26,24,26,27,25,25,25,23,24,24,25,26,26,25,24,24,27,24,25,26,24,24,27,24,26,26,25,24,26,23,25,27,23,28,25.0,4.817,1.143,1.3065,13983.0
N,25,22,26,25,24,22,23,24,24,23,25,22,24,21,24,25,24,22,25,24,24,21,24,26,24,25,23,24,23,24,23,23,25,23,24,23,22,25,26,25,24,23,24,24,23,23,25,23,23,26,21,26,23.0,4.4316,1.2337,1.522,6991.0
I,22,24,22,26,22,24,24,22,22,24,24,22,22,23,24,23,24,23,24,24,25,22,26,22,23,22,23,24,24,24,24,25,22,22,22,23,22,25,23,24,22,23,25,24,22,24,23,24,23,24,22,26,23.0,4.4316,1.1328,1.2833,6991.0
R,22,24,23,24,25,21,22,23,23,24,20,24,22,22,22,23,22,22,22,23,22,23,24,24,22,22,22,22,24,22,23,22,23,25,22,23,20,22,24,23,22,23,21,24,23,22,25,22,24,24,20,25,22.0,4.2389,1.1572,1.3392,4943.0
T,23,23,22,24,23,24,22,22,24,23,24,25,21,25,21,22,23,21,23,22,22,24,25,25,22,21,25,22,24,20,22,23,22,23,23,21,22,22,21,22,24,21,21,21,21,21,22,21,23,20,20,25,22.0,4.2389,1.3734,1.8861,4943.0
H,22,23,21,25,23,22,21,20,22,22,21,24,21,19,22,21,22,22,21,22,23,22,21,22,22,23,21,23,23,22,20,23,22,22,22,24,20,23,22,22,22,23,22,21,22,21,24,22,24,23,19,25,22.0,4.2389,1.1599,1.3453,4943.0
S,24,26,22,22,21,23,21,22,20,24,22,20,23,21,22,21,23,23,23,24,24,25,22,22,21,22,23,24,22,23,23,21,21,23,25,22,23,22,21,24,22,24,22,22,22,24,24,21,23,22,20,26,22.0,4.2389,1.313,1.7241,4943.0
L,22,23,22,23,22,21,23,20,22,21,21,21,22,19,22,19,22,21,21,21,21,19,20,22,22,20,21,22,23,22,25,22,19,20,23,22,20,19,21,21,21,20,21,18,21,23,22,22,20,22,18,25,21.0,4.0462,1.3486,1.8188,3495.0
A,23,23,21,21,22,21,21,22,22,22,24,21,22,21,20,20,21,22,20,20,23,24,21,21,22,19,23,23,21,20,22,21,23,22,22,23,22,20,22,20,21,23,20,21,20,22,24,19,23,19,19,24,21.0,4.0462,1.3132,1.7245,3495.0
D,21,22,21,21,23,22,22,24,21,21,21,23,22,22,24,21,22,19,20,21,24,21,22,21,21,21,24,20,23,21,22,21,23,22,22,25,22,22,23,21,20,21,23,21,23,22,22,23,22,20,19,25,21.0,4.0462,1.2237,1.4976,3495.0
U,23,22,21,20,23,22,22,22,21,21,21,21,24,21,21,20,19,21,20,22,20,23,23,23,20,21,19,22,22,23,22,20,22,21,21,23,19,22,20,21,21,21,23,20,19,20,19,21,21,20,19,24,21.0,4.0462,1.2728,1.62,3495.0
G,19,19,19,20,20,20,19,22,20,21,22,18,20,21,21,20,22,22,21,19,20,18,19,20,21,20,18,21,20,20,18,21,19,20,22,21,20,18,18,21,18,21,20,20,20,20,20,21,22,18,18,22,20.0,3.8536,1.2289,1.5102,2471.0
O,19,21,20,20,21,20,19,22,21,19,22,21,19,20,20,22,21,20,19,18,19,22,20,23,21,22,23,20,21,20,18,20,20,20,21,20,20,18,20,20,20,25,22,21,20,20,20,22,21,18,18,25,20.0,3.8536,1.3864,1.922,2471.0
M,20,21,21,19,22,19,19,22,21,19,21,19,20,23,20,21,22,20,21,20,21,21,21,21,19,23,22,21,23,20,20,20,20,22,19,18,20,22,22,21,20,22,20,20,19,19,20,19,19,20,18,23,20.0,3.8536,1.2329,1.52,2471.0
C,20,21,20,20,22,20,20,20,22,21,19,20,20,20,21,24,19,21,21,22,21,20,21,22,20,21,22,24,20,19,18,20,21,22,21,22,23,20,20,20,20,22,21,21,22,20,20,20,20,20,18,24,20.0,3.8536,1.1959,1.4302,2471.0
W,20,19,22,20,19,19,18,22,19,20,19,20,19,20,22,20,20,17,20,18,19,19,21,19,19,22,17,17,20,21,19,20,19,22,20,18,18,21,21,19,22,19,20,20,18,20,19,18,19,18,17,22,19.0,3.6609,1.3433,1.8045,1747.0
B,22,21,18,19,20,20,21,19,19,20,21,19,19,19,18,20,22,19,18,18,21,18,20,23,20,19,18,22,17,20,20,21,20,20,19,21,19,18,19,20,20,19,18,20,21,19,19,19,20,19,17,23,19.0,3.6609,1.2599,1.5873,1747.0
F,20,19,19,18,20,17,19,19,18,19,20,18,18,18,19,17,17,18,19,17,19,18,20,18,18,19,19,17,18,18,17,20,21,17,19,19,19,18,17,17,18,19,17,20,17,16,17,20,21,20,16,21,18.0,3.4682,1.198,1.4351,1235.0
