letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,19776.0,9887.0,13983.0,19776.0,27968.0,13983.0,9887.0,9887.0,9887.0,9887.0,13983.0,13983.0,19776.0,13983.0,39553.0,13983.0,19776.0,19776.0,19776.0,9887.0,19776.0,27968.0,13983.0,13983.0,13983.0,6991.0,9887.0,9887.0,13983.0,19776.0,19776.0,13983.0,9887.0,9887.0,27968.0,9887.0,13983.0,19776.0,9887.0,9887.0,27968.0,9887.0,19776.0,19776.0,13983.0,9887.0,19776.0,6991.0,13983.0,27968.0,6991.0,39553.0,15890.0,15.5615,6754.4068,45622011.0612
N,13983.0,4943.0,19776.0,13983.0,9887.0,4943.0,6991.0,9887.0,9887.0,6991.0,13983.0,4943.0,9887.0,3495.0,9887.0,13983.0,9887.0,4943.0,13983.0,9887.0,9887.0,3495.0,9887.0,19776.0,9887.0,13983.0,6991.0,9887.0,6991.0,9887.0,6991.0,6991.0,13983.0,6991.0,9887.0,6991.0,4943.0,13983.0,19776.0,13983.0,9887.0,6991.0,9887.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,19776.0,3495.0,19776.0,9994.0,9.7874,4216.8893,17782155.3078
I,4943.0,9887.0,4943.0,19776.0,4943.0,9887.0,9887.0,4943.0,4943.0,9887.0,9887.0,4943.0,4943.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,13983.0,4943.0,19776.0,4943.0,6991.0,4943.0,6991.0,9887.0,9887.0,9887.0,9887.0,13983.0,4943.0,4943.0,4943.0,6991.0,4943.0,13983.0,6991.0,9887.0,4943.0,6991.0,13983.0,9887.0,4943.0,9887.0,6991.0,9887.0,6991.0,9887.0,4943.0,19776.0,8448.0,8.2733,3597.7711,12943956.9371
R,4943.0,9887.0,6991.0,9887.0,13983.0,3495.0,4943.0,6991.0,6991.0,9887.0,2471.0,9887.0,4943.0,4943.0,4943.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,6991.0,9887.0,9887.0,4943.0,4943.0,4943.0,4943.0,9887.0,4943.0,6991.0,4943.0,6991.0,13983.0,4943.0,6991.0,2471.0,4943.0,9887.0,6991.0,4943.0,6991.0,3495.0,9887.0,6991.0,4943.0,13983.0,4943.0,9887.0,9887.0,2471.0,13983.0,6907.0,6.7642,2813.1033,7913550.3673
S,9887.0,19776.0,4943.0,4943.0,3495.0,6991.0,3495.0,4943.0,2471.0,9887.0,4943.0,2471.0,6991.0,3495.0,4943.0,3495.0,6991.0,6991.0,6991.0,9887.0,9887.0,13983.0,4943.0,4943.0,3495.0,4943.0,6991.0,9887.0,4943.0,6991.0,6991.0,3495.0,3495.0,6991.0,13983.0,4943.0,6991.0,4943.0,3495.0,9887.0,4943.0,9887.0,4943.0,4943.0,4943.0,9887.0,9887.0,3495.0,6991.0,4943.0,2471.0,19776.0,6582.0,6.4459,3339.0896,11149519.3996
T,6991.0,6991.0,4943.0,9887.0,6991.0,9887.0,4943.0,4943.0,9887.0,6991.0,9887.0,13983.0,3495.0,13983.0,3495.0,4943.0,6991.0,3495.0,6991.0,4943.0,4943.0,9887.0,13983.0,13983.0,4943.0,3495.0,13983.0,4943.0,9887.0,2471.0,4943.0,6991.0,4943.0,6991.0,6991.0,3495.0,4943.0,4943.0,3495.0,4943.0,9887.0,3495.0,3495.0,3495.0,3495.0,3495.0,4943.0,3495.0,6991.0,2471.0,2471.0,13983.0,6502.0,6.3676,3311.8674,10968465.8678
H,4943.0,6991.0,3495.0,13983.0,6991.0,4943.0,3495.0,2471.0,4943.0,4943.0,3495.0,9887.0,3495.0,1747.0,4943.0,3495.0,4943.0,4943.0,3495.0,4943.0,6991.0,4943.0,3495.0,4943.0,4943.0,6991.0,3495.0,6991.0,6991.0,4943.0,2471.0,6991.0,4943.0,4943.0,4943.0,9887.0,2471.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,3495.0,4943.0,3495.0,9887.0,4943.0,9887.0,6991.0,1747.0,13983.0,5427.0,5.3148,2300.1079,5290496.32
D,3495.0,4943.0,3495.0,3495.0,6991.0,4943.0,4943.0,9887.0,3495.0,3495.0,3495.0,6991.0,4943.0,4943.0,9887.0,3495.0,4943.0,1747.0,2471.0,3495.0,9887.0,3495.0,4943.0,3495.0,3495.0,3495.0,9887.0,2471.0,6991.0,3495.0,4943.0,3495.0,6991.0,4943.0,4943.0,13983.0,4943.0,4943.0,6991.0,3495.0,2471.0,3495.0,6991.0,3495.0,6991.0,4943.0,4943.0,6991.0,4943.0,2471.0,1747.0,13983.0,5093.0,4.9877,2399.9366,5759695.8367
A,6991.0,6991.0,3495.0,3495.0,4943.0,3495.0,3495.0,4943.0,4943.0,4943.0,9887.0,3495.0,4943.0,3495.0,2471.0,2471.0,3495.0,4943.0,2471.0,2471.0,6991.0,9887.0,3495.0,3495.0,4943.0,1747.0,6991.0,6991.0,3495.0,2471.0,4943.0,3495.0,6991.0,4943.0,4943.0,6991.0,4943.0,2471.0,4943.0,2471.0,3495.0,6991.0,2471.0,3495.0,2471.0,4943.0,9887.0,1747.0,6991.0,1747.0,1747.0,9887.0,4595.0,4.5,2108.8888,4447411.9118
L,4943.0,6991.0,4943.0,6991.0,4943.0,3495.0,6991.0,2471.0,4943.0,3495.0,3495.0,3495.0,4943.0,1747.0,4943.0,1747.0,4943.0,3495.0,3495.0,3495.0,3495.0,1747.0,2471.0,4943.0,4943.0,2471.0,3495.0,4943.0,6991.0,4943.0,13983.0,4943.0,1747.0,2471.0,6991.0,4943.0,2471.0,1747.0,3495.0,3495.0,3495.0,2471.0,3495.0,1235.0,3495.0,6991.0,4943.0,4943.0,2471.0,4943.0,1235.0,13983.0,4224.0,4.1367,2109.3097,4449187.5527
