letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,14717,14717,14717,14717.0,14.8342,,
N,9034,9034,9034,9034.0,9.1059,,
I,8494,8494,8494,8494.0,8.5616,,
R,7219,7219,7219,7219.0,7.2765,,
S,6601,6601,6601,6601.0,6.6536,,
T,6513,6513,6513,6513.0,6.5649,,
H,5708,5708,5708,5708.0,5.7535,,
A,4715,4715,4715,4715.0,4.7525,,
D,4427,4427,4427,4427.0,4.4623,,
U,4142,4142,4142,4142.0,4.175,,
L,3912,3912,3912,3912.0,3.9432,,
C,3632,3632,3632,3632.0,3.6609,,
M,3220,3220,3220,3220.0,3.2456,,
O,3187,3187,3187,3187.0,3.2124,,
G,2609,2609,2609,2609.0,2.6298,,
W,1978,1978,1978,1978.0,1.9938,,
B,1962,1962,1962,1962.0,1.9776,,
F,1576,1576,1576,1576.0,1.5885,,
Z,1125,1125,1125,1125.0,1.134,,
K,1021,1021,1021,1021.0,1.0291,,
Ä,712,712,712,712.0,0.7177,,
V,704,704,704,704.0,0.7096,,
P,695,695,695,695.0,0.7005,,
Ü,565,565,565,565.0,0.5695,,
J,375,375,375,375.0,0.378,,
Ö,279,279,279,279.0,0.2812,,
Y,72,72,72,72.0,0.0726,,
Q,12,12,12,12.0,0.0121,,
X,3,3,3,3.0,0.003,,
É,1,1,1,1.0,0.001,,
