letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,14522.0,15030.0,14694.0,14758.0,14654.0,14666.0,14752.0,14654.0,14676.0,14462.0,14680.0,14816.0,14760.0,14616.0,14808.0,14832.0,14892.0,14714.0,14726.0,14798.0,14742.0,14834.0,14718.0,14732.0,14808.0,14904.0,14634.0,14668.0,14740.0,14824.0,14656.0,14636.0,14630.0,14600.0,14716.0,14932.0,14908.0,14736.0,14656.0,14668.0,14726.0,14780.0,14832.0,14900.0,14864.0,14780.0,14880.0,14786.0,14790.0,14892.0,14462.0,15030.0,14749.0,14.8757,109.621,12016.7657
N,8926.0,8948.0,9084.0,9100.0,9094.0,9248.0,9032.0,9092.0,9122.0,8978.0,8952.0,8952.0,8968.0,9108.0,9068.0,8954.0,8944.0,9018.0,9088.0,9218.0,8934.0,9032.0,8962.0,8988.0,9054.0,8938.0,8968.0,9320.0,8958.0,9098.0,8972.0,9044.0,9072.0,9092.0,8940.0,9090.0,8896.0,8928.0,9150.0,8942.0,8862.0,8976.0,9048.0,8964.0,8970.0,9046.0,8902.0,8894.0,8956.0,9150.0,8862.0,9320.0,9020.0,9.0975,95.994,9214.8571
I,8418.0,8520.0,8546.0,8662.0,8566.0,8486.0,8482.0,8648.0,8512.0,8436.0,8452.0,8492.0,8796.0,8308.0,8578.0,8414.0,8518.0,8222.0,8478.0,8552.0,8646.0,8520.0,8396.0,8536.0,8624.0,8438.0,8486.0,8506.0,8652.0,8386.0,8438.0,8408.0,8612.0,8266.0,8458.0,8434.0,8420.0,8498.0,8482.0,8454.0,8430.0,8422.0,8498.0,8504.0,8422.0,8572.0,8436.0,8524.0,8636.0,8458.0,8222.0,8796.0,8492.0,8.565,102.6492,10536.8555
R,7056.0,7190.0,7212.0,7240.0,7402.0,7286.0,7328.0,7264.0,7178.0,7296.0,7170.0,7264.0,7104.0,7216.0,7224.0,7212.0,7240.0,7172.0,7220.0,7328.0,7272.0,7104.0,7182.0,7226.0,7210.0,7302.0,7296.0,7112.0,7182.0,7270.0,7128.0,7194.0,7144.0,7190.0,7258.0,7178.0,7162.0,7386.0,7168.0,7224.0,7128.0,7118.0,7188.0,7234.0,7118.0,7078.0,7168.0,7244.0,7184.0,7252.0,7056.0,7402.0,7210.0,7.272,74.0992,5490.6922
S,6612.0,6518.0,6568.0,6670.0,6656.0,6686.0,6478.0,6654.0,6562.0,6482.0,6564.0,6670.0,6508.0,6546.0,6520.0,6574.0,6584.0,6664.0,6648.0,6578.0,6684.0,6570.0,6604.0,6804.0,6556.0,6544.0,6540.0,6668.0,6600.0,6640.0,6588.0,6526.0,6662.0,6572.0,6574.0,6632.0,6522.0,6586.0,6554.0,6498.0,6564.0,6654.0,6514.0,6530.0,6808.0,6576.0,6646.0,6700.0,6548.0,6506.0,6478.0,6808.0,6594.0,6.6507,73.6596,5425.7371
T,6506.0,6492.0,6408.0,6456.0,6678.0,6436.0,6508.0,6478.0,6544.0,6502.0,6694.0,6430.0,6658.0,6542.0,6528.0,6314.0,6328.0,6478.0,6622.0,6464.0,6484.0,6440.0,6522.0,6556.0,6534.0,6594.0,6482.0,6426.0,6578.0,6614.0,6522.0,6474.0,6488.0,6464.0,6670.0,6466.0,6524.0,6326.0,6692.0,6368.0,6624.0,6498.0,6442.0,6378.0,6716.0,6692.0,6414.0,6460.0,6396.0,6556.0,6314.0,6716.0,6509.0,6.5649,100.5654,10113.4057
H,5770.0,5602.0,5660.0,5758.0,5842.0,5612.0,5760.0,5738.0,5754.0,5740.0,5710.0,5724.0,5700.0,5758.0,5766.0,5706.0,5732.0,5710.0,5776.0,5786.0,5730.0,5706.0,5768.0,5714.0,5596.0,5766.0,5654.0,5772.0,5762.0,5666.0,5664.0,5854.0,5642.0,5814.0,5676.0,5456.0,5668.0,5756.0,5668.0,5720.0,5760.0,5734.0,5832.0,5654.0,5810.0,5696.0,5622.0,5638.0,5684.0,5670.0,5456.0,5854.0,5715.0,5.7641,72.2842,5225.0057
A,4734.0,4638.0,4764.0,4798.0,4718.0,4708.0,4742.0,4856.0,4710.0,4802.0,4794.0,4692.0,4634.0,4690.0,4790.0,4658.0,4786.0,4694.0,4818.0,4812.0,4726.0,4634.0,4658.0,4774.0,4710.0,4806.0,4720.0,4728.0,4774.0,4666.0,4788.0,4746.0,4750.0,4698.0,4692.0,4800.0,4634.0,4684.0,4770.0,4726.0,4684.0,4734.0,4668.0,4618.0,4692.0,4692.0,4742.0,4626.0,4812.0,4676.0,4618.0,4856.0,4725.0,4.7656,59.6666,3560.0996
D,4370.0,4538.0,4460.0,4354.0,4404.0,4376.0,4456.0,4378.0,4386.0,4290.0,4458.0,4426.0,4504.0,4348.0,4486.0,4364.0,4356.0,4472.0,4464.0,4396.0,4334.0,4414.0,4424.0,4478.0,4392.0,4406.0,4396.0,4466.0,4386.0,4416.0,4502.0,4414.0,4428.0,4410.0,4446.0,4550.0,4472.0,4426.0,4594.0,4350.0,4298.0,4498.0,4346.0,4472.0,4368.0,4430.0,4386.0,4356.0,4400.0,4316.0,4290.0,4594.0,4417.0,4.455,64.2559,4128.8163
U,4012.0,4124.0,4056.0,4182.0,4236.0,4182.0,4194.0,4098.0,4078.0,4156.0,4054.0,4048.0,4010.0,4116.0,4062.0,4162.0,4098.0,4158.0,4104.0,4162.0,4164.0,4038.0,4260.0,4078.0,4102.0,4060.0,4126.0,4092.0,4140.0,4188.0,4290.0,4082.0,4048.0,4018.0,4080.0,4122.0,4092.0,4254.0,4158.0,4100.0,4080.0,4140.0,4272.0,4248.0,4146.0,4164.0,4220.0,4052.0,4128.0,4150.0,4010.0,4290.0,4127.0,4.1625,70.178,4924.9567
L,3988.0,3924.0,3890.0,3886.0,3904.0,3882.0,3874.0,3856.0,4052.0,3954.0,3926.0,3890.0,3824.0,3924.0,3924.0,3958.0,3878.0,3932.0,3980.0,4030.0,3996.0,3924.0,3946.0,3894.0,3944.0,3904.0,3938.0,3872.0,4004.0,3788.0,3910.0,3900.0,3968.0,3880.0,3914.0,3880.0,3826.0,3906.0,3988.0,3844.0,4010.0,3840.0,3974.0,3856.0,3824.0,3964.0,3908.0,3902.0,3950.0,3984.0,3788.0,4052.0,3918.0,3.9517,57.314,3284.8996
C,3688.0,3674.0,3626.0,3560.0,3654.0,3640.0,3602.0,3656.0,3642.0,3562.0,3662.0,3648.0,3616.0,3652.0,3690.0,3570.0,3580.0,3650.0,3630.0,3658.0,3712.0,3742.0,3588.0,3624.0,3588.0,3754.0,3702.0,3744.0,3488.0,3628.0,3772.0,3606.0,3506.0,3690.0,3668.0,3538.0,3514.0,3612.0,3734.0,3630.0,3696.0,3694.0,3600.0,3656.0,3548.0,3774.0,3626.0,3562.0,3486.0,3716.0,3486.0,3774.0,3637.0,3.6683,71.2146,5071.5249
M,3208.0,3268.0,3254.0,3262.0,3192.0,3218.0,3262.0,3236.0,3238.0,3046.0,3226.0,3198.0,3214.0,3254.0,3174.0,3294.0,3154.0,3134.0,3246.0,3214.0,3250.0,3106.0,3292.0,3254.0,3214.0,3200.0,3104.0,3214.0,3282.0,3314.0,3198.0,3176.0,3292.0,3264.0,3278.0,3204.0,3236.0,3262.0,3250.0,3228.0,3230.0,3152.0,3208.0,3298.0,3220.0,3218.0,3152.0,3238.0,3174.0,3296.0,3046.0,3314.0,3221.0,3.2487,54.799,3002.9322
O,3140.0,3100.0,3082.0,3252.0,3154.0,3274.0,3152.0,3218.0,3286.0,3190.0,3254.0,3252.0,3082.0,3264.0,3156.0,3224.0,3180.0,3200.0,3240.0,3140.0,3294.0,3084.0,3152.0,3290.0,3242.0,3224.0,3168.0,3328.0,3172.0,3156.0,3140.0,3126.0,3204.0,3130.0,3172.0,3218.0,3094.0,3098.0,3104.0,3244.0,3196.0,3220.0,3262.0,3258.0,3236.0,3176.0,3228.0,3242.0,3210.0,3158.0,3082.0,3328.0,3193.0,3.2204,62.9916,3967.9363
G,2626.0,2570.0,2554.0,2546.0,2602.0,2678.0,2614.0,2600.0,2590.0,2610.0,2612.0,2594.0,2600.0,2534.0,2610.0,2566.0,2556.0,2560.0,2666.0,2588.0,2566.0,2638.0,2552.0,2570.0,2578.0,2626.0,2648.0,2516.0,2600.0,2582.0,2624.0,2606.0,2572.0,2556.0,2620.0,2548.0,2612.0,2496.0,2552.0,2662.0,2652.0,2672.0,2658.0,2658.0,2528.0,2646.0,2596.0,2548.0,2558.0,2586.0,2496.0,2678.0,2594.0,2.6163,43.3147,1876.1616
W,1920.0,2086.0,1996.0,1978.0,2008.0,1986.0,1960.0,1948.0,1948.0,1954.0,1928.0,1956.0,1918.0,2040.0,1912.0,2024.0,1996.0,1980.0,1970.0,1988.0,2058.0,1976.0,1900.0,1934.0,2042.0,1954.0,2038.0,1872.0,1966.0,1910.0,2024.0,2004.0,1928.0,1996.0,1984.0,1900.0,2024.0,2000.0,2024.0,1958.0,1964.0,1972.0,1990.0,2006.0,1942.0,1900.0,1984.0,1946.0,1978.0,1992.0,1872.0,2086.0,1973.0,1.99,45.3159,2053.5331
B,2002.0,1980.0,1984.0,1984.0,1958.0,1892.0,1954.0,2004.0,2000.0,1950.0,1972.0,1832.0,1982.0,1928.0,2012.0,1880.0,1894.0,1946.0,1934.0,1978.0,1940.0,1974.0,1972.0,1974.0,1898.0,1998.0,1950.0,1974.0,1908.0,2034.0,1908.0,1900.0,1930.0,1972.0,1866.0,1974.0,2004.0,1972.0,1926.0,1944.0,1986.0,1962.0,2008.0,1964.0,1974.0,1898.0,1970.0,1946.0,1924.0,1980.0,1832.0,2034.0,1953.0,1.9698,41.9094,1756.4016
F,1502.0,1582.0,1614.0,1588.0,1558.0,1564.0,1536.0,1532.0,1602.0,1566.0,1544.0,1596.0,1564.0,1528.0,1616.0,1570.0,1522.0,1644.0,1578.0,1540.0,1586.0,1616.0,1604.0,1588.0,1528.0,1576.0,1582.0,1616.0,1578.0,1606.0,1564.0,1570.0,1584.0,1536.0,1494.0,1498.0,1504.0,1560.0,1482.0,1596.0,1560.0,1646.0,1606.0,1524.0,1546.0,1546.0,1542.0,1586.0,1538.0,1608.0,1482.0,1646.0,1566.0,1.5795,38.4991,1482.1812
Z,1110.0,1102.0,1112.0,1128.0,1168.0,1148.0,1146.0,1096.0,1140.0,1102.0,1088.0,1102.0,1190.0,1106.0,1156.0,1124.0,1116.0,1058.0,1146.0,1058.0,1088.0,1064.0,1096.0,1164.0,1108.0,1136.0,1090.0,1156.0,1184.0,1076.0,1060.0,1176.0,1142.0,1140.0,1106.0,1146.0,1122.0,1140.0,1088.0,1120.0,1078.0,1182.0,1168.0,1144.0,1118.0,1054.0,1108.0,1092.0,1152.0,1130.0,1054.0,1190.0,1120.0,1.1296,35.5311,1262.4588
K,1032.0,1032.0,1020.0,1004.0,1092.0,966.0,998.0,1060.0,1006.0,1086.0,1046.0,1022.0,1000.0,1008.0,1066.0,1052.0,952.0,1018.0,1018.0,1000.0,1026.0,1046.0,1058.0,988.0,1030.0,1010.0,1022.0,998.0,990.0,1090.0,1018.0,944.0,978.0,1032.0,994.0,994.0,1034.0,1048.0,1048.0,988.0,972.0,1066.0,1040.0,998.0,1024.0,1012.0,986.0,1032.0,964.0,988.0,944.0,1092.0,1017.0,1.0257,34.0467,1159.1771
Ä,742.0,726.0,686.0,704.0,718.0,702.0,694.0,684.0,728.0,700.0,704.0,754.0,728.0,732.0,708.0,724.0,694.0,700.0,726.0,716.0,746.0,708.0,722.0,726.0,708.0,686.0,750.0,690.0,666.0,666.0,762.0,708.0,718.0,714.0,708.0,696.0,680.0,746.0,676.0,748.0,716.0,718.0,722.0,692.0,708.0,698.0,698.0,706.0,728.0,744.0,666.0,762.0,712.0,0.7181,22.5825,509.969
V,722.0,708.0,744.0,692.0,708.0,700.0,678.0,724.0,704.0,694.0,684.0,668.0,686.0,696.0,718.0,746.0,696.0,728.0,684.0,722.0,716.0,692.0,726.0,696.0,680.0,696.0,650.0,762.0,720.0,666.0,676.0,684.0,700.0,718.0,640.0,716.0,708.0,728.0,728.0,672.0,674.0,690.0,708.0,700.0,704.0,704.0,728.0,728.0,698.0,646.0,640.0,762.0,701.0,0.707,25.2535,637.7404
P,706.0,714.0,676.0,686.0,684.0,654.0,696.0,710.0,736.0,662.0,710.0,672.0,706.0,664.0,684.0,680.0,672.0,674.0,664.0,712.0,684.0,692.0,694.0,708.0,664.0,680.0,732.0,664.0,706.0,718.0,666.0,688.0,698.0,708.0,658.0,712.0,698.0,720.0,644.0,660.0,730.0,720.0,674.0,688.0,674.0,690.0,684.0,716.0,706.0,670.0,644.0,736.0,690.0,0.6959,22.4603,504.4637
