letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,24,23,24,26,27,24,22,22,22,25,23,25,24,24,23,24,24,24,25,22,24,23,24,22,24,24,24,27,25,24,26,23,25,22,25,24,22,23,23,26,23,25,23,25,26,27,22,24,25,22,27,24.0,4.908,1.3845,1.9167,9887.0
O,22,23,24,22,23,24,23,22,23,24,22,22,23,22,24,24,24,22,24,23,23,23,26,25,22,25,22,25,24,25,22,22,22,21,22,22,23,24,25,23,21,23,23,22,23,23,23,21,24,22,21,26,23.0,4.7035,1.1692,1.3669,6991.0
T,25,22,24,21,23,22,22,23,24,23,21,23,22,23,23,22,22,24,22,23,23,22,22,22,22,22,22,24,25,23,23,23,21,25,22,21,23,23,24,25,23,23,23,23,23,23,22,24,24,23,21,25,22.0,4.499,1.0373,1.0759,4943.0
A,21,23,24,22,25,22,23,23,23,22,26,22,22,24,23,22,22,22,23,22,25,21,23,21,22,22,23,24,20,21,24,22,23,22,22,23,21,23,20,24,25,22,24,22,21,22,24,23,23,21,20,26,22.0,4.499,1.295,1.6771,4943.0
R,23,23,21,21,21,23,20,24,22,22,23,23,20,22,23,22,24,21,22,22,21,23,22,23,22,23,22,22,21,22,22,23,23,24,24,21,22,24,23,21,25,23,22,21,23,21,24,24,24,22,20,25,22.0,4.499,1.1586,1.3424,4943.0
N,22,24,23,22,22,21,21,22,22,21,23,23,21,23,22,23,23,24,22,22,23,22,22,22,21,21,23,23,22,21,20,25,22,22,21,21,22,23,20,21,23,26,24,21,25,23,21,22,22,24,20,26,22.0,4.499,1.2623,1.5935,4943.0
I,23,21,25,23,21,22,22,24,25,22,23,23,23,22,25,24,20,22,23,23,22,22,22,24,23,25,22,20,23,22,23,23,23,23,24,21,24,23,21,22,24,22,24,23,21,22,22,20,20,23,20,25,22.0,4.499,1.3107,1.718,4943.0
S,23,23,23,24,26,24,23,22,23,22,27,21,22,23,24,23,22,23,21,24,24,21,21,23,21,23,22,23,23,22,21,22,22,23,21,23,24,22,22,22,23,24,22,22,23,23,20,22,23,23,20,27,22.0,4.499,1.2554,1.5759,4943.0
H,22,22,23,23,21,24,22,21,23,22,22,21,21,22,23,21,24,22,24,23,23,22,24,22,23,20,23,22,24,22,23,23,22,23,21,22,23,24,23,22,21,23,22,24,23,22,24,22,22,23,20,24,22.0,4.499,0.9941,0.9882,4943.0
L,21,23,20,21,22,20,20,21,20,22,21,20,22,23,21,21,20,21,21,21,22,20,21,23,22,23,23,23,20,23,22,20,21,18,20,21,21,22,21,21,21,21,20,21,22,24,22,21,21,21,18,24,21.0,4.2945,1.135,1.2882,3495.0
