letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,9887.0,6991.0,9887.0,19776.0,27968.0,9887.0,4943.0,4943.0,4943.0,13983.0,6991.0,13983.0,9887.0,9887.0,6991.0,9887.0,9887.0,9887.0,13983.0,4943.0,9887.0,6991.0,9887.0,4943.0,9887.0,9887.0,9887.0,27968.0,13983.0,9887.0,19776.0,6991.0,13983.0,4943.0,13983.0,9887.0,4943.0,6991.0,6991.0,19776.0,6991.0,13983.0,6991.0,13983.0,19776.0,27968.0,4943.0,9887.0,13983.0,4943.0,27968.0,11269.0,12.141,5916.2876,35002458.5718
O,4943.0,6991.0,9887.0,4943.0,6991.0,9887.0,6991.0,4943.0,6991.0,9887.0,4943.0,4943.0,6991.0,4943.0,9887.0,9887.0,9887.0,4943.0,9887.0,6991.0,6991.0,6991.0,19776.0,13983.0,4943.0,13983.0,4943.0,13983.0,9887.0,13983.0,4943.0,4943.0,4943.0,3495.0,4943.0,4943.0,6991.0,9887.0,13983.0,6991.0,3495.0,6991.0,6991.0,4943.0,6991.0,6991.0,6991.0,3495.0,9887.0,4943.0,3495.0,19776.0,7659.0,8.2516,3420.1173,11697202.1424
T,13983.0,4943.0,9887.0,3495.0,6991.0,4943.0,4943.0,6991.0,9887.0,6991.0,3495.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,9887.0,4943.0,6991.0,6991.0,4943.0,4943.0,4943.0,4943.0,4943.0,4943.0,9887.0,13983.0,6991.0,6991.0,6991.0,3495.0,13983.0,4943.0,3495.0,6991.0,6991.0,9887.0,13983.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,4943.0,9887.0,9887.0,6991.0,3495.0,13983.0,7061.0,7.6074,2732.318,7465561.7567
S,6991.0,6991.0,6991.0,9887.0,19776.0,9887.0,6991.0,4943.0,6991.0,4943.0,27968.0,3495.0,4943.0,6991.0,9887.0,6991.0,4943.0,6991.0,3495.0,9887.0,9887.0,3495.0,3495.0,6991.0,3495.0,6991.0,4943.0,6991.0,6991.0,4943.0,3495.0,4943.0,4943.0,6991.0,3495.0,6991.0,9887.0,4943.0,4943.0,4943.0,6991.0,9887.0,4943.0,4943.0,6991.0,6991.0,2471.0,4943.0,6991.0,6991.0,2471.0,27968.0,6918.0,7.4533,4107.3346,16870197.8776
A,3495.0,6991.0,9887.0,4943.0,13983.0,4943.0,6991.0,6991.0,6991.0,4943.0,19776.0,4943.0,4943.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,13983.0,3495.0,6991.0,3495.0,4943.0,4943.0,6991.0,9887.0,2471.0,3495.0,9887.0,4943.0,6991.0,4943.0,4943.0,6991.0,3495.0,6991.0,2471.0,9887.0,13983.0,4943.0,9887.0,4943.0,3495.0,4943.0,9887.0,6991.0,6991.0,3495.0,2471.0,19776.0,6705.0,7.2238,3388.032,11478760.5816
I,6991.0,3495.0,13983.0,6991.0,3495.0,4943.0,4943.0,9887.0,13983.0,4943.0,6991.0,6991.0,6991.0,4943.0,13983.0,9887.0,2471.0,4943.0,6991.0,6991.0,4943.0,4943.0,4943.0,9887.0,6991.0,13983.0,4943.0,2471.0,6991.0,4943.0,6991.0,6991.0,6991.0,6991.0,9887.0,3495.0,9887.0,6991.0,3495.0,4943.0,9887.0,4943.0,9887.0,6991.0,3495.0,4943.0,4943.0,2471.0,2471.0,6991.0,2471.0,13983.0,6671.0,7.1872,3032.8037,9197898.4229
H,4943.0,4943.0,6991.0,6991.0,3495.0,9887.0,4943.0,3495.0,6991.0,4943.0,4943.0,3495.0,3495.0,4943.0,6991.0,3495.0,9887.0,4943.0,9887.0,6991.0,6991.0,4943.0,9887.0,4943.0,6991.0,2471.0,6991.0,4943.0,9887.0,4943.0,6991.0,6991.0,4943.0,6991.0,3495.0,4943.0,6991.0,9887.0,6991.0,4943.0,3495.0,6991.0,4943.0,9887.0,6991.0,4943.0,9887.0,4943.0,4943.0,6991.0,2471.0,9887.0,6137.0,6.6119,2080.675,4329208.2678
R,6991.0,6991.0,3495.0,3495.0,3495.0,6991.0,2471.0,9887.0,4943.0,4943.0,6991.0,6991.0,2471.0,4943.0,6991.0,4943.0,9887.0,3495.0,4943.0,4943.0,3495.0,6991.0,4943.0,6991.0,4943.0,6991.0,4943.0,4943.0,3495.0,4943.0,4943.0,6991.0,6991.0,9887.0,9887.0,3495.0,4943.0,9887.0,6991.0,3495.0,13983.0,6991.0,4943.0,3495.0,6991.0,3495.0,9887.0,9887.0,9887.0,4943.0,2471.0,13983.0,6099.0,6.5709,2483.6865,6168698.7755
N,4943.0,9887.0,6991.0,4943.0,4943.0,3495.0,3495.0,4943.0,4943.0,3495.0,6991.0,6991.0,3495.0,6991.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,6991.0,4943.0,4943.0,4943.0,3495.0,3495.0,6991.0,6991.0,4943.0,3495.0,2471.0,13983.0,4943.0,4943.0,3495.0,3495.0,4943.0,6991.0,2471.0,3495.0,6991.0,19776.0,9887.0,3495.0,13983.0,6991.0,3495.0,4943.0,4943.0,9887.0,2471.0,19776.0,6041.0,6.5084,3221.6368,10378943.602
L,3495.0,6991.0,2471.0,3495.0,4943.0,2471.0,2471.0,3495.0,2471.0,4943.0,3495.0,2471.0,4943.0,6991.0,3495.0,3495.0,2471.0,3495.0,3495.0,3495.0,4943.0,2471.0,3495.0,6991.0,4943.0,6991.0,6991.0,6991.0,2471.0,6991.0,4943.0,2471.0,3495.0,1235.0,2471.0,3495.0,3495.0,4943.0,3495.0,3495.0,3495.0,3495.0,2471.0,3495.0,4943.0,9887.0,4943.0,3495.0,3495.0,3495.0,1235.0,9887.0,4102.0,4.4194,1711.1571,2928058.782
D,3495.0,3495.0,4943.0,3495.0,3495.0,3495.0,3495.0,3495.0,6991.0,4943.0,3495.0,873.0,4943.0,2471.0,3495.0,3495.0,2471.0,2471.0,3495.0,4943.0,3495.0,2471.0,2471.0,2471.0,4943.0,3495.0,1747.0,1747.0,2471.0,1747.0,4943.0,1747.0,2471.0,6991.0,3495.0,2471.0,2471.0,1747.0,2471.0,3495.0,1235.0,3495.0,2471.0,4943.0,2471.0,3495.0,2471.0,6991.0,2471.0,2471.0,873.0,6991.0,3307.0,3.5629,1382.2472,1910607.2963
M,2471.0,2471.0,1747.0,1747.0,1747.0,3495.0,2471.0,1747.0,4943.0,1747.0,4943.0,2471.0,1235.0,3495.0,1747.0,1235.0,1747.0,1747.0,1747.0,1747.0,6991.0,3495.0,2471.0,4943.0,4943.0,1747.0,2471.0,1747.0,2471.0,3495.0,3495.0,1747.0,2471.0,4943.0,1747.0,2471.0,1747.0,2471.0,1747.0,1747.0,3495.0,2471.0,4943.0,3495.0,1747.0,1747.0,1747.0,1747.0,2471.0,3495.0,1235.0,6991.0,2668.0,2.8744,1258.4348,1583658.1943
U,2471.0,2471.0,873.0,2471.0,3495.0,2471.0,2471.0,4943.0,2471.0,873.0,3495.0,3495.0,2471.0,4943.0,1747.0,1747.0,2471.0,1747.0,3495.0,2471.0,2471.0,1747.0,1747.0,2471.0,1747.0,1747.0,1747.0,2471.0,6991.0,1235.0,1747.0,2471.0,2471.0,2471.0,2471.0,1747.0,1747.0,2471.0,1747.0,3495.0,1747.0,2471.0,3495.0,4943.0,1747.0,1235.0,1747.0,3495.0,3495.0,3495.0,873.0,6991.0,2563.0,2.7613,1141.0481,1301990.7853
F,1747.0,1747.0,1747.0,3495.0,1235.0,3495.0,2471.0,2471.0,3495.0,1747.0,1747.0,2471.0,3495.0,2471.0,1747.0,2471.0,1747.0,2471.0,2471.0,1235.0,1235.0,2471.0,2471.0,3495.0,2471.0,4943.0,3495.0,873.0,2471.0,1747.0,1747.0,3495.0,3495.0,2471.0,2471.0,1235.0,2471.0,1235.0,1235.0,3495.0,1747.0,2471.0,2471.0,1747.0,2471.0,1235.0,1747.0,1747.0,1747.0,1235.0,873.0,4943.0,2272.0,2.4478,853.4195,728324.8343
