letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,11108,11108,11108,11108.0,12.2441,,,11108.0
T,7982,7982,7982,7982.0,8.7984,,,7982.0
O,7439,7439,7439,7439.0,8.1999,,,7439.0
A,6594,6594,6594,6594.0,7.2684,,,6594.0
S,6371,6371,6371,6371.0,7.0226,,,6371.0
I,6147,6147,6147,6147.0,6.7757,,,6147.0
N,5968,5968,5968,5968.0,6.5784,,,5968.0
R,5794,5794,5794,5794.0,6.3866,,,5794.0
H,5469,5469,5469,5469.0,6.0284,,,5469.0
L,3890,3890,3890,3890.0,4.2879,,,3890.0
D,3380,3380,3380,3380.0,3.7257,,,3380.0
M,2659,2659,2659,2659.0,2.931,,,2659.0
U,2554,2554,2554,2554.0,2.8152,,,2554.0
F,2286,2286,2286,2286.0,2.5198,,,2286.0
W,2167,2167,2167,2167.0,2.3886,,,2167.0
C,2003,2003,2003,2003.0,2.2079,,,2003.0
Y,1909,1909,1909,1909.0,2.1043,,,1909.0
P,1839,1839,1839,1839.0,2.0271,,,1839.0
B,1535,1535,1535,1535.0,1.692,,,1535.0
G,1502,1502,1502,1502.0,1.6556,,,1502.0
V,884,884,884,884.0,0.9744,,,884.0
K,791,791,791,791.0,0.8719,,,791.0
J,181,181,181,181.0,0.1995,,,181.0
X,135,135,135,135.0,0.1488,,,135.0
Q,66,66,66,66.0,0.0728,,,66.0
Z,55,55,55,55.0,0.0606,,,55.0
Œ,7,7,7,7.0,0.0077,,,7.0
É,2,2,2,2.0,0.0022,,,2.0
Æ,1,1,1,1.0,0.0011,,,1.0
Ý,1,1,1,1.0,0.0011,,,1.0
Á,1,1,1,1.0,0.0011,,,1.0
Ó,1,1,1,1.0,0.0011,,,1.0
