letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,11108,11108,11108,11108.0,12.2441,,
T,7982,7982,7982,7982.0,8.7984,,
O,7439,7439,7439,7439.0,8.1999,,
A,6594,6594,6594,6594.0,7.2684,,
S,6371,6371,6371,6371.0,7.0226,,
I,6147,6147,6147,6147.0,6.7757,,
N,5968,5968,5968,5968.0,6.5784,,
R,5794,5794,5794,5794.0,6.3866,,
H,5469,5469,5469,5469.0,6.0284,,
L,3890,3890,3890,3890.0,4.2879,,
D,3380,3380,3380,3380.0,3.7257,,
M,2659,2659,2659,2659.0,2.931,,
U,2554,2554,2554,2554.0,2.8152,,
F,2286,2286,2286,2286.0,2.5198,,
W,2167,2167,2167,2167.0,2.3886,,
C,2003,2003,2003,2003.0,2.2079,,
Y,1909,1909,1909,1909.0,2.1043,,
P,1839,1839,1839,1839.0,2.0271,,
B,1535,1535,1535,1535.0,1.692,,
G,1502,1502,1502,1502.0,1.6556,,
V,884,884,884,884.0,0.9744,,
K,791,791,791,791.0,0.8719,,
J,181,181,181,181.0,0.1995,,
X,135,135,135,135.0,0.1488,,
Q,66,66,66,66.0,0.0728,,
Z,55,55,55,55.0,0.0606,,
Œ,7,7,7,7.0,0.0077,,
É,2,2,2,2.0,0.0022,,
Æ,1,1,1,1.0,0.0011,,
Ý,1,1,1,1.0,0.0011,,
Á,1,1,1,1.0,0.0011,,
Ó,1,1,1,1.0,0.0011,,
