letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,5614,5576,5663,5570,5582,5503,5572,5577,5678,5647,5509,5515,5591,5532,5654,5547,5497,5528,5563,5564,5479,5513,5566,5578,5608,5507,5576,5540,5468,5592,5558,5575,5623,5511,5549,5477,5451,5480,5618,5601,5563,5522,5631,5578,5509,5540,5595,5535,5463,5570,5451,5678,5557.0,12.2582,53.8385,2898.5861,11114.0
T,3996,4014,4018,3957,3960,3996,3955,4005,4038,3943,4042,4055,3974,4027,3976,4033,3940,3936,4032,4022,4019,3959,4049,4103,4000,3983,4024,3933,3937,4034,4032,3932,3932,3958,3988,3970,4005,3986,4015,3926,4062,4028,3981,4019,4051,4063,3929,4016,4002,4000,3926,4103,3997.0,8.817,42.652,1819.1939,7994.0
O,3781,3670,3719,3699,3733,3693,3651,3740,3705,3678,3722,3748,3699,3789,3672,3758,3701,3735,3674,3717,3750,3685,3706,3696,3736,3739,3736,3662,3718,3686,3760,3743,3759,3731,3639,3699,3823,3756,3724,3784,3718,3731,3721,3727,3820,3694,3781,3736,3691,3767,3639,3823,3724.0,8.2148,40.2304,1618.4882,7448.0
A,3268,3352,3310,3326,3222,3266,3259,3271,3299,3301,3263,3319,3318,3282,3278,3353,3287,3280,3218,3341,3295,3301,3266,3281,3302,3314,3259,3230,3348,3283,3314,3308,3238,3264,3286,3345,3257,3318,3287,3386,3262,3225,3318,3300,3261,3312,3271,3300,3287,3284,3218,3386,3290.0,7.2574,35.8023,1281.8061,6580.0
S,3227,3198,3227,3160,3246,3203,3181,3206,3180,3183,3182,3190,3142,3239,3238,3180,3270,3194,3216,3165,3191,3167,3179,3184,3189,3203,3195,3162,3208,3207,3138,3199,3144,3224,3195,3145,3217,3215,3175,3180,3224,3265,3227,3214,3241,3155,3196,3119,3206,3134,3119,3270,3194.0,7.0456,33.337,1111.3571,6388.0
I,3093,3083,3106,3056,3044,3038,3147,3099,3145,3050,3061,3081,3074,3030,3043,3086,3052,3069,3124,3042,3122,3085,3065,3060,3119,3126,3080,3046,3035,3093,3051,3124,3076,3073,3036,3064,3074,3024,3070,3026,3089,3033,3003,3036,3080,3051,3077,3041,3044,3113,3003,3147,3070.0,6.7721,33.3003,1108.9098,6140.0
N,3003,2970,2993,3000,2927,2917,2946,2936,2961,2972,2927,2943,3010,3056,2979,3017,3001,2994,2992,2989,2893,2966,2979,2937,2934,3021,3002,2892,2999,2971,2920,3006,3008,3012,2928,2959,2952,2948,2982,2925,3003,3020,2915,2999,3000,2978,2950,2999,2971,2936,2892,3056,2970.0,6.5515,36.9377,1364.3902,5940.0
R,2851,2888,2950,2892,2864,2880,2880,2913,2911,2934,2846,2886,2924,2833,2889,2890,2857,2878,2842,2910,2934,2930,2941,2880,2883,2965,2889,2843,2935,2839,2872,2858,2950,2922,2881,2830,2862,2904,2905,2919,2904,2880,2870,2872,2868,2860,2877,2879,2846,2936,2830,2965,2889.0,6.3728,33.9122,1150.0392,5778.0
H,2701,2717,2752,2683,2743,2783,2753,2716,2787,2666,2732,2739,2706,2782,2736,2749,2784,2681,2737,2766,2759,2727,2761,2793,2733,2761,2713,2714,2724,2723,2687,2700,2711,2740,2713,2714,2703,2706,2761,2681,2720,2732,2729,2721,2726,2783,2723,2714,2789,2719,2666,2793,2731.0,6.0243,31.2077,973.9188,5462.0
L,1941,1949,1948,1959,1923,1976,1920,1952,1929,1957,1914,1979,1944,1954,1959,1971,1903,1956,1864,2007,1927,1889,1920,1951,1910,1963,1928,1925,1999,1978,1919,1890,1959,2014,1942,1943,1897,1893,1940,1984,1929,1943,1963,1948,1959,1876,1992,1911,1952,1953,1864,2014,1942.0,4.2839,32.669,1067.2637,3884.0
D,1641,1643,1652,1675,1723,1664,1721,1658,1727,1664,1724,1666,1729,1667,1660,1713,1701,1678,1711,1657,1688,1753,1657,1718,1703,1694,1767,1671,1666,1683,1668,1710,1717,1737,1676,1703,1746,1668,1671,1706,1635,1715,1660,1699,1663,1692,1698,1706,1677,1722,1635,1767,1690.0,3.728,31.0661,965.1024,3380.0
M,1375,1331,1285,1317,1283,1333,1307,1333,1321,1321,1275,1330,1367,1331,1384,1357,1351,1372,1290,1319,1312,1300,1343,1365,1344,1329,1330,1375,1316,1315,1361,1321,1339,1309,1336,1344,1343,1383,1281,1325,1295,1327,1314,1287,1316,1323,1351,1363,1309,1309,1275,1384,1328.0,2.9294,27.6659,765.4045,2656.0
U,1255,1296,1311,1300,1302,1277,1291,1288,1238,1305,1277,1271,1300,1307,1315,1270,1229,1274,1305,1261,1293,1301,1314,1293,1318,1330,1290,1220,1256,1232,1272,1246,1275,1259,1285,1285,1273,1295,1304,1285,1268,1253,1254,1294,1291,1285,1284,1261,1268,1263,1220,1330,1280.0,2.8236,24.4281,596.7302,2560.0
F,1154,1114,1138,1125,1148,1156,1148,1132,1101,1152,1066,1146,1177,1146,1103,1149,1140,1152,1127,1122,1140,1177,1164,1157,1145,1130,1163,1161,1116,1155,1136,1144,1169,1138,1170,1146,1122,1148,1169,1172,1175,1149,1129,1122,1162,1149,1151,1170,1133,1142,1066,1177,1144.0,2.5235,21.6672,469.4694,2288.0
W,1094,1063,1055,1106,1100,1050,1105,1078,1087,1094,1091,1099,1094,1085,1088,1083,1083,1061,1119,1069,1092,1089,1053,1056,1056,1073,1115,1083,991,1081,1075,1064,1072,1033,1089,1070,1065,1140,1114,1028,1095,1050,1101,1093,1075,1084,1069,1103,1040,1065,991,1140,1078.0,2.378,25.7918,665.2147,2156.0
C,979,989,984,1001,962,1028,982,966,991,999,1002,1019,1027,1007,1009,985,990,1028,979,991,953,989,1007,979,991,999,1032,1016,992,1012,1007,1031,1047,1024,1012,981,1018,995,968,973,1025,1012,1019,1014,1016,1021,1014,993,1016,1008,953,1047,1001.0,2.2081,20.5583,422.6433,2002.0
Y,969,948,951,997,985,908,946,963,936,1002,977,964,923,971,962,986,930,962,942,952,931,954,935,934,958,969,973,965,982,963,954,968,976,937,938,981,939,950,958,997,941,916,955,935,962,1010,967,981,951,970,908,1010,958.0,2.1133,22.1297,489.7241,1916.0
P,883,943,922,929,900,874,918,903,909,959,909,954,899,916,908,906,933,915,929,894,932,905,934,936,911,904,907,945,953,931,918,932,917,951,903,924,880,925,944,914,914,926,919,907,904,941,922,898,900,950,874,959,919.0,2.0272,19.6697,386.898,1838.0
B,757,783,779,770,759,775,738,770,784,742,783,763,739,768,777,791,773,787,753,749,746,780,725,780,754,782,729,728,741,812,761,764,767,758,775,729,763,759,740,755,770,794,772,765,783,763,802,769,773,803,725,812,765.0,1.6875,20.0954,403.8269,1530.0
G,739,725,734,759,739,741,728,732,792,764,719,736,736,737,734,729,789,733,749,754,773,728,749,751,778,785,772,778,754,714,747,764,742,757,785,739,735,728,766,783,753,734,749,748,749,744,755,762,784,763,714,792,750.0,1.6544,19.7913,391.6963,1500.0
V,429,420,427,456,456,439,457,424,433,446,438,466,433,416,439,438,421,444,444,421,439,448,458,423,457,445,437,423,427,459,457,447,464,430,434,439,422,453,455,432,435,438,466,455,434,435,459,461,442,469,416,469,441.0,0.9728,14.3043,204.6122,882.0
K,378,389,402,381,424,402,421,419,398,392,390,412,403,387,407,378,394,389,413,387,385,394,399,385,390,394,373,398,416,411,405,391,376,385,398,406,393,406,409,389,400,381,370,396,372,408,387,421,376,386,370,424,395.0,0.8713,13.7387,188.7527,790.0
J,89,87,92,96,92,98,86,92,90,98,95,101,96,88,97,95,100,90,86,93,92,79,73,90,85,93,98,92,90,82,83,93,90,83,83,83,95,97,89,100,89,89,93,89,80,91,90,96,95,92,73,101,90.0,0.1985,5.891,34.7041,180.0
X,68,69,73,69,64,62,65,68,61,67,60,57,76,70,82,72,65,59,69,62,80,67,59,69,67,65,58,55,59,68,69,61,75,62,72,67,70,64,61,67,68,73,57,75,66,69,68,71,78,69,55,82,66.0,0.1456,6.0488,36.5882,132.0
Q,33,36,35,31,35,34,34,29,32,32,31,29,28,31,40,40,34,36,37,30,33,39,33,35,33,31,37,28,36,32,32,28,34,29,32,34,36,34,27,32,34,32,31,35,35,28,37,38,30,39,27,40,33.0,0.0728,3.2968,10.869,66.0
Z,28,35,25,28,26,26,33,34,26,30,36,26,27,28,30,36,30,29,32,26,32,23,14,29,25,25,32,21,27,28,25,23,24,29,26,26,35,31,27,26,34,27,30,21,24,30,27,27,31,31,14,36,28.0,0.0618,4.2161,17.7751,56.0
Œ,1,3,3,3,3,5,5,3,3,3,3,3,7,3,3,4,5,3,4,3,4,5,2,3,5,4,2,4,3,2,3,3,2,4,4,4,4,3,3,6,5,2,3,6,3,3,2,2,3,4,1,7,3.0,0.0066,1.1817,1.3963,6.0
Æ,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0.0,0.0,0.4986,0.2486,0.0
É,2,1,1,0,1,0,1,2,1,2,2,1,2,1,1,0,1,1,0,1,2,1,1,2,1,0,0,1,2,1,0,1,1,2,1,1,1,0,0,1,0,2,2,1,1,1,0,0,1,1,0,2,0.0,0.0,0.6848,0.469,0.0
