letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,11228.0,11152.0,11326.0,11140.0,11164.0,11006.0,11144.0,11154.0,11356.0,11294.0,11018.0,11030.0,11182.0,11064.0,11308.0,11094.0,10994.0,11056.0,11126.0,11128.0,10958.0,11026.0,11132.0,11156.0,11216.0,11014.0,11152.0,11080.0,10936.0,11184.0,11116.0,11150.0,11246.0,11022.0,11098.0,10954.0,10902.0,10960.0,11236.0,11202.0,11126.0,11044.0,11262.0,11156.0,11018.0,11080.0,11190.0,11070.0,10926.0,11140.0,10902.0,11356.0,11114.0,12.2562,107.677,11594.3445
T,7992.0,8028.0,8036.0,7914.0,7920.0,7992.0,7910.0,8010.0,8076.0,7886.0,8084.0,8110.0,7948.0,8054.0,7952.0,8066.0,7880.0,7872.0,8064.0,8044.0,8038.0,7918.0,8098.0,8206.0,8000.0,7966.0,8048.0,7866.0,7874.0,8068.0,8064.0,7864.0,7864.0,7916.0,7976.0,7940.0,8010.0,7972.0,8030.0,7852.0,8124.0,8056.0,7962.0,8038.0,8102.0,8126.0,7858.0,8032.0,8004.0,8000.0,7852.0,8206.0,7994.0,8.8155,85.304,7276.7755
O,7562.0,7340.0,7438.0,7398.0,7466.0,7386.0,7302.0,7480.0,7410.0,7356.0,7444.0,7496.0,7398.0,7578.0,7344.0,7516.0,7402.0,7470.0,7348.0,7434.0,7500.0,7370.0,7412.0,7392.0,7472.0,7478.0,7472.0,7324.0,7436.0,7372.0,7520.0,7486.0,7518.0,7462.0,7278.0,7398.0,7646.0,7512.0,7448.0,7568.0,7436.0,7462.0,7442.0,7454.0,7640.0,7388.0,7562.0,7472.0,7382.0,7534.0,7278.0,7646.0,7448.0,8.2134,80.4609,6473.9527
A,6536.0,6704.0,6620.0,6652.0,6444.0,6532.0,6518.0,6542.0,6598.0,6602.0,6526.0,6638.0,6636.0,6564.0,6556.0,6706.0,6574.0,6560.0,6436.0,6682.0,6590.0,6602.0,6532.0,6562.0,6604.0,6628.0,6518.0,6460.0,6696.0,6566.0,6628.0,6616.0,6476.0,6528.0,6572.0,6690.0,6514.0,6636.0,6574.0,6772.0,6524.0,6450.0,6636.0,6600.0,6522.0,6624.0,6542.0,6600.0,6574.0,6568.0,6436.0,6772.0,6580.0,7.2562,71.6046,5127.2245
S,6454.0,6396.0,6454.0,6320.0,6492.0,6406.0,6362.0,6412.0,6360.0,6366.0,6364.0,6380.0,6284.0,6478.0,6476.0,6360.0,6540.0,6388.0,6432.0,6330.0,6382.0,6334.0,6358.0,6368.0,6378.0,6406.0,6390.0,6324.0,6416.0,6414.0,6276.0,6398.0,6288.0,6448.0,6390.0,6290.0,6434.0,6430.0,6350.0,6360.0,6448.0,6530.0,6454.0,6428.0,6482.0,6310.0,6392.0,6238.0,6412.0,6268.0,6238.0,6540.0,6389.0,7.0456,66.674,4445.4286
I,6186.0,6166.0,6212.0,6112.0,6088.0,6076.0,6294.0,6198.0,6290.0,6100.0,6122.0,6162.0,6148.0,6060.0,6086.0,6172.0,6104.0,6138.0,6248.0,6084.0,6244.0,6170.0,6130.0,6120.0,6238.0,6252.0,6160.0,6092.0,6070.0,6186.0,6102.0,6248.0,6152.0,6146.0,6072.0,6128.0,6148.0,6048.0,6140.0,6052.0,6178.0,6066.0,6006.0,6072.0,6160.0,6102.0,6154.0,6082.0,6088.0,6226.0,6006.0,6294.0,6141.0,6.7721,66.6006,4435.6392
N,6006.0,5940.0,5986.0,6000.0,5854.0,5834.0,5892.0,5872.0,5922.0,5944.0,5854.0,5886.0,6020.0,6112.0,5958.0,6034.0,6002.0,5988.0,5984.0,5978.0,5786.0,5932.0,5958.0,5874.0,5868.0,6042.0,6004.0,5784.0,5998.0,5942.0,5840.0,6012.0,6016.0,6024.0,5856.0,5918.0,5904.0,5896.0,5964.0,5850.0,6006.0,6040.0,5830.0,5998.0,6000.0,5956.0,5900.0,5998.0,5942.0,5872.0,5784.0,6112.0,5941.0,6.5515,73.8753,5457.5608
R,5702.0,5776.0,5900.0,5784.0,5728.0,5760.0,5760.0,5826.0,5822.0,5868.0,5692.0,5772.0,5848.0,5666.0,5778.0,5780.0,5714.0,5756.0,5684.0,5820.0,5868.0,5860.0,5882.0,5760.0,5766.0,5930.0,5778.0,5686.0,5870.0,5678.0,5744.0,5716.0,5900.0,5844.0,5762.0,5660.0,5724.0,5808.0,5810.0,5838.0,5808.0,5760.0,5740.0,5744.0,5736.0,5720.0,5754.0,5758.0,5692.0,5872.0,5660.0,5930.0,5778.0,6.3718,67.8245,4600.1567
H,5402.0,5434.0,5504.0,5366.0,5486.0,5566.0,5506.0,5432.0,5574.0,5332.0,5464.0,5478.0,5412.0,5564.0,5472.0,5498.0,5568.0,5362.0,5474.0,5532.0,5518.0,5454.0,5522.0,5586.0,5466.0,5522.0,5426.0,5428.0,5448.0,5446.0,5374.0,5400.0,5422.0,5480.0,5426.0,5428.0,5406.0,5412.0,5522.0,5362.0,5440.0,5464.0,5458.0,5442.0,5452.0,5566.0,5446.0,5428.0,5578.0,5438.0,5332.0,5586.0,5463.0,6.0244,62.4153,3895.6751
L,3882.0,3898.0,3896.0,3918.0,3846.0,3952.0,3840.0,3904.0,3858.0,3914.0,3828.0,3958.0,3888.0,3908.0,3918.0,3942.0,3806.0,3912.0,3728.0,4014.0,3854.0,3778.0,3840.0,3902.0,3820.0,3926.0,3856.0,3850.0,3998.0,3956.0,3838.0,3780.0,3918.0,4028.0,3884.0,3886.0,3794.0,3786.0,3880.0,3968.0,3858.0,3886.0,3926.0,3896.0,3918.0,3752.0,3984.0,3822.0,3904.0,3906.0,3728.0,4028.0,3884.0,4.2831,65.338,4269.0547
