letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,27,25,26,24,24,25,27,25,26,24,26,27,25,24,27,25,27,27,24,25,24,26,24,25,25,23,27,24,25,24,24,24,26,24,27,26,25,24,27,25,24,25,23,25,26,26,25,27,24,23,27,25.0,4.2159,1.1899,1.4159,13983.0
N,22,25,25,23,21,23,22,22,24,21,24,23,21,23,23,23,22,23,25,24,24,22,22,22,24,23,22,22,22,23,22,21,24,24,23,23,23,24,24,23,21,24,24,23,23,25,23,23,25,23,21,25,23.0,3.8786,1.1249,1.2653,6991.0
A,24,26,23,25,22,23,23,24,23,23,21,27,24,24,22,23,22,22,23,22,24,22,22,27,22,23,22,23,25,22,23,24,22,23,23,20,24,24,24,24,23,23,23,23,26,22,22,24,23,23,20,27,23.0,3.8786,1.3746,1.8894,6991.0
S,25,24,24,24,25,24,23,22,21,25,24,22,22,24,24,23,23,22,22,24,22,24,24,24,23,21,22,25,25,25,25,25,24,24,23,22,22,24,25,23,25,24,23,22,24,24,23,25,24,20,20,25,23.0,3.8786,1.2651,1.6004,6991.0
R,23,24,24,23,22,24,23,23,22,23,22,25,25,24,22,22,24,21,23,21,21,24,21,24,23,24,24,21,23,22,23,25,23,25,23,24,24,22,23,22,22,23,23,25,24,23,23,22,25,25,21,25,23.0,3.8786,1.1891,1.4139,6991.0
I,21,23,22,22,22,24,21,22,23,23,21,25,22,24,23,22,22,24,23,23,24,22,23,25,21,25,24,23,22,22,23,23,23,23,22,23,21,24,24,25,22,22,24,23,23,23,21,22,25,23,21,25,22.0,3.7099,1.1493,1.3208,4943.0
T,22,23,23,22,21,22,22,22,24,24,25,22,25,22,23,23,22,22,21,22,23,21,23,23,24,23,22,23,22,22,24,24,27,22,24,25,23,21,22,22,24,23,24,21,23,22,22,23,24,23,21,27,22.0,3.7099,1.2237,1.4976,4943.0
U,23,23,25,22,24,24,22,25,23,22,23,23,23,22,22,21,22,24,23,24,24,23,24,23,21,23,23,22,23,25,22,23,24,20,22,23,22,23,24,23,23,24,21,23,24,22,24,24,23,23,20,25,22.0,3.7099,1.0683,1.1412,4943.0
O,22,22,22,23,22,24,22,24,24,23,22,23,23,23,24,23,22,23,23,22,22,26,22,23,22,23,23,23,24,22,22,24,22,25,23,23,22,24,22,23,23,22,22,25,23,22,23,23,23,22,22,26,22.0,3.7099,0.9398,0.8833,4943.0
L,22,24,24,24,21,23,24,20,21,20,22,21,21,21,24,20,22,23,19,22,21,24,22,22,22,23,23,23,24,21,22,22,23,22,22,23,22,23,23,22,22,23,22,23,20,21,21,20,20,20,19,24,21.0,3.5413,1.3169,1.7343,3495.0
