letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,27968.0,13983.0,19776.0,9887.0,9887.0,13983.0,27968.0,13983.0,19776.0,9887.0,19776.0,27968.0,13983.0,9887.0,27968.0,13983.0,27968.0,27968.0,9887.0,13983.0,9887.0,19776.0,9887.0,13983.0,13983.0,6991.0,27968.0,9887.0,13983.0,9887.0,9887.0,9887.0,19776.0,9887.0,27968.0,19776.0,13983.0,9887.0,27968.0,13983.0,9887.0,13983.0,6991.0,13983.0,19776.0,19776.0,13983.0,27968.0,9887.0,6991.0,27968.0,16198.0,14.7917,6893.2199,47516480.6531
S,13983.0,9887.0,9887.0,9887.0,13983.0,9887.0,6991.0,4943.0,3495.0,13983.0,9887.0,4943.0,4943.0,9887.0,9887.0,6991.0,6991.0,4943.0,4943.0,9887.0,4943.0,9887.0,9887.0,9887.0,6991.0,3495.0,4943.0,13983.0,13983.0,13983.0,13983.0,13983.0,9887.0,9887.0,6991.0,4943.0,4943.0,9887.0,13983.0,6991.0,13983.0,9887.0,6991.0,4943.0,9887.0,9887.0,6991.0,13983.0,9887.0,2471.0,2471.0,13983.0,8931.0,8.1556,3461.6929,11983317.9167
A,9887.0,19776.0,6991.0,13983.0,4943.0,6991.0,6991.0,9887.0,6991.0,6991.0,3495.0,27968.0,9887.0,9887.0,4943.0,6991.0,4943.0,4943.0,6991.0,4943.0,9887.0,4943.0,4943.0,27968.0,4943.0,6991.0,4943.0,6991.0,13983.0,4943.0,6991.0,9887.0,4943.0,6991.0,6991.0,2471.0,9887.0,9887.0,9887.0,9887.0,6991.0,6991.0,6991.0,6991.0,19776.0,4943.0,4943.0,9887.0,6991.0,6991.0,2471.0,27968.0,8565.0,7.8214,5268.7791,27760032.9894
R,6991.0,9887.0,9887.0,6991.0,4943.0,9887.0,6991.0,6991.0,4943.0,6991.0,4943.0,13983.0,13983.0,9887.0,4943.0,4943.0,9887.0,3495.0,6991.0,3495.0,3495.0,9887.0,3495.0,9887.0,6991.0,9887.0,9887.0,3495.0,6991.0,4943.0,6991.0,13983.0,6991.0,13983.0,6991.0,9887.0,9887.0,4943.0,6991.0,4943.0,4943.0,6991.0,6991.0,13983.0,9887.0,6991.0,6991.0,4943.0,13983.0,13983.0,3495.0,13983.0,7905.0,7.2187,3207.3758,10287259.7159
N,4943.0,13983.0,13983.0,6991.0,3495.0,6991.0,4943.0,4943.0,9887.0,3495.0,9887.0,6991.0,3495.0,6991.0,6991.0,6991.0,4943.0,6991.0,13983.0,9887.0,9887.0,4943.0,4943.0,4943.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,3495.0,9887.0,9887.0,6991.0,6991.0,6991.0,9887.0,9887.0,6991.0,3495.0,9887.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,13983.0,6991.0,3495.0,13983.0,7527.0,6.8735,2960.865,8766721.28
U,6991.0,6991.0,13983.0,4943.0,9887.0,9887.0,4943.0,13983.0,6991.0,4943.0,6991.0,6991.0,6991.0,4943.0,4943.0,3495.0,4943.0,9887.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,3495.0,6991.0,6991.0,4943.0,6991.0,13983.0,4943.0,6991.0,9887.0,2471.0,4943.0,6991.0,4943.0,6991.0,9887.0,6991.0,6991.0,9887.0,3495.0,6991.0,9887.0,4943.0,9887.0,9887.0,6991.0,6991.0,2471.0,13983.0,7354.0,6.7156,2649.3002,7018791.8106
T,4943.0,6991.0,6991.0,4943.0,3495.0,4943.0,4943.0,4943.0,9887.0,9887.0,13983.0,4943.0,13983.0,4943.0,6991.0,6991.0,4943.0,4943.0,3495.0,4943.0,6991.0,3495.0,6991.0,6991.0,9887.0,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,9887.0,27968.0,4943.0,9887.0,13983.0,6991.0,3495.0,4943.0,4943.0,9887.0,6991.0,9887.0,3495.0,6991.0,4943.0,4943.0,6991.0,9887.0,6991.0,3495.0,27968.0,7264.0,6.6334,4028.0866,16225481.6004
I,3495.0,6991.0,4943.0,4943.0,4943.0,9887.0,3495.0,4943.0,6991.0,6991.0,3495.0,13983.0,4943.0,9887.0,6991.0,4943.0,4943.0,9887.0,6991.0,6991.0,9887.0,4943.0,6991.0,13983.0,3495.0,13983.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,6991.0,6991.0,4943.0,6991.0,3495.0,9887.0,9887.0,13983.0,4943.0,4943.0,9887.0,6991.0,6991.0,6991.0,3495.0,4943.0,13983.0,6991.0,3495.0,13983.0,7160.0,6.5384,3003.9056,9023448.8163
O,4943.0,4943.0,4943.0,6991.0,4943.0,9887.0,4943.0,9887.0,9887.0,6991.0,4943.0,6991.0,6991.0,6991.0,9887.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,19776.0,4943.0,6991.0,4943.0,6991.0,6991.0,6991.0,9887.0,4943.0,4943.0,9887.0,4943.0,13983.0,6991.0,6991.0,4943.0,9887.0,4943.0,6991.0,6991.0,4943.0,4943.0,13983.0,6991.0,4943.0,6991.0,6991.0,6991.0,4943.0,4943.0,19776.0,7112.0,6.4946,2868.1452,8226256.6078
L,4943.0,9887.0,9887.0,9887.0,3495.0,6991.0,9887.0,2471.0,3495.0,2471.0,4943.0,3495.0,3495.0,3495.0,9887.0,2471.0,4943.0,6991.0,1747.0,4943.0,3495.0,9887.0,4943.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,3495.0,4943.0,4943.0,6991.0,4943.0,4943.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,6991.0,4943.0,6991.0,2471.0,3495.0,3495.0,2471.0,2471.0,2471.0,1747.0,9887.0,5415.0,4.9449,2381.7185,5672582.8506
D,2471.0,3495.0,6991.0,3495.0,4943.0,2471.0,6991.0,3495.0,3495.0,2471.0,3495.0,6991.0,3495.0,3495.0,3495.0,4943.0,1747.0,2471.0,3495.0,2471.0,4943.0,4943.0,3495.0,2471.0,1747.0,1747.0,6991.0,3495.0,1747.0,9887.0,2471.0,6991.0,3495.0,3495.0,6991.0,2471.0,1747.0,2471.0,3495.0,2471.0,2471.0,3495.0,4943.0,4943.0,2471.0,1747.0,3495.0,2471.0,2471.0,4943.0,1747.0,9887.0,3748.0,3.4226,1799.4564,3238043.4286
M,4943.0,3495.0,4943.0,2471.0,1747.0,2471.0,2471.0,9887.0,2471.0,4943.0,3495.0,2471.0,2471.0,3495.0,2471.0,2471.0,2471.0,6991.0,2471.0,4943.0,4943.0,3495.0,2471.0,2471.0,3495.0,2471.0,4943.0,3495.0,3495.0,1747.0,4943.0,4943.0,6991.0,3495.0,6991.0,3495.0,4943.0,1747.0,1747.0,3495.0,1747.0,2471.0,1235.0,2471.0,1747.0,6991.0,3495.0,2471.0,3495.0,4943.0,1235.0,9887.0,3609.0,3.2957,1751.2405,3066843.3567
P,2471.0,3495.0,3495.0,4943.0,2471.0,1747.0,1235.0,2471.0,2471.0,4943.0,3495.0,2471.0,2471.0,4943.0,6991.0,4943.0,4943.0,1747.0,1747.0,4943.0,2471.0,6991.0,2471.0,4943.0,4943.0,3495.0,3495.0,2471.0,2471.0,2471.0,2471.0,1235.0,1747.0,3495.0,6991.0,4943.0,1235.0,3495.0,4943.0,3495.0,3495.0,2471.0,2471.0,2471.0,4943.0,4943.0,4943.0,3495.0,2471.0,2471.0,1235.0,6991.0,3457.0,3.1569,1493.0042,2229061.6229
C,1747.0,1747.0,1747.0,1747.0,2471.0,1747.0,1747.0,1747.0,1235.0,3495.0,1747.0,2471.0,2471.0,3495.0,2471.0,3495.0,2471.0,3495.0,1747.0,6991.0,4943.0,1747.0,2471.0,2471.0,2471.0,3495.0,4943.0,1747.0,3495.0,3495.0,2471.0,3495.0,3495.0,4943.0,1747.0,3495.0,1747.0,4943.0,3495.0,2471.0,1747.0,4943.0,2471.0,2471.0,1747.0,2471.0,1747.0,1747.0,2471.0,3495.0,1235.0,6991.0,2783.0,2.5414,1187.724,1410688.418
V,2471.0,1235.0,1235.0,1747.0,1747.0,873.0,1747.0,1747.0,2471.0,2471.0,2471.0,873.0,1747.0,1747.0,1235.0,1747.0,873.0,1747.0,3495.0,873.0,1747.0,2471.0,1747.0,1747.0,873.0,2471.0,3495.0,1747.0,1235.0,1747.0,1235.0,2471.0,1747.0,3495.0,1747.0,1747.0,1235.0,3495.0,4943.0,1235.0,2471.0,873.0,3495.0,2471.0,2471.0,1747.0,617.0,1747.0,1235.0,2471.0,617.0,4943.0,1935.0,1.767,874.0789,764013.9184
É,1235.0,1235.0,1235.0,2471.0,873.0,1235.0,3495.0,1235.0,2471.0,2471.0,1235.0,1235.0,2471.0,1747.0,1747.0,3495.0,1235.0,1235.0,1747.0,873.0,1235.0,617.0,1235.0,1747.0,873.0,1747.0,2471.0,1235.0,873.0,1235.0,1747.0,1235.0,1235.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,2471.0,2471.0,2471.0,873.0,1235.0,1747.0,3495.0,1747.0,1235.0,1235.0,1747.0,617.0,3495.0,1673.0,1.5278,683.6866,467427.4286
Q,1235.0,873.0,1235.0,436.0,1747.0,873.0,873.0,1235.0,873.0,1235.0,1235.0,1235.0,1235.0,1747.0,1235.0,873.0,1235.0,873.0,1747.0,1747.0,873.0,617.0,1235.0,873.0,1235.0,3495.0,873.0,1747.0,873.0,873.0,1235.0,1747.0,1747.0,1235.0,1747.0,617.0,2471.0,1747.0,1235.0,1235.0,873.0,617.0,1747.0,1235.0,873.0,2471.0,1747.0,1235.0,1235.0,1235.0,436.0,3495.0,1295.0,1.1826,541.2329,292933.0714
B,617.0,873.0,1235.0,1235.0,873.0,1235.0,1235.0,1235.0,1235.0,2471.0,1747.0,1747.0,436.0,617.0,1235.0,617.0,1235.0,873.0,873.0,873.0,617.0,617.0,873.0,1235.0,617.0,873.0,1747.0,873.0,1747.0,873.0,873.0,1235.0,1747.0,873.0,873.0,436.0,617.0,617.0,1747.0,1747.0,617.0,1235.0,1235.0,873.0,617.0,873.0,617.0,1235.0,1747.0,617.0,436.0,2471.0,1060.0,0.968,446.9421,199757.2245
F,873.0,873.0,617.0,873.0,1235.0,873.0,1235.0,436.0,1235.0,436.0,873.0,1235.0,1747.0,1235.0,873.0,617.0,1235.0,1747.0,1747.0,617.0,1747.0,873.0,873.0,873.0,617.0,873.0,617.0,873.0,873.0,873.0,1235.0,873.0,1235.0,1235.0,1235.0,873.0,1235.0,873.0,1747.0,873.0,1235.0,1235.0,873.0,617.0,1235.0,617.0,1235.0,873.0,873.0,617.0,436.0,1747.0,1010.0,0.9223,342.4142,117247.5167
G,873.0,1235.0,1235.0,1235.0,1747.0,1235.0,617.0,1235.0,436.0,1235.0,617.0,617.0,873.0,617.0,873.0,617.0,308.0,1235.0,1235.0,1235.0,617.0,873.0,1235.0,873.0,617.0,873.0,1235.0,1235.0,873.0,1235.0,617.0,1235.0,873.0,436.0,1747.0,436.0,1747.0,308.0,873.0,1747.0,617.0,873.0,873.0,1747.0,1747.0,1235.0,873.0,1235.0,873.0,873.0,308.0,1747.0,998.0,0.9114,396.1449,156930.7629
H,1747.0,873.0,617.0,436.0,873.0,873.0,436.0,1235.0,873.0,617.0,1235.0,1235.0,873.0,436.0,617.0,873.0,873.0,617.0,1235.0,1747.0,617.0,873.0,873.0,436.0,617.0,617.0,617.0,617.0,3495.0,873.0,617.0,873.0,1235.0,1235.0,617.0,873.0,436.0,617.0,1747.0,617.0,1235.0,1235.0,873.0,617.0,1235.0,873.0,1235.0,436.0,2471.0,873.0,436.0,3495.0,958.0,0.8748,548.311,300644.9649
J,436.0,617.0,617.0,436.0,617.0,873.0,436.0,873.0,873.0,873.0,1235.0,873.0,873.0,1235.0,617.0,873.0,1235.0,1235.0,436.0,436.0,873.0,617.0,436.0,617.0,617.0,873.0,617.0,873.0,873.0,617.0,436.0,436.0,617.0,873.0,1235.0,436.0,1235.0,436.0,617.0,436.0,617.0,873.0,436.0,873.0,2471.0,1235.0,873.0,1747.0,873.0,873.0,436.0,2471.0,806.0,0.736,380.4864,144769.9184
À,873.0,436.0,617.0,873.0,436.0,617.0,436.0,436.0,1747.0,617.0,2471.0,436.0,1235.0,617.0,308.0,153.0,436.0,617.0,617.0,873.0,436.0,617.0,308.0,617.0,308.0,873.0,617.0,308.0,617.0,436.0,436.0,436.0,308.0,308.0,308.0,436.0,436.0,617.0,308.0,1235.0,436.0,308.0,436.0,436.0,436.0,436.0,617.0,217.0,617.0,617.0,153.0,2471.0,587.0,0.536,390.9194,152817.9657
Z,308.0,436.0,217.0,617.0,217.0,617.0,436.0,217.0,436.0,308.0,308.0,436.0,873.0,153.0,108.0,436.0,436.0,436.0,436.0,153.0,308.0,308.0,308.0,436.0,436.0,436.0,436.0,308.0,436.0,217.0,617.0,617.0,617.0,873.0,436.0,617.0,217.0,436.0,308.0,436.0,436.0,308.0,617.0,308.0,436.0,617.0,873.0,308.0,617.0,873.0,108.0,873.0,435.0,0.3972,188.7936,35643.0204
X,436.0,436.0,436.0,308.0,308.0,436.0,436.0,308.0,153.0,617.0,217.0,873.0,153.0,436.0,617.0,436.0,308.0,308.0,617.0,217.0,436.0,436.0,436.0,308.0,617.0,308.0,617.0,308.0,217.0,308.0,436.0,436.0,217.0,436.0,436.0,436.0,308.0,436.0,217.0,308.0,436.0,217.0,436.0,617.0,217.0,873.0,617.0,436.0,873.0,436.0,153.0,873.0,417.0,0.3808,172.6801,29818.4118
È,436.0,436.0,308.0,217.0,308.0,436.0,436.0,217.0,308.0,308.0,308.0,308.0,217.0,153.0,436.0,308.0,617.0,217.0,436.0,436.0,153.0,153.0,153.0,308.0,308.0,436.0,308.0,436.0,153.0,308.0,217.0,217.0,153.0,436.0,308.0,217.0,308.0,308.0,153.0,217.0,217.0,617.0,217.0,217.0,1235.0,308.0,217.0,217.0,308.0,217.0,153.0,1235.0,317.0,0.2895,174.6072,30487.6914
Y,436.0,308.0,308.0,308.0,153.0,153.0,153.0,308.0,153.0,308.0,217.0,308.0,153.0,436.0,217.0,217.0,217.0,308.0,617.0,436.0,217.0,217.0,308.0,217.0,308.0,436.0,108.0,217.0,308.0,108.0,217.0,153.0,308.0,108.0,153.0,217.0,308.0,217.0,153.0,153.0,617.0,436.0,308.0,308.0,436.0,217.0,308.0,217.0,217.0,153.0,108.0,617.0,267.0,0.2438,118.0091,13926.1453
Ê,436.0,153.0,217.0,308.0,108.0,308.0,217.0,436.0,153.0,153.0,153.0,308.0,217.0,217.0,153.0,436.0,217.0,308.0,153.0,308.0,217.0,308.0,308.0,217.0,308.0,153.0,108.0,153.0,308.0,308.0,308.0,153.0,153.0,308.0,108.0,108.0,308.0,308.0,308.0,108.0,308.0,153.0,153.0,436.0,153.0,108.0,153.0,108.0,153.0,153.0,108.0,436.0,227.0,0.2073,97.6356,9532.7041
Î,108.0,308.0,76.0,108.0,153.0,308.0,153.0,53.0,217.0,217.0,153.0,153.0,76.0,308.0,153.0,153.0,108.0,108.0,153.0,108.0,108.0,153.0,108.0,308.0,153.0,153.0,108.0,217.0,153.0,153.0,108.0,108.0,153.0,76.0,153.0,108.0,217.0,153.0,217.0,217.0,217.0,217.0,108.0,217.0,217.0,108.0,153.0,153.0,153.0,153.0,53.0,308.0,159.0,0.1452,62.0739,3853.169
Ù,53.0,76.0,76.0,108.0,436.0,76.0,76.0,153.0,76.0,53.0,53.0,53.0,153.0,108.0,153.0,76.0,108.0,37.0,153.0,108.0,153.0,153.0,53.0,76.0,153.0,76.0,53.0,53.0,76.0,76.0,76.0,76.0,76.0,76.0,108.0,53.0,153.0,76.0,76.0,108.0,37.0,53.0,76.0,53.0,108.0,37.0,76.0,76.0,53.0,53.0,37.0,436.0,92.0,0.084,60.9593,3716.0412
Ô,26.0,53.0,37.0,53.0,37.0,76.0,76.0,53.0,53.0,53.0,53.0,108.0,26.0,37.0,26.0,37.0,53.0,108.0,53.0,53.0,108.0,53.0,108.0,76.0,26.0,76.0,108.0,53.0,108.0,108.0,53.0,53.0,26.0,53.0,37.0,76.0,76.0,37.0,76.0,53.0,53.0,53.0,76.0,53.0,53.0,37.0,108.0,76.0,53.0,108.0,26.0,108.0,62.0,0.0566,26.0621,679.2347
Â,37.0,37.0,37.0,37.0,53.0,37.0,76.0,53.0,53.0,76.0,37.0,37.0,37.0,53.0,76.0,53.0,53.0,76.0,37.0,53.0,26.0,76.0,53.0,76.0,76.0,53.0,37.0,53.0,76.0,37.0,76.0,37.0,53.0,37.0,76.0,76.0,53.0,37.0,53.0,76.0,53.0,53.0,76.0,53.0,153.0,76.0,76.0,37.0,53.0,76.0,26.0,153.0,57.0,0.0521,21.2972,453.571
Û,76.0,37.0,53.0,18.0,53.0,37.0,37.0,76.0,26.0,37.0,53.0,53.0,53.0,26.0,26.0,37.0,37.0,108.0,37.0,37.0,53.0,76.0,53.0,53.0,53.0,26.0,53.0,53.0,37.0,53.0,76.0,26.0,18.0,53.0,53.0,53.0,26.0,53.0,76.0,76.0,26.0,26.0,26.0,37.0,26.0,37.0,76.0,18.0,53.0,37.0,18.0,108.0,45.0,0.0411,19.3259,373.4894
K,26.0,37.0,37.0,53.0,76.0,26.0,26.0,53.0,108.0,26.0,53.0,37.0,37.0,18.0,18.0,37.0,26.0,18.0,26.0,37.0,37.0,26.0,37.0,37.0,18.0,53.0,53.0,53.0,26.0,37.0,26.0,37.0,53.0,76.0,37.0,37.0,37.0,26.0,26.0,37.0,12.0,53.0,37.0,53.0,18.0,53.0,26.0,37.0,53.0,53.0,12.0,108.0,38.0,0.0347,17.4254,303.6445
Ç,12.0,12.0,12.0,26.0,18.0,18.0,26.0,18.0,18.0,18.0,18.0,8.0,37.0,12.0,26.0,18.0,12.0,18.0,12.0,18.0,18.0,18.0,18.0,12.0,26.0,12.0,12.0,12.0,12.0,18.0,8.0,18.0,12.0,18.0,12.0,18.0,18.0,8.0,18.0,12.0,12.0,12.0,18.0,12.0,26.0,12.0,18.0,12.0,12.0,12.0,8.0,37.0,16.0,0.0146,5.6222,31.6086
W,12.0,12.0,18.0,26.0,12.0,8.0,18.0,18.0,12.0,12.0,12.0,12.0,18.0,5.0,8.0,26.0,18.0,12.0,12.0,26.0,12.0,12.0,18.0,12.0,18.0,18.0,12.0,18.0,8.0,18.0,12.0,26.0,18.0,18.0,18.0,18.0,12.0,12.0,8.0,8.0,18.0,18.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,5.0,26.0,14.0,0.0128,4.9738,24.7384
Ï,8.0,12.0,8.0,18.0,18.0,8.0,12.0,3.0,18.0,12.0,8.0,5.0,18.0,8.0,5.0,8.0,8.0,8.0,12.0,12.0,12.0,3.0,5.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,8.0,5.0,3.0,8.0,12.0,5.0,12.0,5.0,12.0,3.0,18.0,9.0,0.0082,3.7667,14.1882
Ë,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0018,0.4629,0.2143
