letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,16082,16082,16082,16082.0,14.9756,,,16082.0
S,9092,9092,9092,9092.0,8.4665,,,9092.0
N,7940,7940,7940,7940.0,7.3937,,,7940.0
A,7683,7683,7683,7683.0,7.1544,,,7683.0
I,7525,7525,7525,7525.0,7.0073,,,7525.0
R,7227,7227,7227,7227.0,6.7298,,,7227.0
T,7169,7169,7169,7169.0,6.6758,,,7169.0
O,6953,6953,6953,6953.0,6.4747,,,6953.0
U,6751,6751,6751,6751.0,6.2865,,,6751.0
L,5425,5425,5425,5425.0,5.0518,,,5425.0
D,3435,3435,3435,3435.0,3.1987,,,3435.0
M,3382,3382,3382,3382.0,3.1493,,,3382.0
P,3140,3140,3140,3140.0,2.924,,,3140.0
C,3080,3080,3080,3080.0,2.8681,,,3080.0
V,1944,1944,1944,1944.0,1.8103,,,1944.0
É,1689,1689,1689,1689.0,1.5728,,,1689.0
Q,1298,1298,1298,1298.0,1.2087,,,1298.0
B,1126,1126,1126,1126.0,1.0485,,,1126.0
F,1077,1077,1077,1077.0,1.0029,,,1077.0
G,1015,1015,1015,1015.0,0.9452,,,1015.0
J,869,869,869,869.0,0.8092,,,869.0
H,863,863,863,863.0,0.8036,,,863.0
À,528,528,528,528.0,0.4917,,,528.0
X,403,403,403,403.0,0.3753,,,403.0
Z,394,394,394,394.0,0.3669,,,394.0
È,323,323,323,323.0,0.3008,,,323.0
Y,252,252,252,252.0,0.2347,,,252.0
Ê,230,230,230,230.0,0.2142,,,230.0
Î,164,164,164,164.0,0.1527,,,164.0
Ù,80,80,80,80.0,0.0745,,,80.0
Ô,64,64,64,64.0,0.0596,,,64.0
Â,60,60,60,60.0,0.0559,,,60.0
Û,44,44,44,44.0,0.041,,,44.0
K,39,39,39,39.0,0.0363,,,39.0
Ç,16,16,16,16.0,0.0149,,,16.0
W,15,15,15,15.0,0.014,,,15.0
Ï,9,9,9,9.0,0.0084,,,9.0
Ë,2,2,2,2.0,0.0019,,,2.0
