letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,16082,16082,16082,16082.0,14.9756,,
S,9092,9092,9092,9092.0,8.4665,,
N,7940,7940,7940,7940.0,7.3937,,
A,7683,7683,7683,7683.0,7.1544,,
I,7525,7525,7525,7525.0,7.0073,,
R,7227,7227,7227,7227.0,6.7298,,
T,7169,7169,7169,7169.0,6.6758,,
O,6953,6953,6953,6953.0,6.4747,,
U,6751,6751,6751,6751.0,6.2865,,
L,5425,5425,5425,5425.0,5.0518,,
D,3435,3435,3435,3435.0,3.1987,,
M,3382,3382,3382,3382.0,3.1493,,
P,3140,3140,3140,3140.0,2.924,,
C,3080,3080,3080,3080.0,2.8681,,
V,1944,1944,1944,1944.0,1.8103,,
É,1689,1689,1689,1689.0,1.5728,,
Q,1298,1298,1298,1298.0,1.2087,,
B,1126,1126,1126,1126.0,1.0485,,
F,1077,1077,1077,1077.0,1.0029,,
G,1015,1015,1015,1015.0,0.9452,,
J,869,869,869,869.0,0.8092,,
H,863,863,863,863.0,0.8036,,
À,528,528,528,528.0,0.4917,,
X,403,403,403,403.0,0.3753,,
Z,394,394,394,394.0,0.3669,,
È,323,323,323,323.0,0.3008,,
Y,252,252,252,252.0,0.2347,,
Ê,230,230,230,230.0,0.2142,,
Î,164,164,164,164.0,0.1527,,
Ù,80,80,80,80.0,0.0745,,
Ô,64,64,64,64.0,0.0596,,
Â,60,60,60,60.0,0.0559,,
Û,44,44,44,44.0,0.041,,
K,39,39,39,39.0,0.0363,,
Ç,16,16,16,16.0,0.0149,,
W,15,15,15,15.0,0.014,,
Ï,9,9,9,9.0,0.0084,,
Ë,2,2,2,2.0,0.0019,,
