letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,8026,7898,7934,8056,8016,8152,8045,7956,8072,8072,8153,8008,8006,7893,8093,7987,8079,8031,7958,8125,8070,7958,8041,8068,8054,8126,8070,8068,8023,7939,8075,8068,7956,7990,7916,8008,8090,8070,8079,8061,7961,8090,8127,8000,8140,8060,8057,8112,8014,8102,7893,8153,8039.0,14.9733,65.7125,4318.1392,16078.0
S,4568,4623,4531,4602,4551,4496,4559,4657,4496,4570,4540,4569,4532,4603,4569,4562,4500,4496,4602,4459,4479,4518,4534,4507,4573,4533,4502,4561,4556,4480,4509,4594,4490,4570,4466,4554,4567,4539,4580,4552,4567,4604,4536,4522,4569,4540,4545,4540,4490,4504,4459,4657,4543.0,8.4617,42.2792,1787.5282,9086.0
N,3971,3955,3947,3953,4016,3933,3993,4010,3955,3980,4015,3943,3943,3953,4016,4063,4050,4042,4023,3901,4023,3944,3984,4026,3884,4013,3962,3970,4002,3947,3974,3919,3893,3974,3978,3961,3918,3998,3896,3920,3935,4076,3964,3973,3914,3969,3949,3956,4037,3897,3884,4076,3970.0,7.3944,46.2062,2135.0106,7940.0
A,3861,3888,3859,3902,3901,3892,3808,3881,3869,3839,3805,3913,3824,3837,3851,3879,3889,3820,3896,3857,3839,3826,3798,3856,3784,3870,3797,3881,3905,3898,3817,3859,3962,3779,3756,3826,3852,3805,3896,3761,3884,3844,3860,3803,3806,3833,3925,3809,3906,3851,3756,3962,3851.0,7.1728,44.6788,1996.1914,7702.0
I,3794,3751,3812,3769,3706,3734,3785,3766,3709,3760,3748,3730,3769,3779,3741,3704,3777,3835,3730,3735,3729,3890,3708,3759,3792,3717,3867,3789,3785,3795,3788,3739,3796,3775,3791,3722,3786,3674,3721,3838,3634,3828,3728,3728,3734,3774,3667,3738,3760,3841,3634,3890,3760.0,7.0033,49.6528,2465.3963,7520.0
R,3643,3598,3576,3551,3647,3608,3651,3602,3600,3642,3550,3603,3616,3660,3653,3640,3622,3623,3652,3556,3683,3661,3611,3617,3606,3569,3580,3599,3646,3596,3714,3649,3600,3652,3626,3579,3677,3682,3641,3629,3624,3573,3705,3671,3668,3607,3624,3568,3576,3689,3550,3714,3624.0,6.75,40.2691,1621.602,7248.0
T,3564,3616,3535,3617,3567,3558,3561,3594,3623,3572,3541,3629,3604,3568,3596,3542,3583,3586,3558,3537,3513,3646,3589,3595,3592,3575,3579,3623,3578,3589,3627,3564,3552,3598,3560,3579,3544,3530,3586,3587,3657,3577,3557,3614,3627,3587,3558,3622,3597,3549,3513,3657,3582.0,6.6718,31.6453,1001.4269,7164.0
O,3441,3456,3563,3450,3503,3470,3478,3499,3558,3530,3499,3483,3466,3437,3481,3517,3512,3540,3501,3453,3531,3435,3544,3441,3465,3505,3503,3465,3479,3496,3448,3471,3465,3557,3513,3457,3401,3550,3494,3454,3376,3460,3468,3526,3531,3554,3498,3426,3466,3413,3376,3563,3484.0,6.4892,42.968,1846.2486,6968.0
U,3311,3401,3361,3414,3333,3383,3390,3380,3392,3413,3428,3407,3360,3420,3479,3392,3296,3418,3319,3304,3333,3324,3420,3353,3417,3330,3361,3390,3314,3331,3400,3412,3334,3425,3477,3345,3390,3382,3390,3365,3394,3466,3394,3373,3433,3367,3401,3392,3374,3323,3296,3479,3380.0,6.2955,43.6397,1904.42,6760.0
L,2722,2741,2699,2712,2652,2704,2704,2665,2699,2714,2659,2730,2711,2767,2735,2739,2710,2689,2704,2661,2739,2664,2687,2769,2651,2750,2716,2713,2717,2721,2696,2683,2665,2667,2749,2785,2707,2712,2737,2794,2726,2697,2738,2672,2734,2727,2750,2651,2659,2715,2651,2794,2710.0,5.0476,35.1825,1237.8106,5420.0
D,1662,1751,1698,1686,1672,1800,1766,1762,1700,1712,1701,1725,1684,1696,1719,1672,1730,1721,1758,1725,1769,1680,1746,1762,1698,1772,1693,1724,1683,1772,1730,1756,1707,1724,1714,1657,1722,1716,1641,1703,1750,1664,1712,1672,1690,1723,1714,1673,1716,1727,1641,1800,1715.0,3.1943,35.0224,1226.5714,3430.0
M,1663,1672,1698,1687,1652,1724,1666,1670,1718,1669,1622,1689,1726,1712,1696,1684,1623,1697,1706,1665,1693,1692,1674,1712,1670,1691,1682,1706,1674,1675,1685,1742,1744,1693,1701,1624,1696,1672,1692,1734,1692,1687,1668,1679,1655,1656,1690,1692,1696,1704,1622,1744,1686.0,3.1403,26.6198,708.6122,3372.0
P,1575,1556,1614,1596,1555,1532,1583,1603,1612,1543,1561,1566,1551,1516,1581,1600,1608,1502,1522,1558,1516,1548,1582,1573,1550,1589,1630,1547,1558,1571,1574,1556,1558,1611,1574,1576,1573,1532,1597,1583,1531,1589,1512,1536,1571,1508,1560,1559,1586,1523,1502,1630,1564.0,2.9131,30.4417,926.6943,3128.0
C,1559,1549,1534,1573,1533,1581,1513,1533,1462,1578,1534,1565,1528,1495,1497,1568,1564,1551,1544,1582,1510,1564,1525,1547,1543,1554,1549,1550,1525,1552,1535,1545,1496,1564,1553,1574,1554,1522,1573,1518,1517,1565,1538,1553,1546,1578,1528,1495,1524,1564,1462,1582,1542.0,2.8721,26.1938,686.1159,3084.0
V,990,970,1005,999,939,971,985,988,987,1006,981,958,981,935,963,988,945,959,976,966,971,964,1001,1006,989,975,972,986,919,965,982,962,986,950,965,965,985,951,977,953,941,959,941,982,937,962,1007,984,965,943,919,1007,970.0,1.8067,20.7707,431.4208,1940.0
É,872,861,846,868,838,872,862,827,855,824,844,846,830,830,873,865,842,839,838,845,829,836,848,869,850,869,826,844,832,910,852,859,845,825,843,827,907,856,858,852,831,829,847,874,866,852,846,831,838,871,824,910,849.0,1.5813,19.2094,368.9996,1698.0
Q,676,656,649,674,648,639,652,649,629,644,654,631,662,637,661,652,635,656,651,621,624,666,684,635,659,658,653,679,639,618,661,673,656,645,642,630,656,618,646,639,665,669,646,677,663,629,638,639,658,641,618,684,649.0,1.2088,16.2779,264.9698,1298.0
B,563,542,577,560,571,561,548,564,568,554,564,566,567,553,558,579,590,546,584,547,562,554,579,580,583,545,567,577,556,544,524,561,542,532,568,589,598,559,551,580,592,568,574,562,551,572,555,554,612,535,524,612,563.0,1.0486,17.4713,305.2473,1126.0
F,561,565,579,506,565,553,533,556,543,532,551,541,519,533,544,572,534,536,532,554,541,531,512,538,541,531,543,531,546,543,528,554,530,543,536,549,510,551,552,521,535,532,547,542,552,568,534,504,520,530,504,579,540.0,1.0058,16.2504,264.0751,1080.0
G,500,496,499,490,505,484,512,528,506,507,508,505,496,532,511,475,508,484,514,497,514,506,520,515,502,497,499,503,511,546,501,518,512,504,488,483,501,537,480,490,526,486,505,483,536,535,516,528,529,514,475,546,506.0,0.9425,16.3886,268.5861,1012.0
J,415,417,439,409,432,434,434,457,414,408,431,434,403,431,441,416,434,444,412,434,447,437,451,446,448,439,431,425,442,435,474,440,446,403,426,398,443,447,422,430,455,440,417,428,434,460,456,438,428,411,398,474,432.0,0.8046,16.165,261.3078,864.0
H,424,432,464,422,431,409,443,404,421,461,447,415,418,442,418,407,460,442,454,451,430,449,409,434,440,390,424,422,411,425,442,422,447,428,426,418,421,424,436,451,422,447,456,430,415,440,432,429,408,433,390,464,430.0,0.8009,16.427,269.8465,860.0
À,254,278,259,247,259,274,279,272,259,266,253,284,266,275,269,279,291,259,288,266,281,262,257,278,273,269,265,239,257,251,266,245,265,272,249,281,287,255,268,265,243,251,283,276,266,252,252,270,271,261,239,291,265.0,0.4936,12.5288,156.9718,530.0
X,189,207,194,202,202,221,215,195,205,181,195,200,212,207,209,184,192,200,188,207,190,214,216,208,203,196,204,195,202,202,205,220,219,189,189,210,207,213,203,186,194,208,199,194,195,190,204,204,209,209,181,221,201.0,0.3744,9.7578,95.2147,402.0
Z,191,187,194,187,197,165,186,188,189,189,173,199,183,191,196,219,201,187,187,206,208,206,197,197,213,188,191,211,179,184,189,205,184,179,202,189,190,197,209,197,184,192,206,185,209,197,194,186,185,187,165,219,193.0,0.3595,10.6297,112.9898,386.0
È,160,154,165,163,152,146,155,165,151,165,169,157,159,148,164,151,163,174,149,152,164,158,157,155,159,165,169,162,150,156,157,161,164,168,160,148,160,154,170,172,165,141,178,165,152,150,175,154,163,168,141,178,159.0,0.2962,8.1184,65.9086,318.0
Y,123,123,121,125,122,125,125,125,135,126,126,133,119,118,122,130,130,128,123,125,119,114,107,125,139,124,129,120,123,126,134,138,144,124,124,121,126,124,113,145,116,118,135,135,135,134,107,114,119,138,107,145,125.0,0.2328,8.3354,69.4792,250.0
Ê,112,112,102,108,105,117,114,116,127,120,110,123,111,112,110,111,109,111,124,120,116,126,119,105,114,118,120,114,113,117,99,112,109,117,117,115,108,115,112,132,116,129,116,124,107,112,121,126,117,110,99,132,115.0,0.2142,6.8512,46.9388,230.0
