letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,16052.0,15796.0,15868.0,16112.0,16032.0,16304.0,16090.0,15912.0,16144.0,16144.0,16306.0,16016.0,16012.0,15786.0,16186.0,15974.0,16158.0,16062.0,15916.0,16250.0,16140.0,15916.0,16082.0,16136.0,16108.0,16252.0,16140.0,16136.0,16046.0,15878.0,16150.0,16136.0,15912.0,15980.0,15832.0,16016.0,16180.0,16140.0,16158.0,16122.0,15922.0,16180.0,16254.0,16000.0,16280.0,16120.0,16114.0,16224.0,16028.0,16204.0,15786.0,16306.0,16078.0,14.9709,131.4251,17272.5567
S,9136.0,9246.0,9062.0,9204.0,9102.0,8992.0,9118.0,9314.0,8992.0,9140.0,9080.0,9138.0,9064.0,9206.0,9138.0,9124.0,9000.0,8992.0,9204.0,8918.0,8958.0,9036.0,9068.0,9014.0,9146.0,9066.0,9004.0,9122.0,9112.0,8960.0,9018.0,9188.0,8980.0,9140.0,8932.0,9108.0,9134.0,9078.0,9160.0,9104.0,9134.0,9208.0,9072.0,9044.0,9138.0,9080.0,9090.0,9080.0,8980.0,9008.0,8918.0,9314.0,9086.0,8.4604,84.5583,7150.1127
N,7942.0,7910.0,7894.0,7906.0,8032.0,7866.0,7986.0,8020.0,7910.0,7960.0,8030.0,7886.0,7886.0,7906.0,8032.0,8126.0,8100.0,8084.0,8046.0,7802.0,8046.0,7888.0,7968.0,8052.0,7768.0,8026.0,7924.0,7940.0,8004.0,7894.0,7948.0,7838.0,7786.0,7948.0,7956.0,7922.0,7836.0,7996.0,7792.0,7840.0,7870.0,8152.0,7928.0,7946.0,7828.0,7938.0,7898.0,7912.0,8074.0,7794.0,7768.0,8152.0,7940.0,7.3933,92.4124,8540.0424
A,7722.0,7776.0,7718.0,7804.0,7802.0,7784.0,7616.0,7762.0,7738.0,7678.0,7610.0,7826.0,7648.0,7674.0,7702.0,7758.0,7778.0,7640.0,7792.0,7714.0,7678.0,7652.0,7596.0,7712.0,7568.0,7740.0,7594.0,7762.0,7810.0,7796.0,7634.0,7718.0,7924.0,7558.0,7512.0,7652.0,7704.0,7610.0,7792.0,7522.0,7768.0,7688.0,7720.0,7606.0,7612.0,7666.0,7850.0,7618.0,7812.0,7702.0,7512.0,7924.0,7702.0,7.1717,89.3575,7984.7657
I,7588.0,7502.0,7624.0,7538.0,7412.0,7468.0,7570.0,7532.0,7418.0,7520.0,7496.0,7460.0,7538.0,7558.0,7482.0,7408.0,7554.0,7670.0,7460.0,7470.0,7458.0,7780.0,7416.0,7518.0,7584.0,7434.0,7734.0,7578.0,7570.0,7590.0,7576.0,7478.0,7592.0,7550.0,7582.0,7444.0,7572.0,7348.0,7442.0,7676.0,7268.0,7656.0,7456.0,7456.0,7468.0,7548.0,7334.0,7476.0,7520.0,7682.0,7268.0,7780.0,7521.0,7.0031,99.3055,9861.5853
R,7286.0,7196.0,7152.0,7102.0,7294.0,7216.0,7302.0,7204.0,7200.0,7284.0,7100.0,7206.0,7232.0,7320.0,7306.0,7280.0,7244.0,7246.0,7304.0,7112.0,7366.0,7322.0,7222.0,7234.0,7212.0,7138.0,7160.0,7198.0,7292.0,7192.0,7428.0,7298.0,7200.0,7304.0,7252.0,7158.0,7354.0,7364.0,7282.0,7258.0,7248.0,7146.0,7410.0,7342.0,7336.0,7214.0,7248.0,7136.0,7152.0,7378.0,7100.0,7428.0,7248.0,6.7489,80.5382,6486.4082
T,7128.0,7232.0,7070.0,7234.0,7134.0,7116.0,7122.0,7188.0,7246.0,7144.0,7082.0,7258.0,7208.0,7136.0,7192.0,7084.0,7166.0,7172.0,7116.0,7074.0,7026.0,7292.0,7178.0,7190.0,7184.0,7150.0,7158.0,7246.0,7156.0,7178.0,7254.0,7128.0,7104.0,7196.0,7120.0,7158.0,7088.0,7060.0,7172.0,7174.0,7314.0,7154.0,7114.0,7228.0,7254.0,7174.0,7116.0,7244.0,7194.0,7098.0,7026.0,7314.0,7164.0,6.6707,63.2907,4005.7078
O,6882.0,6912.0,7126.0,6900.0,7006.0,6940.0,6956.0,6998.0,7116.0,7060.0,6998.0,6966.0,6932.0,6874.0,6962.0,7034.0,7024.0,7080.0,7002.0,6906.0,7062.0,6870.0,7088.0,6882.0,6930.0,7010.0,7006.0,6930.0,6958.0,6992.0,6896.0,6942.0,6930.0,7114.0,7026.0,6914.0,6802.0,7100.0,6988.0,6908.0,6752.0,6920.0,6936.0,7052.0,7062.0,7108.0,6996.0,6852.0,6932.0,6826.0,6752.0,7126.0,6969.0,6.4891,85.936,7384.9943
U,6622.0,6802.0,6722.0,6828.0,6666.0,6766.0,6780.0,6760.0,6784.0,6826.0,6856.0,6814.0,6720.0,6840.0,6958.0,6784.0,6592.0,6836.0,6638.0,6608.0,6666.0,6648.0,6840.0,6706.0,6834.0,6660.0,6722.0,6780.0,6628.0,6662.0,6800.0,6824.0,6668.0,6850.0,6954.0,6690.0,6780.0,6764.0,6780.0,6730.0,6788.0,6932.0,6788.0,6746.0,6866.0,6734.0,6802.0,6784.0,6748.0,6646.0,6592.0,6958.0,6760.0,6.2945,87.2793,7617.68
L,5444.0,5482.0,5398.0,5424.0,5304.0,5408.0,5408.0,5330.0,5398.0,5428.0,5318.0,5460.0,5422.0,5534.0,5470.0,5478.0,5420.0,5378.0,5408.0,5322.0,5478.0,5328.0,5374.0,5538.0,5302.0,5500.0,5432.0,5426.0,5434.0,5442.0,5392.0,5366.0,5330.0,5334.0,5498.0,5570.0,5414.0,5424.0,5474.0,5588.0,5452.0,5394.0,5476.0,5344.0,5468.0,5454.0,5500.0,5302.0,5318.0,5430.0,5302.0,5588.0,5420.0,5.0468,70.3651,4951.2424
