letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,24,24,24,27,23,24,24,26,27,25,23,25,26,23,24,24,26,24,25,26,25,24,25,25,25,25,25,25,24,25,23,24,25,27,25,25,25,26,25,24,24,26,25,25,26,26,24,26,26,26,23,27,24.0,4.6602,1.0351,1.0714,9887.0
I,24,24,23,24,22,25,23,25,22,27,25,24,24,25,23,23,24,21,21,25,22,24,24,24,23,23,24,24,24,24,24,24,22,23,21,23,23,22,24,25,23,23,23,25,23,24,24,23,23,22,21,27,23.0,4.466,1.1822,1.3976,6991.0
N,24,24,22,25,23,23,24,28,23,22,23,22,22,21,23,24,23,24,23,22,24,24,23,23,22,24,24,23,22,25,24,24,25,26,25,24,25,25,26,25,26,24,22,24,25,23,25,24,26,22,21,28,23.0,4.466,1.3893,1.9302,6991.0
H,24,21,21,21,21,23,23,22,21,19,22,20,22,23,22,23,22,22,23,22,22,23,23,21,22,21,22,23,22,21,22,23,21,22,23,22,22,22,24,21,22,23,21,24,22,21,20,23,22,23,19,24,22.0,4.2718,1.0498,1.102,4943.0
R,23,23,23,21,25,22,22,21,23,23,24,22,22,21,21,22,21,23,21,25,25,21,24,22,23,22,24,23,22,22,23,23,24,21,24,21,23,23,22,21,21,23,26,22,21,22,24,24,24,22,21,26,22.0,4.2718,1.2936,1.6735,4943.0
S,23,21,21,25,24,22,24,24,23,21,22,23,23,24,22,22,23,23,24,22,22,23,23,23,24,24,23,24,23,23,23,22,23,24,23,24,22,23,21,22,23,20,23,23,24,23,23,22,21,24,20,25,22.0,4.2718,1.0437,1.0894,4943.0
D,23,21,21,19,20,22,21,21,21,19,23,22,22,22,21,22,20,22,20,21,22,21,19,20,21,21,22,19,19,20,20,22,22,20,22,23,23,21,21,22,20,21,23,20,20,20,22,23,23,20,19,23,21.0,4.0777,1.2164,1.4796,3495.0
T,24,19,21,23,22,23,21,23,20,23,20,23,23,23,21,25,21,20,22,22,21,20,21,22,22,21,24,21,23,23,21,22,19,23,20,21,23,24,25,23,21,21,21,21,21,21,21,21,21,20,19,25,21.0,4.0777,1.4259,2.0331,3495.0
U,20,20,22,22,23,20,20,23,21,22,22,21,20,23,22,22,19,23,21,20,22,21,20,20,19,22,21,24,20,22,21,22,20,22,22,22,21,22,21,21,21,21,21,20,22,19,20,21,19,21,19,24,21.0,4.0777,1.1718,1.3731,3495.0
A,23,22,20,24,20,23,22,20,21,21,21,22,23,20,22,23,22,23,23,23,21,21,22,21,23,23,21,21,21,20,22,24,21,24,20,25,21,22,22,23,22,21,19,25,21,21,21,23,20,19,19,25,21.0,4.0777,1.4223,2.0229,3495.0
