letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9887.0,9887.0,9887.0,27968.0,6991.0,9887.0,9887.0,19776.0,27968.0,13983.0,6991.0,13983.0,19776.0,6991.0,9887.0,9887.0,19776.0,9887.0,13983.0,19776.0,13983.0,9887.0,13983.0,13983.0,13983.0,13983.0,13983.0,13983.0,9887.0,13983.0,6991.0,9887.0,13983.0,27968.0,13983.0,13983.0,13983.0,19776.0,13983.0,9887.0,9887.0,19776.0,13983.0,13983.0,19776.0,19776.0,9887.0,19776.0,19776.0,19776.0,6991.0,27968.0,14390.0,14.9053,5303.11,28122975.8139
N,9887.0,9887.0,4943.0,13983.0,6991.0,6991.0,9887.0,39553.0,6991.0,4943.0,6991.0,4943.0,4943.0,3495.0,6991.0,9887.0,6991.0,9887.0,6991.0,4943.0,9887.0,9887.0,6991.0,6991.0,4943.0,9887.0,9887.0,6991.0,4943.0,13983.0,9887.0,9887.0,13983.0,19776.0,13983.0,9887.0,13983.0,13983.0,19776.0,13983.0,19776.0,9887.0,4943.0,9887.0,13983.0,6991.0,13983.0,9887.0,19776.0,4943.0,3495.0,39553.0,10353.0,10.7237,6000.7477,36008972.831
I,9887.0,9887.0,6991.0,9887.0,4943.0,13983.0,6991.0,13983.0,4943.0,27968.0,13983.0,9887.0,9887.0,13983.0,6991.0,6991.0,9887.0,3495.0,3495.0,13983.0,4943.0,9887.0,9887.0,9887.0,6991.0,6991.0,9887.0,9887.0,9887.0,9887.0,9887.0,9887.0,4943.0,6991.0,3495.0,6991.0,6991.0,4943.0,9887.0,13983.0,6991.0,6991.0,6991.0,13983.0,6991.0,9887.0,9887.0,6991.0,6991.0,4943.0,3495.0,27968.0,8976.0,9.2974,4035.412,16284550.3351
S,6991.0,3495.0,3495.0,13983.0,9887.0,4943.0,9887.0,9887.0,6991.0,3495.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,6991.0,6991.0,4943.0,6991.0,9887.0,6991.0,9887.0,4943.0,6991.0,3495.0,4943.0,6991.0,2471.0,6991.0,6991.0,9887.0,6991.0,6991.0,4943.0,3495.0,9887.0,2471.0,13983.0,6976.0,7.2258,2360.3984,5571480.4506
R,6991.0,6991.0,6991.0,3495.0,13983.0,4943.0,4943.0,3495.0,6991.0,6991.0,9887.0,4943.0,4943.0,3495.0,3495.0,4943.0,3495.0,6991.0,3495.0,13983.0,13983.0,3495.0,9887.0,4943.0,6991.0,4943.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,9887.0,3495.0,9887.0,3495.0,6991.0,6991.0,4943.0,3495.0,3495.0,6991.0,19776.0,4943.0,3495.0,4943.0,9887.0,9887.0,9887.0,4943.0,3495.0,19776.0,6758.0,7.0,3427.6547,11748817.078
H,9887.0,3495.0,3495.0,3495.0,3495.0,6991.0,6991.0,4943.0,3495.0,1747.0,4943.0,2471.0,4943.0,6991.0,4943.0,6991.0,4943.0,4943.0,6991.0,4943.0,4943.0,6991.0,6991.0,3495.0,4943.0,3495.0,4943.0,6991.0,4943.0,3495.0,4943.0,6991.0,3495.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,3495.0,4943.0,6991.0,3495.0,9887.0,4943.0,3495.0,2471.0,6991.0,4943.0,6991.0,1747.0,9887.0,5261.0,5.4494,1864.6558,3476941.2245
A,6991.0,4943.0,2471.0,9887.0,2471.0,6991.0,4943.0,2471.0,3495.0,3495.0,3495.0,4943.0,6991.0,2471.0,4943.0,6991.0,4943.0,6991.0,6991.0,6991.0,3495.0,3495.0,4943.0,3495.0,6991.0,6991.0,3495.0,3495.0,3495.0,2471.0,4943.0,9887.0,3495.0,9887.0,2471.0,13983.0,3495.0,4943.0,4943.0,6991.0,4943.0,3495.0,1747.0,13983.0,3495.0,3495.0,3495.0,6991.0,2471.0,1747.0,1747.0,13983.0,5143.0,5.3272,2768.4639,7664392.2547
T,9887.0,1747.0,3495.0,6991.0,4943.0,6991.0,3495.0,6991.0,2471.0,6991.0,2471.0,6991.0,6991.0,6991.0,3495.0,13983.0,3495.0,2471.0,4943.0,4943.0,3495.0,2471.0,3495.0,4943.0,4943.0,3495.0,9887.0,3495.0,6991.0,6991.0,3495.0,4943.0,1747.0,6991.0,2471.0,3495.0,6991.0,9887.0,13983.0,6991.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,2471.0,1747.0,13983.0,5118.0,5.3013,2793.9556,7806188.1208
U,2471.0,2471.0,4943.0,4943.0,6991.0,2471.0,2471.0,6991.0,3495.0,4943.0,4943.0,3495.0,2471.0,6991.0,4943.0,4943.0,1747.0,6991.0,3495.0,2471.0,4943.0,3495.0,2471.0,2471.0,1747.0,4943.0,3495.0,9887.0,2471.0,4943.0,3495.0,4943.0,2471.0,4943.0,4943.0,4943.0,3495.0,4943.0,3495.0,3495.0,3495.0,3495.0,3495.0,2471.0,4943.0,1747.0,2471.0,3495.0,1747.0,3495.0,1747.0,9887.0,3951.0,4.0925,1663.472,2767139.1608
D,6991.0,3495.0,3495.0,1747.0,2471.0,4943.0,3495.0,3495.0,3495.0,1747.0,6991.0,4943.0,4943.0,4943.0,3495.0,4943.0,2471.0,4943.0,2471.0,3495.0,4943.0,3495.0,1747.0,2471.0,3495.0,3495.0,4943.0,1747.0,1747.0,2471.0,2471.0,4943.0,4943.0,2471.0,4943.0,6991.0,6991.0,3495.0,3495.0,4943.0,2471.0,3495.0,6991.0,2471.0,2471.0,2471.0,4943.0,6991.0,6991.0,2471.0,1747.0,6991.0,3940.0,4.0811,1633.5414,2668457.5412
L,6991.0,3495.0,1747.0,6991.0,3495.0,1235.0,2471.0,3495.0,4943.0,6991.0,3495.0,3495.0,1747.0,2471.0,6991.0,2471.0,3495.0,4943.0,4943.0,4943.0,4943.0,1747.0,4943.0,2471.0,4943.0,1747.0,3495.0,4943.0,2471.0,2471.0,3495.0,873.0,4943.0,9887.0,3495.0,1235.0,2471.0,9887.0,3495.0,3495.0,3495.0,4943.0,3495.0,1747.0,2471.0,1747.0,4943.0,2471.0,2471.0,3495.0,873.0,9887.0,3791.0,3.9267,1995.8109,3983261.1935
C,6991.0,3495.0,3495.0,6991.0,3495.0,3495.0,2471.0,6991.0,2471.0,3495.0,1235.0,1747.0,2471.0,2471.0,4943.0,2471.0,4943.0,1747.0,3495.0,4943.0,2471.0,2471.0,2471.0,2471.0,3495.0,2471.0,2471.0,4943.0,2471.0,2471.0,3495.0,4943.0,6991.0,2471.0,4943.0,4943.0,3495.0,3495.0,4943.0,4943.0,3495.0,6991.0,3495.0,4943.0,1747.0,2471.0,3495.0,3495.0,4943.0,2471.0,1235.0,6991.0,3685.0,3.817,1521.3618,2314541.7143
M,2471.0,2471.0,2471.0,1747.0,1747.0,3495.0,3495.0,1747.0,2471.0,3495.0,4943.0,3495.0,2471.0,2471.0,1235.0,1747.0,3495.0,1747.0,1235.0,4943.0,3495.0,1235.0,2471.0,3495.0,1747.0,1235.0,2471.0,3495.0,3495.0,1747.0,1747.0,2471.0,3495.0,1747.0,6991.0,1747.0,4943.0,3495.0,1747.0,4943.0,1747.0,2471.0,3495.0,3495.0,2471.0,3495.0,2471.0,1747.0,3495.0,3495.0,1235.0,6991.0,2799.0,2.8992,1188.1471,1411693.5118
O,3495.0,3495.0,3495.0,2471.0,1747.0,1747.0,2471.0,2471.0,1747.0,3495.0,2471.0,3495.0,4943.0,3495.0,1747.0,1747.0,1747.0,1747.0,2471.0,1747.0,1235.0,3495.0,2471.0,4943.0,1747.0,4943.0,3495.0,873.0,2471.0,1747.0,1235.0,1747.0,873.0,2471.0,3495.0,2471.0,2471.0,3495.0,1747.0,1747.0,4943.0,3495.0,1747.0,1747.0,3495.0,3495.0,3495.0,2471.0,6991.0,1747.0,873.0,6991.0,2700.0,2.7967,1224.4257,1499218.2596
G,1747.0,2471.0,1747.0,2471.0,2471.0,1747.0,3495.0,1747.0,2471.0,1747.0,2471.0,2471.0,3495.0,1747.0,1235.0,3495.0,2471.0,2471.0,2471.0,2471.0,1747.0,2471.0,2471.0,2471.0,2471.0,2471.0,3495.0,1747.0,1747.0,1235.0,2471.0,1747.0,873.0,1747.0,1747.0,3495.0,3495.0,1747.0,1747.0,3495.0,2471.0,1235.0,3495.0,1235.0,2471.0,2471.0,2471.0,1235.0,1747.0,2471.0,873.0,3495.0,2262.0,2.343,703.6487,495121.5037
W,1235.0,1235.0,2471.0,2471.0,1235.0,2471.0,873.0,873.0,2471.0,873.0,1747.0,873.0,1747.0,4943.0,2471.0,2471.0,1747.0,1747.0,1747.0,873.0,2471.0,1235.0,2471.0,2471.0,1747.0,873.0,1747.0,2471.0,1747.0,873.0,1747.0,1235.0,1747.0,3495.0,1747.0,1235.0,1235.0,1235.0,2471.0,2471.0,873.0,1747.0,2471.0,1235.0,2471.0,1235.0,4943.0,617.0,1747.0,617.0,617.0,4943.0,1825.0,1.8903,923.6598,853147.422
B,873.0,2471.0,2471.0,1747.0,1747.0,1235.0,1747.0,1235.0,1235.0,1235.0,1235.0,2471.0,1747.0,1235.0,873.0,1235.0,1747.0,873.0,1235.0,2471.0,3495.0,2471.0,1235.0,2471.0,1747.0,2471.0,1747.0,2471.0,1747.0,1747.0,1747.0,2471.0,873.0,1747.0,1235.0,3495.0,2471.0,1235.0,1235.0,1747.0,873.0,3495.0,1747.0,1235.0,1235.0,1235.0,1747.0,1235.0,1747.0,873.0,873.0,3495.0,1727.0,1.7888,687.612,472810.3249
F,1235.0,1235.0,1235.0,873.0,1747.0,1235.0,873.0,873.0,1235.0,2471.0,1747.0,2471.0,1747.0,873.0,873.0,873.0,873.0,1235.0,1235.0,1235.0,1235.0,1235.0,1235.0,308.0,1235.0,617.0,1747.0,1235.0,873.0,873.0,1235.0,1235.0,617.0,873.0,2471.0,1235.0,873.0,873.0,873.0,1747.0,1747.0,1235.0,1235.0,1747.0,4943.0,1747.0,1235.0,1747.0,617.0,1235.0,308.0,4943.0,1325.0,1.3724,699.6885,489563.9514
Z,873.0,617.0,873.0,873.0,436.0,1235.0,873.0,1235.0,1235.0,1235.0,436.0,1235.0,873.0,1235.0,873.0,2471.0,873.0,873.0,617.0,2471.0,1235.0,1235.0,617.0,873.0,308.0,873.0,617.0,873.0,873.0,873.0,617.0,873.0,1235.0,1235.0,873.0,436.0,1235.0,617.0,1747.0,1747.0,1747.0,617.0,617.0,1747.0,873.0,873.0,1747.0,617.0,617.0,873.0,308.0,2471.0,1015.0,1.0513,471.7305,222529.6555
K,617.0,617.0,1235.0,873.0,617.0,873.0,1747.0,873.0,617.0,1747.0,1235.0,617.0,2471.0,1747.0,873.0,1747.0,1747.0,2471.0,617.0,1235.0,1235.0,617.0,436.0,1747.0,617.0,873.0,1235.0,873.0,436.0,873.0,1235.0,1235.0,873.0,617.0,436.0,308.0,617.0,1235.0,1235.0,617.0,617.0,873.0,617.0,617.0,1747.0,873.0,617.0,617.0,308.0,1747.0,308.0,2471.0,1011.0,1.0472,528.8196,279650.1914
P,617.0,873.0,873.0,873.0,873.0,3495.0,873.0,617.0,1747.0,436.0,873.0,873.0,1747.0,873.0,2471.0,617.0,436.0,617.0,436.0,873.0,1235.0,617.0,1235.0,617.0,436.0,873.0,873.0,873.0,1235.0,873.0,617.0,617.0,1235.0,617.0,1747.0,436.0,1747.0,617.0,617.0,617.0,873.0,1235.0,436.0,617.0,1235.0,873.0,436.0,617.0,873.0,617.0,436.0,3495.0,932.0,0.9654,560.8193,314518.2976
V,308.0,873.0,436.0,873.0,617.0,617.0,617.0,873.0,873.0,617.0,617.0,436.0,308.0,617.0,617.0,873.0,436.0,436.0,1235.0,617.0,436.0,873.0,308.0,873.0,617.0,617.0,436.0,873.0,617.0,436.0,873.0,873.0,617.0,873.0,436.0,617.0,873.0,873.0,617.0,617.0,436.0,873.0,1747.0,436.0,617.0,436.0,617.0,1235.0,436.0,436.0,308.0,1747.0,670.0,0.694,268.3285,72000.2041
