letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,16238,16238,16238,16238.0,16.5743,,,16238.0
N,10121,10121,10121,10121.0,10.3306,,,10121.0
I,8412,8412,8412,8412.0,8.5862,,,8412.0
S,6978,6978,6978,6978.0,7.1225,,,6978.0
R,6510,6510,6510,6510.0,6.6448,,,6510.0
H,5556,5556,5556,5556.0,5.6711,,,5556.0
T,5222,5222,5222,5222.0,5.3301,,,5222.0
A,5093,5093,5093,5093.0,5.1985,,,5093.0
D,4520,4520,4520,4520.0,4.6136,,,4520.0
L,3796,3796,3796,3796.0,3.8746,,,3796.0
U,3620,3620,3620,3620.0,3.695,,,3620.0
C,3222,3222,3222,3222.0,3.2887,,,3222.0
O,2838,2838,2838,2838.0,2.8968,,,2838.0
M,2788,2788,2788,2788.0,2.8457,,,2788.0
G,2630,2630,2630,2630.0,2.6845,,,2630.0
B,1894,1894,1894,1894.0,1.9332,,,1894.0
W,1779,1779,1779,1779.0,1.8158,,,1779.0
F,1428,1428,1428,1428.0,1.4576,,,1428.0
Z,978,978,978,978.0,0.9983,,,978.0
K,956,956,956,956.0,0.9758,,,956.0
P,785,785,785,785.0,0.8013,,,785.0
V,710,710,710,710.0,0.7247,,,710.0
Ü,608,608,608,608.0,0.6206,,,608.0
Ä,434,434,434,434.0,0.443,,,434.0
Ö,371,371,371,371.0,0.3787,,,371.0
Y,341,341,341,341.0,0.3481,,,341.0
J,116,116,116,116.0,0.1184,,,116.0
X,15,15,15,15.0,0.0153,,,15.0
Q,12,12,12,12.0,0.0122,,,12.0
