letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,16238,16238,16238,16238.0,16.5743,,
N,10121,10121,10121,10121.0,10.3306,,
I,8412,8412,8412,8412.0,8.5862,,
S,6978,6978,6978,6978.0,7.1225,,
R,6510,6510,6510,6510.0,6.6448,,
H,5556,5556,5556,5556.0,5.6711,,
T,5222,5222,5222,5222.0,5.3301,,
A,5093,5093,5093,5093.0,5.1985,,
D,4520,4520,4520,4520.0,4.6136,,
L,3796,3796,3796,3796.0,3.8746,,
U,3620,3620,3620,3620.0,3.695,,
C,3222,3222,3222,3222.0,3.2887,,
O,2838,2838,2838,2838.0,2.8968,,
M,2788,2788,2788,2788.0,2.8457,,
G,2630,2630,2630,2630.0,2.6845,,
B,1894,1894,1894,1894.0,1.9332,,
W,1779,1779,1779,1779.0,1.8158,,
F,1428,1428,1428,1428.0,1.4576,,
Z,978,978,978,978.0,0.9983,,
K,956,956,956,956.0,0.9758,,
P,785,785,785,785.0,0.8013,,
V,710,710,710,710.0,0.7247,,
Ü,608,608,608,608.0,0.6206,,
Ä,434,434,434,434.0,0.443,,
Ö,371,371,371,371.0,0.3787,,
Y,341,341,341,341.0,0.3481,,
J,116,116,116,116.0,0.1184,,
X,15,15,15,15.0,0.0153,,
Q,12,12,12,12.0,0.0122,,
