letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,8174,8157,8140,8101,8077,8025,8097,8141,8120,8108,8058,8118,7999,8151,8229,8023,8158,8111,8019,8032,8106,8076,8126,8125,8211,8099,8261,8105,8192,8188,8095,8209,8066,8139,8054,8196,8164,8131,8092,8112,8071,8131,8018,8116,8220,8018,8066,8023,8028,8055,7999,8261,8110.0,16.5598,63.3896,4018.2404,16220.0
N,5105,5100,5038,5097,5053,5080,5003,5045,5133,5088,5054,4974,5020,5046,5091,5041,5047,5055,5124,4951,5008,5066,4995,5119,5077,5145,5119,5069,5042,5020,5071,5116,5061,5086,5174,4992,5068,5153,5172,5158,5037,5070,5017,5069,5098,5028,5111,5051,5119,5075,4951,5174,5070.0,10.3524,50.2792,2527.9955,10140.0
I,4196,4203,4205,4187,4214,4223,4220,4240,4240,4161,4198,4168,4196,4230,4194,4172,4243,4113,4255,4194,4234,4191,4196,4216,4206,4277,4162,4185,4239,4153,4183,4250,4210,4239,4123,4194,4257,4120,4222,4160,4169,4234,4272,4280,4217,4116,4142,4254,4189,4172,4113,4280,4202.0,8.5801,41.468,1719.5935,8404.0
S,3544,3429,3509,3438,3524,3439,3534,3535,3497,3491,3520,3421,3448,3473,3447,3414,3535,3455,3462,3469,3456,3448,3472,3527,3458,3544,3467,3495,3455,3503,3494,3492,3466,3527,3514,3461,3513,3477,3456,3501,3554,3477,3540,3446,3496,3490,3450,3461,3464,3464,3414,3554,3483.0,7.1119,35.9279,1290.8147,6966.0
R,3195,3314,3316,3289,3241,3223,3220,3243,3285,3203,3261,3300,3263,3198,3253,3216,3247,3256,3243,3154,3250,3221,3222,3384,3248,3241,3306,3228,3248,3258,3237,3248,3273,3224,3222,3270,3300,3267,3266,3269,3241,3259,3246,3314,3176,3244,3314,3269,3268,3235,3154,3384,3253.0,6.6423,39.8235,1585.9086,6506.0
H,2775,2882,2854,2811,2744,2789,2798,2784,2868,2765,2833,2761,2797,2783,2802,2789,2796,2797,2810,2747,2790,2773,2804,2800,2756,2739,2756,2804,2735,2840,2798,2734,2736,2764,2807,2754,2824,2716,2779,2742,2727,2744,2834,2742,2817,2868,2773,2835,2825,2751,2716,2882,2787.0,5.6908,39.8548,1588.4065,5574.0
T,2613,2622,2580,2570,2608,2567,2605,2631,2571,2658,2689,2656,2614,2636,2558,2714,2583,2620,2611,2574,2566,2610,2566,2585,2650,2675,2651,2603,2624,2628,2601,2691,2550,2555,2609,2704,2688,2632,2616,2667,2648,2607,2613,2647,2627,2666,2608,2675,2627,2599,2550,2714,2621.0,5.3518,41.0235,1682.929,5242.0
A,2485,2611,2538,2519,2541,2497,2565,2522,2542,2576,2533,2497,2515,2508,2542,2509,2550,2592,2552,2592,2553,2563,2617,2570,2513,2548,2612,2512,2563,2568,2532,2548,2535,2474,2557,2504,2547,2468,2555,2551,2534,2527,2545,2512,2505,2566,2539,2492,2554,2587,2468,2617,2540.0,5.1864,34.2993,1176.4412,5080.0
D,2230,2230,2259,2241,2302,2237,2278,2327,2273,2265,2321,2278,2316,2304,2246,2241,2225,2246,2276,2235,2212,2275,2246,2289,2235,2261,2227,2247,2243,2251,2255,2271,2239,2283,2251,2270,2266,2235,2255,2235,2263,2277,2271,2164,2266,2268,2266,2228,2243,2280,2164,2327,2258.0,4.6106,28.982,839.9576,4516.0
L,1886,1891,1929,1940,1905,1931,1893,1883,1863,1920,1929,1868,1914,1948,1922,1880,1868,1870,1947,1906,1912,1945,1916,1948,1942,1930,1842,1905,1872,1816,1865,1843,1932,1876,1838,1882,1942,1867,1857,1932,1841,1898,1959,1872,1934,1963,1876,1919,1877,1970,1816,1970,1901.0,3.8817,37.5195,1407.7159,3802.0
U,1751,1778,1815,1811,1796,1806,1799,1752,1763,1793,1831,1796,1788,1787,1829,1809,1785,1810,1778,1826,1780,1842,1797,1810,1774,1815,1816,1847,1837,1762,1851,1741,1840,1810,1766,1822,1777,1794,1805,1760,1822,1851,1846,1804,1830,1752,1826,1812,1777,1823,1741,1851,1801.0,3.6775,28.8899,834.6269,3602.0
C,1623,1612,1610,1613,1605,1612,1594,1600,1638,1631,1555,1590,1628,1624,1636,1625,1546,1570,1631,1654,1586,1669,1555,1583,1587,1594,1641,1643,1561,1673,1560,1642,1618,1598,1616,1610,1658,1628,1605,1620,1653,1597,1636,1592,1642,1577,1606,1606,1612,1601,1546,1673,1611.0,3.2895,29.764,885.8955,3222.0
O,1416,1393,1401,1400,1412,1382,1376,1397,1458,1438,1386,1421,1433,1349,1401,1381,1501,1409,1406,1461,1380,1393,1435,1414,1421,1416,1442,1421,1420,1377,1397,1415,1408,1440,1381,1387,1413,1446,1379,1409,1389,1458,1398,1442,1406,1422,1398,1420,1447,1388,1349,1501,1411.0,2.8811,27.6875,766.5963,2822.0
M,1358,1372,1381,1394,1348,1369,1381,1382,1409,1418,1433,1367,1448,1393,1434,1378,1407,1386,1403,1413,1400,1351,1429,1377,1419,1390,1419,1457,1388,1416,1374,1396,1385,1447,1385,1394,1360,1414,1408,1381,1420,1351,1426,1360,1393,1399,1406,1407,1390,1389,1348,1457,1396.0,2.8505,25.879,669.7245,2792.0
G,1339,1302,1309,1343,1259,1319,1301,1365,1308,1318,1305,1288,1319,1333,1304,1296,1298,1364,1331,1358,1350,1304,1310,1286,1325,1327,1305,1300,1275,1312,1319,1287,1310,1360,1330,1327,1364,1318,1306,1285,1342,1311,1363,1319,1311,1346,1323,1257,1336,1342,1257,1365,1318.0,2.6912,25.9715,674.518,2636.0
B,946,947,949,978,949,943,953,936,937,963,953,978,917,925,927,941,964,947,968,935,914,945,970,946,929,973,908,949,985,929,928,981,958,924,952,968,957,957,936,955,945,985,958,1001,948,891,913,941,973,966,891,1001,948.0,1.9357,22.0433,485.9057,1896.0
W,904,886,905,880,886,841,876,855,875,862,882,913,907,888,892,907,857,900,896,899,889,895,879,919,875,916,886,912,865,883,899,882,884,901,863,864,866,907,912,896,877,897,925,894,843,938,886,894,901,933,841,938,889.0,1.8152,21.1876,448.9127,1778.0
F,728,745,718,747,763,731,684,711,730,712,749,681,686,730,708,729,730,682,689,699,741,705,681,687,683,709,715,725,702,672,679,708,709,711,713,745,715,741,699,717,717,739,691,706,718,714,726,719,733,725,672,763,713.0,1.4559,21.4879,461.731,1426.0
Z,508,468,489,497,515,508,483,472,502,519,478,473,483,474,496,476,472,481,478,477,508,497,479,489,516,489,503,527,494,480,490,487,508,522,489,466,516,501,500,489,477,480,494,520,506,486,494,482,505,479,466,527,492.0,1.0046,15.7119,246.8637,984.0
K,454,464,481,491,480,480,496,492,477,454,481,483,463,486,467,471,484,468,469,478,485,468,473,485,485,498,460,462,469,476,495,497,484,499,474,481,468,471,472,458,492,479,473,495,498,471,462,496,486,462,454,499,477.0,0.974,12.5341,157.1024,954.0
P,377,368,400,395,408,399,382,375,393,396,376,395,415,413,398,387,384,409,394,381,391,395,415,392,395,396,393,394,387,378,383,405,373,376,389,380,398,377,391,396,389,389,394,380,401,401,370,402,398,382,368,415,391.0,0.7984,11.4771,131.7245,782.0
V,350,350,354,370,328,355,345,364,336,357,387,351,337,343,363,358,359,362,322,335,348,366,331,339,377,319,359,367,366,354,346,346,352,380,378,369,364,334,353,346,373,360,325,337,357,353,349,344,352,385,319,387,353.0,0.7208,15.8723,251.9286,706.0
Ü,309,306,293,315,315,306,319,310,299,313,291,264,319,303,308,300,304,308,310,322,295,299,315,329,279,279,304,322,310,299,307,324,285,313,310,286,312,318,291,298,305,313,303,307,298,300,317,312,321,284,264,329,304.0,0.6207,13.0517,170.3465,608.0
Ä,226,235,207,239,195,212,215,222,200,247,228,213,222,222,237,207,221,235,213,214,237,217,220,210,204,224,223,232,228,228,234,226,221,223,211,219,211,223,205,230,215,203,221,216,224,222,221,215,218,199,195,247,219.0,0.4472,11.1007,123.2245,438.0
Ö,195,191,186,165,180,180,185,195,176,195,181,189,191,189,192,185,176,183,193,187,177,186,181,182,177,178,178,193,188,191,196,203,177,171,204,181,209,194,188,208,190,182,171,192,197,197,187,183,182,185,165,209,186.0,0.3798,9.2656,85.8514,372.0
Y,167,171,185,185,161,178,176,166,157,144,175,176,170,190,157,162,156,176,175,167,172,173,166,160,172,177,167,169,166,159,193,186,180,156,173,165,169,174,174,151,161,174,171,174,168,162,169,186,165,166,144,193,169.0,0.3451,9.8755,97.5249,338.0
J,62,57,59,63,57,64,59,54,58,63,53,59,59,55,54,50,58,60,53,61,57,56,66,64,63,55,48,61,66,52,68,51,54,63,62,64,59,45,61,57,57,72,62,54,61,54,65,64,66,60,45,72,58.0,0.1184,5.369,28.8265,116.0
X,11,9,5,7,4,8,4,8,11,8,6,9,5,6,7,8,7,8,5,9,9,7,8,8,10,9,5,6,9,2,8,4,9,5,11,8,4,8,11,8,8,7,5,2,10,9,9,10,10,9,2,11,7.0,0.0143,2.2786,5.1922,14.0
Q,5,8,6,7,7,9,7,8,5,6,9,4,2,5,6,5,5,10,8,7,9,6,6,8,6,5,6,3,6,6,6,4,6,6,6,6,7,7,6,7,8,8,6,8,4,5,3,4,7,8,2,10,6.0,0.0123,1.6728,2.7984,12.0
