letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,16348.0,16314.0,16280.0,16202.0,16154.0,16050.0,16194.0,16282.0,16240.0,16216.0,16116.0,16236.0,15998.0,16302.0,16458.0,16046.0,16316.0,16222.0,16038.0,16064.0,16212.0,16152.0,16252.0,16250.0,16422.0,16198.0,16522.0,16210.0,16384.0,16376.0,16190.0,16418.0,16132.0,16278.0,16108.0,16392.0,16328.0,16262.0,16184.0,16224.0,16142.0,16262.0,16036.0,16232.0,16440.0,16036.0,16132.0,16046.0,16056.0,16110.0,15998.0,16522.0,16221.0,16.5585,126.7792,16072.9616
N,10210.0,10200.0,10076.0,10194.0,10106.0,10160.0,10006.0,10090.0,10266.0,10176.0,10108.0,9948.0,10040.0,10092.0,10182.0,10082.0,10094.0,10110.0,10248.0,9902.0,10016.0,10132.0,9990.0,10238.0,10154.0,10290.0,10238.0,10138.0,10084.0,10040.0,10142.0,10232.0,10122.0,10172.0,10348.0,9984.0,10136.0,10306.0,10344.0,10316.0,10074.0,10140.0,10034.0,10138.0,10196.0,10056.0,10222.0,10102.0,10238.0,10150.0,9902.0,10348.0,10141.0,10.352,100.5584,10111.982
I,8392.0,8406.0,8410.0,8374.0,8428.0,8446.0,8440.0,8480.0,8480.0,8322.0,8396.0,8336.0,8392.0,8460.0,8388.0,8344.0,8486.0,8226.0,8510.0,8388.0,8468.0,8382.0,8392.0,8432.0,8412.0,8554.0,8324.0,8370.0,8478.0,8306.0,8366.0,8500.0,8420.0,8478.0,8246.0,8388.0,8514.0,8240.0,8444.0,8320.0,8338.0,8468.0,8544.0,8560.0,8434.0,8232.0,8284.0,8508.0,8378.0,8344.0,8226.0,8560.0,8404.0,8.5788,82.936,6878.3739
S,7088.0,6858.0,7018.0,6876.0,7048.0,6878.0,7068.0,7070.0,6994.0,6982.0,7040.0,6842.0,6896.0,6946.0,6894.0,6828.0,7070.0,6910.0,6924.0,6938.0,6912.0,6896.0,6944.0,7054.0,6916.0,7088.0,6934.0,6990.0,6910.0,7006.0,6988.0,6984.0,6932.0,7054.0,7028.0,6922.0,7026.0,6954.0,6912.0,7002.0,7108.0,6954.0,7080.0,6892.0,6992.0,6980.0,6900.0,6922.0,6928.0,6928.0,6828.0,7108.0,6966.0,7.1109,71.8558,5163.2588
R,6390.0,6628.0,6632.0,6578.0,6482.0,6446.0,6440.0,6486.0,6570.0,6406.0,6522.0,6600.0,6526.0,6396.0,6506.0,6432.0,6494.0,6512.0,6486.0,6308.0,6500.0,6442.0,6444.0,6768.0,6496.0,6482.0,6612.0,6456.0,6496.0,6516.0,6474.0,6496.0,6546.0,6448.0,6444.0,6540.0,6600.0,6534.0,6532.0,6538.0,6482.0,6518.0,6492.0,6628.0,6352.0,6488.0,6628.0,6538.0,6536.0,6470.0,6308.0,6768.0,6506.0,6.6414,79.6469,6343.6343
H,5550.0,5764.0,5708.0,5622.0,5488.0,5578.0,5596.0,5568.0,5736.0,5530.0,5666.0,5522.0,5594.0,5566.0,5604.0,5578.0,5592.0,5594.0,5620.0,5494.0,5580.0,5546.0,5608.0,5600.0,5512.0,5478.0,5512.0,5608.0,5470.0,5680.0,5596.0,5468.0,5472.0,5528.0,5614.0,5508.0,5648.0,5432.0,5558.0,5484.0,5454.0,5488.0,5668.0,5484.0,5634.0,5736.0,5546.0,5670.0,5650.0,5502.0,5432.0,5764.0,5574.0,5.69,79.7096,6353.6261
T,5226.0,5244.0,5160.0,5140.0,5216.0,5134.0,5210.0,5262.0,5142.0,5316.0,5378.0,5312.0,5228.0,5272.0,5116.0,5428.0,5166.0,5240.0,5222.0,5148.0,5132.0,5220.0,5132.0,5170.0,5300.0,5350.0,5302.0,5206.0,5248.0,5256.0,5202.0,5382.0,5100.0,5110.0,5218.0,5408.0,5376.0,5264.0,5232.0,5334.0,5296.0,5214.0,5226.0,5294.0,5254.0,5332.0,5216.0,5350.0,5254.0,5198.0,5100.0,5428.0,5242.0,5.3511,82.047,6731.7159
A,4970.0,5222.0,5076.0,5038.0,5082.0,4994.0,5130.0,5044.0,5084.0,5152.0,5066.0,4994.0,5030.0,5016.0,5084.0,5018.0,5100.0,5184.0,5104.0,5184.0,5106.0,5126.0,5234.0,5140.0,5026.0,5096.0,5224.0,5024.0,5126.0,5136.0,5064.0,5096.0,5070.0,4948.0,5114.0,5008.0,5094.0,4936.0,5110.0,5102.0,5068.0,5054.0,5090.0,5024.0,5010.0,5132.0,5078.0,4984.0,5108.0,5174.0,4936.0,5234.0,5081.0,5.1867,68.5986,4705.7649
D,4460.0,4460.0,4518.0,4482.0,4604.0,4474.0,4556.0,4654.0,4546.0,4530.0,4642.0,4556.0,4632.0,4608.0,4492.0,4482.0,4450.0,4492.0,4552.0,4470.0,4424.0,4550.0,4492.0,4578.0,4470.0,4522.0,4454.0,4494.0,4486.0,4502.0,4510.0,4542.0,4478.0,4566.0,4502.0,4540.0,4532.0,4470.0,4510.0,4470.0,4526.0,4554.0,4542.0,4328.0,4532.0,4536.0,4532.0,4456.0,4486.0,4560.0,4328.0,4654.0,4516.0,4.61,57.964,3359.8302
L,3772.0,3782.0,3858.0,3880.0,3810.0,3862.0,3786.0,3766.0,3726.0,3840.0,3858.0,3736.0,3828.0,3896.0,3844.0,3760.0,3736.0,3740.0,3894.0,3812.0,3824.0,3890.0,3832.0,3896.0,3884.0,3860.0,3684.0,3810.0,3744.0,3632.0,3730.0,3686.0,3864.0,3752.0,3676.0,3764.0,3884.0,3734.0,3714.0,3864.0,3682.0,3796.0,3918.0,3744.0,3868.0,3926.0,3752.0,3838.0,3754.0,3940.0,3632.0,3940.0,3802.0,3.8811,75.0391,5630.8637
